date,outflow(m3/d),inflow(m3/d),spill(m3/d),wse(m),avg_temp(C)
1982-01-01,332489069.568,388026243.0719999,0.0,103.324152,
1982-01-02,383451154.3295999,337137555.45600003,0.0,103.348536,
1982-01-03,376209302.63040006,417385101.312,0.0,103.254048,
1982-01-04,425238595.8912,415183186.944,0.0,103.379016,
1982-01-05,427293715.968,443318759.424,0.0,103.321104,
1982-01-06,412736615.424,461668045.824,0.0,103.427784,
1982-01-07,501865215.8976,487601703.936,0.0,103.519224,
1982-01-08,482855355.1872,489558961.152,0.0,103.528368,
1982-01-09,440627530.752,370166270.976,0.0,103.458264,
1982-01-10,327375735.0912,321234840.57600003,0.0,103.363776,
1982-01-11,391867360.3584,433777130.49600005,0.0,103.406448,
1982-01-12,435758853.4272001,415672501.248,0.0,103.385112,
1982-01-13,415134255.5136,449190531.072,0.0,103.379016,
1982-01-14,456358985.6256,418853044.224,0.0,103.375968,
1982-01-15,394289466.1632,364783813.632,0.0,103.26319200000002,
1982-01-16,334935641.08800006,321234840.57600003,0.0,103.232712,
1982-01-17,374692428.288,392919386.112,0.0,103.260144,
1982-01-18,382643785.728,415183186.944,0.0,103.31196,
1982-01-19,411342069.6576001,433532473.344,0.0,103.336344,
1982-01-20,461521251.5328,451881759.744,0.0,103.354632,
1982-01-21,450438282.5472,472922274.816,0.0,103.26624,
1982-01-22,503700144.5375999,462646674.432,0.0,103.202232,
1982-01-23,443392156.5695999,426682073.088,0.0,103.18699200000002,
1982-01-24,343572038.55359995,311693211.648,0.0,103.299768,
1982-01-25,378533545.57440007,398546500.608,0.0,103.345488,
1982-01-26,411953712.5376,413959901.184,0.0,103.34244,
1982-01-27,429936013.2096,430596587.52,0.0,103.351584,
1982-01-28,416161815.5519999,423012215.808,0.0,103.321104,
1982-01-29,428468070.2976,429373301.76,0.0,103.38816,
1982-01-30,404613997.9776,389004871.68,0.0,103.44912,
1982-01-31,357150510.48959994,348636441.6,0.0,103.46436,
1982-02-01,378680339.86559993,379952557.05600005,0.0,103.4034,
1982-02-02,387023148.7488,402950329.344,0.0,103.29672,
1982-02-03,373028759.6544,357199441.92,0.0,103.391208,
1982-02-04,420174192.8448,425214130.17600006,0.0,103.290624,
1982-02-05,489852549.7344,478794046.4639999,0.0,103.058976,
1982-02-06,443783608.0127999,487112389.632,0.0,103.1748,
1982-02-07,453545428.3775999,421788930.048,0.0,103.251,
1982-02-08,398864554.9056,410290043.904,0.0,103.305864,
1982-02-09,476102817.792,505706333.184,0.0,103.321104,
1982-02-10,479063169.3312,460689417.216,0.0,103.29672,
1982-02-11,496972072.8576,476347474.944,0.0,103.214424,
1982-02-12,458976817.152,463135988.736,0.0,103.15956,
1982-02-13,425532184.4736,419831672.832,0.0,103.26624,
1982-02-14,373591471.1039999,344232612.864,0.0,103.35768000000002,
1982-02-15,317442654.72,320745526.272,0.0,103.217472,
1982-02-16,392527934.6688,419097701.376,0.0,103.287576,
1982-02-17,468029131.776,444542045.184,0.0,103.122984,
1982-02-18,525670356.7872,649809395.712,341688178.4832,103.503984,
1982-02-19,648879698.5344001,699964111.872,411855849.6768,103.38816,
1982-02-20,678727871.0784,568093906.9439999,290848422.2976,103.443024,
1982-02-21,467931268.9152,540692305.92,59574016.512,103.439976,
1982-02-22,673272016.5888,694336997.376,201793218.9696,103.558848,
1982-02-23,699328003.2767999,727365712.896,266774158.54080003,103.5558,
1982-02-24,728735792.9472002,694092340.224,322311332.0448,103.552752,
1982-02-25,683694411.2639999,628524223.4879999,491956601.2416,103.564944,
1982-02-26,624487380.4799999,672807168.0,430449793.2288,103.485696,
1982-02-27,766633185.7920002,757458542.592,612058797.1583999,103.41864,
1982-02-28,697321814.6304001,697028226.048,575971867.2383999,103.394256,
1982-03-01,705738020.6592,712441626.6240001,600339719.5775999,103.336344,
1982-03-02,707059169.28,708282455.0400001,616951940.1983999,103.503984,
1982-03-03,688660951.4496001,739353913.3439999,585537961.8816001,103.46436,
1982-03-04,742779113.4720001,729078312.96,599630213.8368,103.51008000000002,
1982-03-05,756015065.3951999,718068741.1199999,556497157.9391999,103.51008000000002,
1982-03-06,729176175.8208001,736907341.824,485644446.72,103.430832,
1982-03-07,693603025.92,699964111.872,542429371.6992,103.4796,
1982-03-08,712563955.1999999,678189625.344,494011721.3184,103.394256,
1982-03-09,700306631.8848001,762351685.6320001,461790374.4,103.513128,
1982-03-10,741922813.4399999,723451198.4639999,499198452.9408,103.4796,
1982-03-11,775758897.5616,812995716.0960001,490635452.6208,103.43388000000002,
1982-03-12,791906269.5936,800273544.192,495235007.0784,103.476552,
1982-03-13,831173742.4896001,834525545.4720001,628768880.64,103.543608,
1982-03-14,846831800.2176,834525545.4720001,664146304.8191999,103.519224,
1982-03-15,832078973.952,841865260.0320001,534991794.2784,103.543608,
1982-03-16,843528928.6656,839908002.816,532740948.48,103.558848,
1982-03-17,847859360.256,846024431.616,586051741.9008,103.482648,
1982-03-18,840568577.1264,810793801.7279999,596669862.2976,103.458264,
1982-03-19,821289593.5487999,794157115.3920001,510721804.8000001,103.330248,
1982-03-20,721249284.0960001,753299371.008,433018693.3248001,103.397304,
1982-03-21,773141066.0351999,772137971.7120001,506856221.7984,103.51008000000002,
1982-03-22,752002688.1024001,757213885.4399999,436052442.0096,103.516176,
1982-03-23,738668873.3184,706080540.6720002,477693089.28,103.546656,
1982-03-24,714105295.2576,704123283.4560001,424259967.2832,103.455216,
1982-03-25,660060530.3808,684306054.1439999,384796768.66560006,103.488744,
1982-03-26,686997282.816,700698083.3280001,369040848.0768001,103.46436,
1982-03-27,668819256.4224,642958995.4560001,261195975.4752,103.500936,
1982-03-28,672513579.4175999,638065852.416,363413733.5808,103.37292,
1982-03-29,646775647.0272,684306054.1439999,279594193.30560005,103.351584,
1982-03-30,671950867.9679999,675253739.52,255226340.9664,103.500936,
1982-03-31,636940429.5167999,635129966.592,196092707.328,103.534464,
1982-04-01,665271727.7184,667424710.656,204998227.6608,103.51008000000002,
1982-04-02,716796523.9296,611153565.696,273600093.08159995,103.351584,
1982-04-03,563934735.3599999,615557394.4319999,9150177.4848,103.177848,
1982-04-04,605966834.0736,647607481.344,60895165.1328,103.580184,
1982-04-05,709750397.9520001,731524884.48,155063702.9376,103.58628000000002,
1982-04-06,639411466.7520001,625099023.36,76797880.0128,103.503984,
1982-04-07,654213224.448,645160909.824,97177820.7744,103.589328,
1982-04-08,609440965.6319999,569072535.5519999,57494430.72,103.51008000000002,
1982-04-09,564497446.8096,503993733.12,12037131.8784,103.330248,
1982-04-10,511186653.3888,547542706.176,0.0,103.4034,
1982-04-11,552582643.5072,532618619.904,0.0,103.33939200000002,
1982-04-12,554270777.856,663020881.92,0.0,103.321104,
1982-04-13,727903958.6304,756724571.136,171529129.26720002,103.476552,
1982-04-14,832715082.5472,789508629.504,259776963.9936,103.37292,
1982-04-15,812017087.4879999,835748831.232,284022487.7568,103.33939200000002,
1982-04-16,677064202.4448,778621386.2399999,105765286.80959998,103.278432,
1982-04-17,668305476.4032,721493941.248,118169404.416,103.49484,
1982-04-18,707719743.5903999,731524884.48,209402056.39680004,103.522272,
1982-04-19,735953178.9311999,740577199.104,244583754.8544,103.52532,
1982-04-20,754571588.1984,675498396.672,231519062.9376,103.4796,
1982-04-21,663510196.224,697762197.504,201181576.08960003,103.41864,
1982-04-22,746718093.6191999,666935396.3520001,233965634.4576,103.15956,
1982-04-23,652109172.9408001,631460109.312,117362035.8144,102.85476,
1982-04-24,652060241.5103999,668403339.2639999,90914597.6832,102.909624,
1982-04-25,615386134.4255999,650298710.0159999,48882498.9696,103.11384,
1982-04-26,585978344.7552,615557394.4319999,55390379.2128,103.43388000000002,
1982-04-27,622309931.8271999,627300937.728,77067002.88,103.412544,
1982-04-28,658617053.184,654702538.7520001,118805513.0112,103.473504,
1982-04-29,653185664.4096,660084996.096,112175304.192,103.503984,
1982-04-30,611275894.272,627056280.576,81275105.8944,103.473504,
1982-05-01,654971661.6191999,644671595.52,164703194.7264,103.49484,
1982-05-02,643937624.064,647607481.344,120444715.9296,103.482648,
1982-05-03,682202002.6367999,714154226.688,180361252.4544,103.46436,
1982-05-04,773801640.3456,761128399.872,238418394.624,103.485696,
1982-05-05,758681828.3520001,758192514.048,254149849.4976,103.443024,
1982-05-06,747672256.512,748650885.12,305087468.544,103.41559200000002,
1982-05-07,729396367.2576,709750397.9520001,291484530.89280003,103.382064,
1982-05-08,708209057.8944001,748650885.12,172850277.888,103.4034,
1982-05-09,783832583.5776001,754033342.464,270590810.112,103.446072,
1982-05-10,728784724.3776,767244828.672,215494019.4816,103.406448,
1982-05-11,773483586.048,741311170.56,253440343.7568,103.4796,
1982-05-12,744785302.1184,728344341.5040001,296451071.0784,103.461312,
1982-05-13,717065646.7967999,709016426.496,256596421.0176,103.412544,
1982-05-14,685504874.1888,697762197.504,226748248.4736,103.461312,
1982-05-15,697468608.9215999,727855027.2,241329814.7328,103.4796,
1982-05-16,784468692.1728,790976572.4160001,339584126.976,103.43388000000002,
1982-05-17,812114950.3488,844067174.4,355976156.16,103.44912,
1982-05-18,909635291.136,899115033.6,460053308.6208,103.452168,
