date,inflow(m3/d),wse(m),avg air temperature (C),max air temperature (C),min air temperature (C),storage(m3),canal discharge (m3/d),outflow(m3/d)
1982-01-01,121301.01596159999,763.2771120000001,,1.0723508000000024,-12.427757199999999,23990186.881199997,0.0,0.0
1982-01-02,142586.1881856,763.319784,,-2.994348399999998,-15.6611164,24132777.169200003,0.0,0.0
1982-01-03,194624.764416,763.377696,,3.4279252000000042,-12.383312399999998,24327407.978400003,0.0,0.0
1982-01-04,61873.7937408,763.395984,,4.872381200000003,-9.805513999999999,24389279.3352,0.0,0.0
1982-01-05,90082.7633664,763.3136880000001,,-2.2054531999999973,-14.655552799999999,24112375.41,0.0,0.0
1982-01-06,-57690.1564416,763.185672,,-4.522138399999998,-17.972246,23687688.246000003,0.0,0.0
1982-01-07,-20379.9407616,763.0668000000001,,-13.211096799999998,-19.8944836,23300326.1868,0.0,0.0
1982-01-08,24539.1123456,762.9601200000001,,-6.138817999999999,-13.911102399999999,22957887.4692,0.0,0.0
1982-01-09,29823.706828799997,762.8534400000001,,-7.4888287999999985,-16.6611244,22620715.7112,0.0,0.0
1982-01-10,62876.888064,762.7559040000001,,-10.022182399999998,-17.1889064,22316601.2172,0.0,0.0
1982-01-11,104248.4124672,762.67056,,-7.533273599999998,-17.36113,22053869.977199998,0.0,0.0
1982-01-12,107355.5582976,762.5852160000001,,2.9056987999999997,-11.549972399999998,21794247.1068,0.0,0.0
1982-01-13,146916.61977599998,762.512064,,2.0723588,-8.5388372,21574181.94,0.0,0.0
1982-01-14,158146.3830528,762.44196,,6.094613200000001,-7.749941999999997,21365353.776,0.0,0.0
1982-01-15,187089.3241344,762.3810000000001,,6.139058000000002,-1.3776687999999986,21185463.0528,0.0,0.0
1982-01-16,188606.1984768,762.3200400000001,,2.7279196,-1.110999999999997,21007089.51,0.0,0.0
1982-01-17,216350.3195136,762.268224,,8.144629600000002,-0.19432599999999667,20856444.597599998,0.0,0.0
1982-01-18,26496.3695616,762.277368,,5.611276000000004,0.4612348000000033,20882952.0828,0.0,0.0
1982-01-19,124139.0389248,762.3200400000001,,2.6445856000000028,-10.0666272,21007089.51,0.0,0.0
1982-01-20,97813.9293696,762.353568,,-1.855450399999997,-13.083317999999998,21104904.474,0.0,0.0
1982-01-21,98498.9693952,762.387096,,1.4612428000000044,-11.244414399999998,21203397.852,0.0,0.0
1982-01-22,125827.1732736,762.429768,,0.41679000000000244,-7.6221631999999975,21329212.812000003,0.0,0.0
1982-01-23,181339.8810624,762.4907280000001,,8.711300800000004,-1.6832268,21510546.7068,0.0,0.0
1982-01-24,145962.45688319998,762.539496,,9.283527600000003,0.6779032000000029,21656504.395200003,0.0,0.0
1982-01-25,258015.4324992,762.6248400000001,,3.3001464000000027,-0.633218399999997,21914511.4068,0.0,0.0
1982-01-26,298628.5197312,762.722376,,8.061295600000001,-1.3332239999999977,22213149.2496,0.0,0.0
1982-01-27,503308.6930944,762.8839200000001,,4.955715200000004,-1.3776687999999986,22716446.094,0.0,0.0
1982-01-28,348587.51016959996,762.9936480000001,,5.222384000000002,-2.599900799999997,23065039.8768,0.0,0.0
1982-01-29,284658.59635199996,763.0820400000001,,4.955715200000004,-2.2054531999999973,23349702.3912,0.0,0.0
1982-01-30,248180.2149888,763.1582400000001,,3.6890384000000047,-3.5165747999999972,23597878.5672,0.0,0.0
1982-01-31,230613.83147520002,763.2283440000001,,5.483497200000002,-3.077682399999997,23828502.3228,0.0,0.0
1982-02-01,212509.2022272,763.2923519999999,,6.139058000000002,-0.6776631999999978,24041006.2572,0.0,0.0
1982-02-02,71366.4912384,763.3136880000001,,2.9056987999999997,-2.7276795999999983,24112375.41,0.0,0.0
1982-02-03,-40833.278668800005,763.301496,,3.5168148000000024,-6.2665967999999985,24071547.222000003,0.0,0.0
1982-02-04,-91501.774848,763.274064,,-5.349922799999998,-13.299986399999998,23980035.3408,0.0,0.0
1982-02-05,-141460.7652864,763.231392,,-8.188834399999998,-16.0500084,23838567.5196,0.0,0.0
1982-02-06,-130818.1791744,763.191768,,-8.405502799999997,-14.655552799999999,23707756.965600003,0.0,0.0
1982-02-07,-109875.52696319998,763.1582400000001,,-2.511011199999997,-15.350002799999999,23597878.5672,0.0,0.0
1982-02-08,-99722.2551552,763.12776,,-7.011047199999998,-18.4111384,23498164.044,0.0,0.0
1982-02-09,-99012.7494144,763.09728,,-3.5165747999999972,-17.1000168,23399152.604399998,0.0,0.0
1982-02-10,-108701.1726336,763.063752,,-8.144389599999998,-18.4111384,23290458.3468,0.0,0.0
1982-02-11,-29530.1182464,763.054608,,-6.527709999999997,-18.277804,23260916.5008,0.0,0.0
1982-02-12,19719.3664512,763.0607040000001,,-2.994348399999998,-14.611107999999998,23280627.5112,0.0,0.0
1982-02-13,78950.86295040001,763.085088,,-0.8943315999999975,-6.444375999999998,23359570.2312,0.0,0.0
1982-02-14,348196.05872639996,763.191768,,6.3112816000000045,-2.0332295999999985,23707756.965600003,0.0,0.0
1982-02-15,1830769.4684159998,763.749552,,6.266836800000004,1.2001296000000004,25538537.3208,0.0,0.0
1982-02-16,10018416.7858176,765.282696,,14.261345200000008,2.5556960000000046,30871771.8012,0.0,5741100.2631168
1982-02-17,6934953.7677312,765.8983920000001,,10.327980400000005,2.6445856000000028,33121528.308,0.0,4746446.6116608
1982-02-18,4489727.862067199,765.846576,,5.394607600000004,-1.5054475999999966,32926071.0672,0.0,3920704.2579456
1982-02-19,4116894.8281344,765.694176,,10.200201600000003,2.511251200000004,32357782.161599997,0.0,3864408.6472704
1982-02-20,5047570.634342399,765.7917120000001,,10.983541200000005,1.9890248000000028,32720166.2508,0.0,5027949.130752
1982-02-21,5691752.9155584,766.0568880000001,,13.083558000000004,1.683466800000005,33726735.27,0.0,5909987.0951424
1982-02-22,4732232.0311296,766.06908,,6.3112816000000045,-1.3776687999999986,33773792.532000005,0.0,7195758.2917631995
1982-02-23,4310834.5525248,765.9715440000001,,4.261265200000004,-1.8998951999999978,33399443.6868,0.0,7009769.924812799
