date,inflow(m3/d),storage(m3),max air temperature (C),min air temperature (C),avg air temperature (C),outflow(m3/d),wse(m)
1982-01-01,312549.51168,5417444.16,-2.466566399999998,-7.599940799999999,-5.944371999999998,386558.30016,1035.042888
1982-01-02,316341.69753600005,5359470.6,-5.0332535999999966,-10.322184799999999,-7.061047599999998,374325.44256,1035.021552
1982-01-03,337333.2811776,5326166.64,-3.8665775999999976,-7.444383999999998,-6.0165947999999965,370631.1195648,1035.00936
1982-01-04,296720.1939456,5260792.2,-4.955475199999999,-11.7999744,-7.972166,362092.58496,1034.984976
1982-01-05,267214.5414144,5178149.04,-8.922173599999999,-24.7945228,-15.500003999999999,349859.72736,1034.954496
1982-01-06,273453.2987904,5111541.12,-9.311065599999997,-27.4389884,-17.305574,340073.44127999997,1034.930112
1982-01-07,332733.72672,5111541.12,-0.1332143999999964,-12.188866399999998,-5.899927199999999,332733.72672,1034.930112
1982-01-08,322947.44064,5111541.12,2.8279204000000036,-2.233231199999997,-0.2998823999999978,322947.44064,1034.930112
1982-01-09,313161.15456,5111541.12,2.516806800000005,-6.433264799999996,-2.2554535999999974,313161.15456,1034.930112
1982-01-10,305821.44,5111541.12,1.9723579999999998,-7.444383999999998,-2.755457599999998,305821.44,1034.930112
1982-01-11,298481.72544,5111541.12,3.1390340000000023,-6.511043199999998,-0.45543919999999716,298481.72544,1034.930112
1982-01-12,286175.4706944,5104140.24,0.8056820000000045,-9.466622399999999,-2.9110143999999973,293588.5824,1034.930112
1982-01-13,286248.86784,5104140.24,3.916818000000003,-0.05543599999999671,1.8668016000000023,286248.86784,1034.930112
1982-01-14,222148.694016,5044933.2,2.8279204000000036,-0.5221063999999984,1.1223512000000042,281355.72479999997,1034.930112
1982-01-15,214808.979456,4985726.16,2.2056932000000025,-1.3776687999999986,0.3890120000000046,274016.01024,1034.847816
1982-01-16,205022.69337599998,4926519.12,0.49456840000000213,-3.8665775999999976,-1.244334399999996,264229.72416,1034.777712
1982-01-17,205022.69337599998,4867312.08,-0.9109983999999969,-2.466566399999998,-1.6998935999999958,264229.72416,1034.799048
1982-01-18,195163.0101504,4798237.2,-0.5998847999999981,-17.094461199999998,-5.2332551999999986,264229.72416,1034.796
1982-01-19,214882.3766016,4748898.0,-3.555463999999997,-12.8110936,-7.638829999999999,264229.72416,1034.796
1982-01-20,255593.3266944,4740263.64,-3.477685599999999,-7.288827199999998,-5.394367599999999,264229.72416,1034.792952
1982-01-21,261783.15264,4740263.64,-3.3999071999999977,-9.544400799999998,-7.016602799999998,261783.15264,1034.792952
1982-01-22,256890.0096,4740263.64,0.33901160000000274,-7.3666056,-5.288811199999998,256890.0096,1034.792952
