date,avg gain (m3/d),power discharge (m3/d),computed flow(m3/d),avg air temperature (C),max air temperature (C),min air temperature (C),wse(m),storage(m3)
1982-01-01,999571.2602112,,1586748.4250112,,-3.994356399999999,-11.072190799999998,1468.947024,548502615.9156
1982-01-02,1557242.77248,,2132187.07968,,-4.911030399999998,-12.2944228,1468.965312,550130809.5156
1982-01-03,2132456.2025472,,2682934.7945471997,,-3.688798399999998,-10.244406399999999,1468.989696,552309751.9355999
1982-01-04,2165558.3152128,,2691571.1920128004,,-1.244334399999996,-18.500028,1469.0140800000001,554497328.7156
1982-01-05,1089458.297856,,1591005.4594559998,,-6.9221575999999985,-21.8167212,1469.026272,555594126.7968
1982-01-06,834770.2026239999,,1311851.6490240002,,-10.461074799999999,-23.0389532,1469.0354160000002,556411763.6844001
1982-01-07,1424565.1989503999,,1877180.9301504,,-10.022182399999998,-25.3556384,1469.0506560000001,557794729.1256
1982-01-08,605183.9311872,,1045566.8047872001,,-3.3832403999999983,-12.3388676,1469.056752,558346094.6855999
1982-01-09,904326.2309376,,1315350.2462976,,-3.3832403999999983,-16.6611244,1469.0658960000003,559167246.9912
1982-01-10,1474303.997952,,1870648.584192,,-7.272160399999999,-16.3555664,1469.081136,560543687.3232
1982-01-11,664195.2362496001,,1048306.9648896,,-2.1610083999999983,-16.6611244,1469.087232,561097791.2088
1982-01-12,117435.43296,,494207.44704,,-0.8054419999999958,-10.022182399999998,1469.087232,561097791.2088
1982-01-13,411439.93251839996,,778425.6605184,,-0.46099479999999815,-7.838831599999997,1469.0902800000001,561381997.3356
1982-01-14,134561.4336,,494207.44704,,3.2112568000000046,-2.994348399999998,1469.0902800000001,561381997.3356
1982-01-15,137008.00512,,494207.44704,,2.339027600000005,-2.6443455999999994,1469.0902800000001,561381997.3356
1982-01-16,5904849.2949504,,6274281.594470399,,4.083486000000004,-2.599900799999997,1469.1542880000002,567152290.7844
1982-01-17,1994175.9802368002,,2370947.9943168,,3.3834804000000034,-2.7721243999999974,1469.1756240000002,569019236.7732
1982-01-18,2023167.8527488,,2390153.5807488,,-0.46099479999999815,-3.605464399999997,1469.19696,570905388.0455999
