date,inflow(m3/d),wse(m),outflow(m3/d)
1982-01-01,175370.2465536,,2324.242944
1982-01-02,377505.98553600005,,2324.242944
1982-01-03,379047.3255936,,2324.242944
1982-01-04,351988.2445824,,2324.242944
1982-01-05,177621.09235199998,,2324.242944
1982-01-06,119368.22446079999,,2324.242944
1982-01-07,265428.5442048,,2324.242944
1982-01-08,266235.9128064,,2422.1058048
1982-01-09,209255.2621056,,2422.1058048
1982-01-10,178085.9409408,,2422.1058048
1982-01-11,269465.3872128,,2422.1058048
1982-01-12,208961.67352319998,,2226.3800832
1982-01-13,236656.8631296,,2226.3800832
1982-01-14,227310.9599232,,2226.3800832
1982-01-15,198857.3331456,,2226.3800832
1982-01-16,284952.1849344,,2226.3800832
1982-01-17,256425.1610112,,2226.3800832
1982-01-18,201744.28753919998,,2226.3800832
1982-01-19,257746.309632,,2226.3800832
1982-01-20,144054.1310976,,2226.3800832
1982-01-21,202820.779008,,2226.3800832
1982-01-22,231323.33721599999,,2226.3800832
1982-01-23,402681.2064768,,2226.3800832
1982-01-24,174978.79511039998,,2226.3800832
1982-01-25,204851.4333696,,2226.3800832
1982-01-26,347853.5387136,,2226.3800832
1982-01-27,147797.38552319998,,2226.3800832
1982-01-28,146623.0311936,,2226.3800832
1982-01-29,205193.9533824,,2226.3800832
1982-01-30,235213.3859328,,2226.3800832
1982-01-31,148922.8084224,,2226.3800832
1982-02-01,177621.09235199998,,2226.3800832
1982-02-02,235017.6602112,,2226.3800832
1982-02-03,90987.99482879999,,2226.3800832
1982-02-04,148384.562688,,2226.3800832
1982-02-05,119857.5387648,,2250.8457984
1982-02-06,237880.1488896,,2250.8457984
1982-02-07,120248.99020799999,,2250.8457984
1982-02-08,208301.0992128,,2250.8457984
1982-02-09,210136.0278528,,2250.8457984
1982-02-10,90523.14624,,2250.8457984
1982-02-11,268731.4157568,,2250.8457984
1982-02-12,211236.9850368,,2250.8457984
1982-02-13,449337.3253632,,2250.8457984
1982-02-14,541988.9888256,,2250.8457984
1982-02-15,362239.3792512,,2250.8457984
1982-02-16,546392.8175616,,2250.8457984
1982-02-17,305796.9742848,,2250.8457984
1982-02-18,306628.8086016,,2250.8457984
1982-02-19,305992.7000064,,2250.8457984
1982-02-20,339779.85269759997,,2275.3115136
1982-02-21,492299.1212544,,2275.3115136
1982-02-22,342299.82136319997,,2275.3115136
1982-02-23,341859.43848959997,,2275.3115136
1982-02-24,436761.9477504,,2275.3115136
1982-02-25,374619.0311424,,2275.3115136
1982-02-26,377457.0541056,,2275.3115136
1982-02-27,252951.0294528,,2299.7772287999996
1982-02-28,379463.242752,,2299.7772287999996
1982-03-01,664660.0848384,,2299.7772287999996
1982-03-02,446376.973824,,2299.7772287999996
1982-03-03,288059.33076479996,,2299.7772287999996
1982-03-04,416504.3355648,,2299.7772287999996
1982-03-05,258553.67823360002,,2299.7772287999996
1982-03-06,354483.74753279996,,2299.7772287999996
1982-03-07,259923.7582848,,2299.7772287999996
1982-03-08,405445.83229439997,,2299.7772287999996
1982-03-09,217206.6195456,,2299.7772287999996
1982-03-10,400650.5521152,,2299.7772287999996
1982-03-11,463429.57731839997,,2299.7772287999996
1982-03-12,217818.2624256,,2299.7772287999996
1982-03-13,311962.3345152,,2299.7772287999996
1982-03-14,374888.1540096,,2299.7772287999996
1982-03-15,251238.4293888,,2299.7772287999996
1982-03-16,282334.353408,,2299.7772287999996
1982-03-17,252461.7151488,,2299.7772287999996
1982-03-18,346556.855808,,2324.242944
1982-03-19,222931.59690240002,,2324.242944
1982-03-20,284952.1849344,,2324.242944
1982-03-21,254785.9580928,,2324.242944
1982-03-22,255299.738112,,2324.242944
1982-03-23,255862.4495616,,2324.242944
1982-03-24,254883.82095360002,,2324.242944
1982-03-25,320598.7319808,,2324.242944
1982-03-26,288719.9050752,,2324.242944
1982-03-27,290921.8194432,,2324.242944
1982-03-28,323045.3035008,,2324.242944
1982-03-29,193548.2729472,,2324.242944
1982-03-30,421813.3957632,,2324.242944
1982-03-31,616120.1058816001,,2348.7086592
1982-04-01,262174.6040832,,2348.7086592
1982-04-02,489779.1525888,,2348.7086592
1982-04-03,361113.956352,,2348.7086592
1982-04-04,296255.3453568,,2348.7086592
1982-04-05,298726.382592,,2348.7086592
1982-04-06,297747.753984,,2348.7086592
1982-04-07,167957.13484800002,,2348.7086592
1982-04-08,331094.52380160004,,2348.7086592
1982-04-09,201059.2475136,,2348.7086592
1982-04-10,400430.3606784,,2348.7086592
1982-04-11,701529.9176448,,2348.7086592
1982-04-12,605159.465472,,2348.7086592
1982-04-13,573598.692864,,2348.7086592
1982-04-14,677064.2024448001,,2348.7086592
1982-04-15,444737.7709056,,2348.7086592
1982-04-16,376209.3026304,,2348.7086592
1982-04-17,412271.76683519996,,2348.7086592
1982-04-18,378729.27129600005,,2348.7086592
1982-04-19,241794.6633216,,2348.7086592
1982-04-20,520141.105152,,2348.7086592
1982-04-21,381763.0199808,,2373.1743744
1982-04-22,452371.074048,,2373.1743744
1982-04-23,526771.3139712,,2373.1743744
1982-04-24,678507.6796416,,2373.1743744
1982-04-25,713762.7752448,,2373.1743744
1982-04-26,816225.1905024,,2373.1743744
1982-04-27,920767.191552,,2373.1743744
1982-04-28,1091904.869376,,2373.1743744
1982-04-29,999546.794496,,2373.1743744
1982-04-30,1108614.9528576,,2397.6400896
1982-05-01,1253305.1925504,,2397.6400896
1982-05-02,1572656.173056,,2397.6400896
1982-05-03,1763268.5601792,,2397.6400896
1982-05-04,1680109.5942144,,2397.6400896
1982-05-05,1628584.7980032,,2397.6400896
1982-05-06,1611630.0573696,,2397.6400896
1982-05-07,1661686.9106688001,,2397.6400896
1982-05-08,1576962.1389312,,2397.6400896
1982-05-09,1455661.1229696001,,2397.6400896
1982-05-10,1402717.3152768,,2397.6400896
1982-05-11,1621612.0691711998,,2397.6400896
1982-05-12,1570038.3415296,,2397.6400896
1982-05-13,1727499.6845568,,2397.6400896
1982-05-14,2031143.6759040002,,2397.6400896
1982-05-15,2347583.2363008,,2397.6400896
1982-05-16,3109372.2104832004,,2397.6400896
1982-05-17,3022127.47008,,2422.1058048
1982-05-18,2971410.0424703998,,2422.1058048
1982-05-19,2771476.2178559997,,2422.1058048
1982-05-20,2817398.3652863996,,2422.1058048
1982-05-21,2934540.209664,,2422.1058048
1982-05-22,3350555.2309248,,2422.1058048
1982-05-23,3200898.4510464,,2422.1058048
1982-05-24,3472541.286912,,2446.57152
1982-05-25,3941182.0615680004,,2446.57152
1982-05-26,4284240.320102399,,2446.57152
1982-05-27,3228055.3949184003,,2446.57152
1982-05-28,1637319.0583296,,2446.57152
1982-05-29,1198673.2505088,,2446.57152
1982-05-30,414840.6669312,,2446.57152
1982-05-31,303546.1284864,,2446.57152
1982-06-01,2574918.6619392,,2385407.232
1982-06-02,2683203.9174144,,2495502.9504
1982-06-03,2781262.5039359997,,2593365.8112
1982-06-04,2766632.0062463996,,2691228.672
1982-06-05,2776736.346624,,2813557.248
1982-06-06,2686873.7746944,,2838022.9632
1982-06-07,2550575.2753152,,2740160.1023999997
1982-06-08,2530121.937408,,2642297.2416
1982-06-09,2507735.808,,2544434.3808
1982-06-10,2717798.4387072,,2568900.096
1982-06-11,3007472.5066752,,2666762.9568
1982-06-12,3502438.3908864,,2935885.824
1982-06-13,3822034.028544,,3253940.1215999997
1982-06-14,4434043.894272,,3596460.1344
1982-06-15,4621598.0669952,,4012377.2928
1982-06-16,4967690.0742144,,4354897.3056
1982-06-17,5199307.000012799,,4624020.1728
1982-06-18,5293255.3463808,,4868677.3248
1982-06-19,5154657.0697727995,,5039937.3312
1982-06-20,5354248.3743744,,5162265.9072
1982-06-21,4921352.0096256,,5113334.4768
1982-06-22,4949683.3078272,,5064403.0464
1982-06-23,5444502.3977472,,5137800.192
1982-06-24,4733235.1254528,,5039937.3312
1982-06-25,4573449.5394816,,4844211.6096
1982-06-26,4125359.9655936,,4624020.1728
1982-06-27,4514658.425856,,4477225.8816
1982-06-28,4338505.276416,,4452760.1663999995
1982-06-29,3554403.5699711996,,4281500.16
1982-06-30,3706384.5927936,,4012377.2928
1982-07-01,3263750.8733952,,3645391.5648
1982-07-02,3183772.4504064,,3449665.8432
1982-07-03,2961428.0306688,,3302871.552
1982-07-04,2587934.4224256,,3082680.1152
