date,total avg discharge (m3/d),inflow(m3/d),wse(m),avg air temperature (C),max air temperature (C),min air temperature (C),storage(m3),canal discharge (m3/d),outflow(m3/d)
1982-01-01,,,676.1988,,,,29308718.28,,
1982-01-02,,,675.95496,,,,28753652.28,,
1982-01-03,,,675.61968,,,,27999996.0,,
1982-01-04,,,675.2844,,,,27258674.52,,
1982-01-05,,,674.9186400000001,,,,26463079.92,,
1982-01-06,,,674.55288,,,,25682287.080000002,,
1982-01-07,,,674.6748,,,,25941317.88,,
1982-01-08,,,674.76624,,,,26136207.72,,
1982-01-09,,,674.8485360000001,,,,26310954.8316,,
1982-01-10,,,674.927784,,,,26485689.608400002,,
1982-01-11,,,675.01008,,,,26660436.72,,
1982-01-12,,,675.122856,,,,26904258.7116,,
1982-01-13,,,675.232584,,,,27148068.368400004,,
1982-01-14,,,675.34536,,,,27391890.36,,
1982-01-15,,,675.4368000000001,,,,27594797.82,,
1982-01-16,,,675.5282400000001,,,,27797705.28,,
1982-01-17,,,675.61968,,,,28000612.740000002,,
1982-01-18,,,675.71112,,,,28203520.2,,
1982-01-19,,,675.80256,,,,28409511.36,,
1982-01-20,,,675.894,,,,28615502.52,,
1982-01-21,,,675.9671519999999,,,,28782269.016000003,,
1982-01-22,,,676.040304,,,,28949035.512000002,,
1982-01-23,,,676.1134559999999,,,,29115802.007999998,,
1982-01-24,,,676.1866080000001,,,,29282568.504,,
1982-01-25,,,676.25976,,,,29449335.0,,
1982-01-26,,,676.3664400000001,,,,29663960.52,,
1982-01-27,,,676.4731200000001,,,,29878586.04,,
1982-01-28,,,676.5798,,,,30093211.56,,
1982-01-29,,,676.68648,,,,30307837.080000002,,
1982-01-30,,,676.79316,,,,30522462.6,,
1982-01-31,,,676.89984,,,,30737088.12,,
1982-02-01,,,676.9608000000001,,,,30951713.64,,
1982-02-02,,,677.02176,,,,31166339.16,,
1982-02-03,,,677.0827200000001,,,,31380964.68,,
1982-02-04,,,677.125392,,,,31484330.304,,
1982-02-05,,,677.168064,,,,31587695.928,,
1982-02-06,,,677.2107360000001,,,,31691061.552,,
1982-02-07,,,677.253408,,,,31794427.176000003,,
1982-02-08,,,677.29608,,,,31897792.8,,
1982-02-09,,,677.436288,,,,32244758.389200002,,
1982-02-10,,,677.5734480000001,,,,32591711.643600002,,
1982-02-11,,,677.713656,,,,32938677.2328,,
1982-02-12,,,677.8538639999999,,,,33285630.4872,,
1982-02-13,,,677.994072,,,,33632596.076400004,,
1982-02-14,,,678.1312320000001,,,,33979549.3308,,
1982-02-15,,,678.2714400000001,,,,34326514.92,,
1982-02-16,,,678.75912,,,,35603783.46,,
1982-02-17,,,679.2468,,,,36881052.0,,
1982-02-18,,,679.5516,,,,37707483.6,,
1982-02-19,,,680.1002400000001,,,,39281811.128400005,,
1982-02-20,,,680.64888,,,,40856150.9916,,
1982-02-21,,,681.19752,,,,42430478.52,,
1982-02-22,,,681.6547200000001,,,,43797174.36,,
1982-02-23,,,681.77664,,,,44162284.44,,
1982-02-24,,,681.6852,,,,43888451.88,,
1982-02-25,,,681.59376,,,,43614619.32,,
1982-02-26,,,681.44136,,,,43158231.72,,
1982-02-27,,,681.28896,,,,42701844.12,,
1982-02-28,,,681.10608,,,,42160963.14,,
1982-03-01,,,680.9232000000001,,,,41620082.160000004,,
1982-03-02,,,680.86224,,,,41439994.08,,
1982-03-03,,,681.0451200000001,,,,41980258.32,,
1982-03-04,,,681.0756,,,,42070302.36,,
1982-03-05,,,681.10608,,,,42160346.4,,
1982-03-06,,,681.127416,,,,42220379.8716,,
1982-03-07,,,681.145704,,,,42280401.0084,,
1982-03-08,,,681.16704,,,,42340434.480000004,,
1982-03-09,,,681.16704,,,,42340434.480000004,,
1982-03-10,,,681.25848,,,,42610566.6,,
1982-03-11,,,681.3499200000001,,,,42884399.160000004,,
1982-03-12,,,681.47184,,,,43249509.24,,
1982-03-13,,,681.56328,,,,43523341.8,,
1982-03-14,,,681.6547200000001,,,,43797174.36,,
1982-03-15,,,681.74616,,,,44071006.92,,
1982-03-16,,,681.86808,,,,44436117.0,,
1982-03-17,,,681.9290400000001,,,,44621139.0,,
1982-03-18,,,682.05096,,,,44991183.0,,
1982-03-19,,,682.133256,,,,45237879.0,,
1982-03-20,,,682.2125040000001,,,,45484575.0,,
1982-03-21,,,682.2948,,,,45731271.0,,
1982-03-22,,,682.38624,,,,46008804.0,,
1982-03-23,,,682.4472000000001,,,,46193826.0,,
1982-03-24,,,682.5691200000001,,,,46568803.92,,
1982-03-25,,,682.72152,,,,47037526.32,,
1982-03-26,,,682.8434400000001,,,,47417438.160000004,,
1982-03-27,,,682.93488,,,,47708539.44,,
1982-03-28,,,682.9501200000001,,,,47757878.64,,
1982-03-29,,,682.96536,,,,47807217.84,,
1982-03-30,,,682.99584,,,,47905896.24,,
1982-03-31,,,682.99584,,,,47905896.24,,
1982-04-01,,,682.99584,,,,47905896.24,,
1982-04-02,,,682.99584,,,,47905896.24,,
1982-04-03,,,682.956216,,,,47771039.8716,,
1982-04-04,,,682.9135440000001,,,,47636171.168400005,,
1982-04-05,,,682.8739200000001,,,,47501314.8,,
1982-04-06,,,682.81296,,,,47316292.8,,
1982-04-07,,,682.7520000000001,,,,47131270.8,,
