date,inflow(m3/d),outflow(m3/d),wse(m),storage(m3)
1982-01-01,35768.875622399995,0.0,2194.7124,15211275.36
1982-01-02,18496.080691199997,0.0,2194.72764,15229777.56
1982-01-03,19743.8321664,0.0,2194.7428800000002,15249513.24
1982-01-04,18496.080691199997,0.0,2194.75812,15268015.44
1982-01-05,19743.8321664,0.0,2194.776408,15287751.120000001
1982-01-06,19743.8321664,0.0,2194.7916480000004,15307486.8
1982-01-07,18496.080691199997,0.0,2194.806888,15325989.0
1982-01-08,19743.8321664,0.0,2194.8251760000003,15345724.68
1982-01-09,18496.080691199997,0.0,2194.840416,15364226.88
1982-01-10,19743.8321664,0.0,2194.855656,15383962.56
1982-01-11,19743.8321664,0.0,2194.873944,15403698.24
1982-01-12,18496.080691199997,0.0,2194.889184,15422200.44
1982-01-13,19743.8321664,0.0,2194.9044240000003,15441936.120000001
1982-01-14,19743.8321664,0.0,2194.922712,15461671.8
1982-01-15,12330.7204608,0.0,2194.931856,15474006.6
1982-01-16,12330.7204608,0.0,2194.934904,15486341.4
1982-01-17,13578.471936,0.0,2194.953192,15499909.68
1982-01-18,12330.7204608,0.0,2194.965384,15512244.48
1982-01-19,13578.471936,0.0,2194.974528,15525812.76
1982-01-20,12330.7204608,0.0,2194.98672,15538147.56
1982-01-21,13578.471936,0.0,2194.998912,15551715.84
1982-01-22,12330.7204608,0.0,2195.008056,15564050.64
1982-01-23,13578.471936,0.0,2195.0202480000003,15577618.92
1982-01-24,12330.7204608,0.0,2195.029392,15589953.72
1982-01-25,13578.471936,0.0,2195.041584,15603522.0
1982-01-26,12330.7204608,0.0,2195.050728,15615856.8
1982-01-27,13578.471936,0.0,2195.06292,15629425.08
1982-01-28,12330.7204608,0.0,2195.075112,15641759.88
1982-01-29,0.0,0.0,2195.075112,15641759.88
1982-01-30,0.0,0.0,2195.075112,15641759.88
1982-01-31,1149.8886143999998,0.0,2195.075112,15642907.0164
1982-02-01,11180.8318464,0.0,2195.084256,15654094.68
1982-02-02,11107.4347008,0.0,2195.0934,15665196.0
1982-02-03,11107.4347008,0.0,2195.102544,15676297.32
1982-02-04,11107.4347008,0.0,2195.1116880000004,15687398.64
1982-02-05,12330.7204608,0.0,2195.120832,15699733.44
1982-02-06,11107.4347008,0.0,2195.129976,15710834.76
1982-02-07,11107.4347008,0.0,2195.142168,15721936.08
1982-02-08,11107.4347008,0.0,2195.151312,15733037.4
1982-02-09,12330.7204608,0.0,2195.160456,15745372.200000001
1982-02-10,11107.4347008,0.0,2195.1696,15756473.52
1982-02-11,11107.4347008,0.0,2195.178744,15767574.84
1982-02-12,11107.4347008,0.0,2195.197032,15778676.16
1982-02-13,12330.7204608,0.0,2195.20008,15791010.96
1982-02-14,11107.4347008,0.0,2195.209224,15802112.28
1982-02-15,11107.4347008,0.0,2195.2183680000003,15813213.6
1982-02-16,11107.4347008,0.0,2195.227512,15824314.92
1982-02-17,12330.7204608,0.0,2195.236656,15836649.72
1982-02-18,-4942.0744704,0.0,2195.233608,15831715.8
1982-02-19,-4942.0744704,0.0,2195.227512,15826781.88
1982-02-20,-4942.0744704,0.0,2195.2244640000004,15821847.96
1982-02-21,-4942.0744704,0.0,2195.2214160000003,15816914.040000001
1982-02-22,-4942.0744704,0.0,2195.21532,15811980.120000001
1982-02-23,-4942.0744704,0.0,2195.212272,15807046.200000001
1982-02-24,-4942.0744704,0.0,2195.209224,15802112.28
1982-02-25,-4942.0744704,0.0,2195.203128,15797178.36
1982-02-26,-4942.0744704,0.0,2195.20008,15792244.44
1982-02-27,-4942.0744704,0.0,2195.197032,15787310.52
1982-02-28,-3694.3229952,0.0,2195.190936,15783610.08
1982-03-01,13578.471936,0.0,2195.203128,15797178.36
1982-03-02,14801.757695999999,0.0,2195.21532,15811980.120000001
1982-03-03,14801.757695999999,0.0,2195.227512,15826781.88
1982-03-04,13578.471936,0.0,2195.239704,15840350.16
1982-03-05,14801.757695999999,0.0,2195.251896,15855151.92
1982-03-06,13578.471936,0.0,2195.2640880000004,15868720.200000001
1982-03-07,14801.757695999999,0.0,2195.27628,15883521.96
1982-03-08,13578.471936,0.0,2195.29152,15897090.24
1982-03-09,14801.757695999999,0.0,2195.29152,15911892.0
1982-03-10,14801.757695999999,0.0,2195.322,15926693.76
1982-03-11,13578.471936,0.0,2195.325048,15940262.040000001
1982-03-12,14801.757695999999,0.0,2195.3372400000003,15955063.8
1982-03-13,13578.471936,0.0,2195.349432,15968632.08
1982-03-14,14801.757695999999,0.0,2195.361624,15983433.84
1982-03-15,14801.757695999999,0.0,2195.3738160000003,15998235.6
1982-03-16,6165.3602304,0.0,2195.379912,16004403.0
1982-03-17,7413.111705599999,0.0,2195.386008,16011803.88
1982-03-18,6165.3602304,0.0,2195.389056,16017971.28
1982-03-19,7413.111705599999,0.0,2195.395152,16025372.16
1982-03-20,6165.3602304,0.0,2195.401248,16031539.56
1982-03-21,7413.111705599999,0.0,2195.407344,16038940.44
1982-03-22,7413.111705599999,0.0,2195.4134400000003,16046341.32
1982-03-23,6165.3602304,0.0,2195.419536,16052508.72
1982-03-24,7413.111705599999,0.0,2195.425632,16059909.6
1982-03-25,6165.3602304,0.0,2195.431728,16066077.0
1982-03-26,7413.111705599999,0.0,2195.437824,16073477.88
1982-03-27,6165.3602304,0.0,2195.440872,16079645.28
1982-03-28,7413.111705599999,0.0,2195.446968,16087046.16
1982-03-29,7413.111705599999,0.0,2195.4530640000003,16094447.040000001
1982-03-30,0.0,0.0,2195.4530640000003,16094447.040000001
1982-03-31,0.0,0.0,2195.4530640000003,16094447.040000001
1982-04-01,-366.985728,0.0,2195.4530640000003,16094076.996000001
1982-04-02,13945.457664,0.0,2195.4652560000004,16108015.32
1982-04-03,14801.757695999999,0.0,2195.477448,16122817.08
1982-04-04,13578.471936,0.0,2195.4896400000002,16136385.36
1982-04-05,14801.757695999999,0.0,2195.5018320000004,16151187.120000001
1982-04-06,14801.757695999999,0.0,2195.514024,16165988.88
1982-04-07,14801.757695999999,0.0,2195.526216,16180790.64
1982-04-08,13578.471936,0.0,2195.5384080000003,16194358.92
1982-04-09,14801.757695999999,0.0,2195.5506,16209160.68
1982-04-10,14801.757695999999,0.0,2195.562792,16223962.44
1982-04-11,13578.471936,0.0,2195.5749840000003,16237530.72
1982-04-12,14801.757695999999,0.0,2195.587176,16252332.48
1982-04-13,14801.757695999999,0.0,2195.599368,16267134.24
1982-04-14,14801.757695999999,0.0,2195.6115600000003,16281936.0
1982-04-15,14679.42912,0.0,2195.623752,16296614.412
1982-04-16,8758.7260416,0.0,2195.632896,16305372.120000001
1982-04-17,34325.3984256,24465.7152,2195.638992,16315239.96
1982-04-18,39218.5414656,29358.85824,2195.648136,16325107.8
1982-04-19,-40955.6072448,29358.85824,2195.590224,16254799.44
1982-04-20,4477.2258816,73397.1456,2195.532312,16185872.5776
1982-04-21,-31585.2383232,73397.1456,2195.44392,16080878.76
1982-04-22,-31438.444032,73397.1456,2195.355528,15976032.96
1982-04-23,-30215.158271999997,73397.1456,2195.267136,15872420.64
1982-04-24,45065.8473984,68504.00256,2195.248848,15848984.52
1982-04-25,46289.1331584,68504.00256,2195.227512,15826781.88
1982-04-26,46289.1331584,68504.00256,2195.209224,15804579.24
1982-04-27,45065.8473984,68504.00256,2195.190936,15781143.120000001
1982-04-28,46289.1331584,68504.00256,2195.172648,15758940.48
1982-04-29,46289.1331584,68504.00256,2195.15436,15736737.84
1982-04-30,45065.8473984,68504.00256,2195.133024,15713301.72
1982-05-01,69727.28831999999,68504.00256,2195.133024,15714535.200000001
1982-05-02,37677.201408,68504.00256,2195.1086400000004,15683698.200000001
1982-05-03,38900.487168,68504.00256,2195.084256,15654094.68
