date,total avg discharge (m3/d),inflow(m3/d),wse(m),avg air temperature (C),max air temperature (C),min air temperature (C),canal discharge (m3/d),storage(m3),outflow(m3/d)
1982-01-01,,,1376.2238160000002,,,,,49870521.51,
1982-01-02,,,1376.296968,,,,,50347569.9,
1982-01-03,,,1376.373168,,,,,50824618.29,
1982-01-04,,,1376.44632,,,,,51301666.68,
1982-01-05,,,1376.4828960000002,,,,,51533733.6072,
1982-01-06,,,1376.5164240000001,,,,,51765812.8692,
1982-01-07,,,1376.553,,,,,51997879.7964,
1982-01-08,,,1376.589576,,,,,52229946.7236,
1982-01-09,,,1376.626152,,,,,52462013.6508,
1982-01-10,,,1376.6596800000002,,,,,52694092.9128,
1982-01-11,,,1376.6962560000002,,,,,52926159.84,
1982-01-12,,,1376.7206400000002,,,,,53078235.589200005,
1982-01-13,,,1376.741976,,,,,53230299.0036,
1982-01-14,,,1376.76636,,,,,53382374.7528,
1982-01-15,,,1376.787696,,,,,53534438.1672,
1982-01-16,,,1376.8120800000002,,,,,53686513.9164,
1982-01-17,,,1376.8334160000002,,,,,53838577.3308,
1982-01-18,,,1376.8578,,,,,53990653.08,
1982-01-19,,,1376.882184,,,,,54205636.309200004,
1982-01-20,,,1376.90352,,,,,54420607.2036,
1982-01-21,,,1376.927904,,,,,54635590.4328,
1982-01-22,,,1376.9522880000002,,,,,54850561.3272,
1982-01-23,,,1376.9766720000002,,,,,55065544.5564,
1982-01-24,,,1376.998008,,,,,55280515.4508,
1982-01-25,,,1377.022392,,,,,55495498.68,
1982-01-26,,,1377.0437279999999,,,,,55570950.651599996,
1982-01-27,,,1377.0650640000001,,,,,55646390.2884,
1982-01-28,,,1377.0864000000001,,,,,55721842.26,
1982-01-29,,,1377.107736,,,,,55797294.2316,
1982-01-30,,,1377.1290720000002,,,,,55872733.8684,
1982-01-31,,,1377.150408,,,,,55948185.84,
1982-02-01,,,1377.1626,,,,,56020196.402399994,
1982-02-02,,,1377.171744,,,,,56092194.63,
1982-02-03,,,1377.183936,,,,,56164205.1924,
1982-02-04,,,1377.1930800000002,,,,,56236203.42,
1982-02-05,,,1377.2052720000002,,,,,56308213.9824,
1982-02-06,,,1377.214416,,,,,56380212.21,
1982-02-07,,,1377.2266080000002,,,,,56452222.7724,
1982-02-08,,,1377.235752,,,,,56524221.0,
1982-02-09,,,1377.2631840000001,,,,,56717346.9636,
1982-02-10,,,1377.2936640000003,,,,,56910472.9272,
1982-02-11,,,1377.3210960000001,,,,,57103598.8908,
1982-02-12,,,1377.348528,,,,,57296737.1892,
1982-02-13,,,1377.37596,,,,,57489863.1528,
1982-02-14,,,1377.4064400000002,,,,,57682989.1164,
1982-02-15,,,1377.433872,,,,,57876115.08,
1982-02-16,,,1377.577128,,,,,58891441.8072,
1982-02-17,,,1377.720384,,,,,59906780.8692,
1982-02-18,,,1377.86364,,,,,60922107.5964,
1982-02-19,,,1378.003848,,,,,61937434.3236,
1982-02-20,,,1378.147104,,,,,62952761.0508,
1982-02-21,,,1378.29036,,,,,63968100.1128,
1982-02-22,,,1378.433616,,,,,64983426.84,
1982-02-23,,,1378.5220080000001,,,,,65658313.0872,
1982-02-24,,,1378.613448,,,,,66333211.6692,
1982-02-25,,,1378.7018400000002,,,,,67008097.9164,
1982-02-26,,,1378.79328,,,,,67682984.1636,
1982-02-27,,,1378.8816720000002,,,,,68357870.4108,
1982-02-28,,,1378.973112,,,,,69032768.9928,
1982-03-01,,,1379.061504,,,,,69707655.24,
1982-03-02,,,1379.137704,,,,,70294434.0108,
1982-03-03,,,1379.2108560000001,,,,,70881225.1164,
1982-03-04,,,1379.2870560000001,,,,,71468003.8872,
1982-03-05,,,1379.360208,,,,,72054794.9928,
1982-03-06,,,1379.436408,,,,,72641573.7636,
1982-03-07,,,1379.50956,,,,,73228364.8692,
1982-03-08,,,1379.58576,,,,,73815143.64,
1982-03-09,,,1379.61624,,,,,74059989.42,
1982-03-10,,,1379.64672,,,,,74304835.2,
1982-03-11,,,1379.6772,,,,,74549680.98,
1982-03-12,,,1379.7076800000002,,,,,74794526.76,
1982-03-13,,,1379.7351119999998,,,,,74967213.96000001,
1982-03-14,,,1379.765592,,,,,75139901.16,
1982-03-15,,,1379.793024,,,,,75312588.36,
1982-03-16,,,1379.8204560000001,,,,,75593414.7516,
1982-03-17,,,1379.8478880000002,,,,,75874228.8084,
1982-03-18,,,1379.8753199999999,,,,,76155055.2,
1982-03-19,,,1379.8753199999999,,,,,76155055.2,
1982-03-20,,,1379.8753199999999,,,,,76155055.2,
1982-03-21,,,1379.8753199999999,,,,,76155055.2,
1982-03-22,,,1379.8753199999999,,,,,76155055.2,
1982-03-23,,,1379.8753199999999,,,,,76155055.2,
1982-03-24,,,1379.8753199999999,,,,,76155055.2,
1982-03-25,,,1379.8753199999999,,,,,76155055.2,
1982-03-26,,,1379.8753199999999,,,,,76155055.2,
1982-03-27,,,1379.8753199999999,,,,,76155055.2,
1982-03-28,,,1379.8753199999999,,,,,76155055.2,
1982-03-29,,,1379.8753199999999,,,,,76155055.2,
1982-03-30,,,1379.8753199999999,,,,,76155055.2,
1982-03-31,,,1379.8753199999999,,,,,76155055.2,
1982-04-01,,,1379.8753199999999,,,,,76155055.2,
1982-04-02,,,1379.8753199999999,,,,,76155055.2,
1982-04-03,,,1379.8753199999999,,,,,76155055.2,
1982-04-04,,,1379.8753199999999,,,,,76155055.2,
1982-04-05,,,1379.8753199999999,,,,,76155055.2,
1982-04-06,,,1379.8753199999999,,,,,76151527.4472,
1982-04-07,,,1379.8753199999999,,,,,76148012.0292,
1982-04-08,,,1379.8753199999999,,,,,76144484.2764,
1982-04-09,,,1379.872272,,,,,76140956.5236,
1982-04-10,,,1379.872272,,,,,76137428.7708,
1982-04-11,,,1379.872272,,,,,76133913.3528,
1982-04-12,,,1379.872272,,,,,76130385.6,
1982-04-13,,,1379.8844640000002,,,,,76226597.04,
1982-04-14,,,1379.8966560000001,,,,,76322808.48,
1982-04-15,,,1379.908848,,,,,76419019.92,
1982-04-16,,,1379.9179920000001,,,,,76515231.36,
1982-04-17,,,1379.930184,,,,,76611442.8,
1982-04-18,,,1379.942376,,,,,76707654.24,
1982-04-19,,,1379.954568,,,,,76803865.68,
1982-04-20,,,1379.954568,,,,,76800337.9272,
1982-04-21,,,1379.954568,,,,,76796822.5092,
1982-04-22,,,1379.954568,,,,,76793294.7564,
1982-04-23,,,1379.9515199999998,,,,,76789767.0036,
1982-04-24,,,1379.9515199999998,,,,,76786239.2508,
1982-04-25,,,1379.9515199999998,,,,,76782723.8328,
1982-04-26,,,1379.9515199999998,,,,,76779196.08,
1982-04-27,,,1379.9576160000001,,,,,76816817.22,
1982-04-28,,,1379.9606640000002,,,,,76854438.36,
1982-04-29,,,1379.96676,,,,,76892059.5,
1982-04-30,,,1379.969808,,,,,76929680.64,
1982-05-01,,,1379.975904,,,,,76979426.8884,
1982-05-02,,,1379.982,,,,,77029185.4716,
1982-05-03,,,1379.9880960000003,,,,,77078931.72,
1982-05-04,,,1379.978952,,,,,77000346.7092,
1982-05-05,,,1379.969808,,,,,76921749.3636,
1982-05-06,,,1379.9606640000002,,,,,76843164.3528,
1982-05-07,,,1379.9484720000003,,,,,76764567.0072,
1982-05-08,,,1379.939328,,,,,76685981.9964,
1982-05-09,,,1379.930184,,,,,76607384.6508,
1982-05-10,,,1379.9210400000002,,,,,76528799.64,
1982-05-11,,,1379.9118960000003,,,,,76493201.4072,
1982-05-12,,,1379.902752,,,,,76457615.5092,
1982-05-13,,,1379.893608,,,,,76422017.2764,
1982-05-14,,,1379.887512,,,,,76386419.04360001,
1982-05-15,,,1379.8783680000001,,,,,76350820.8108,
1982-05-16,,,1379.869224,,,,,76315234.9128,
1982-05-17,,,1379.8600800000002,,,,,76279636.68,
1982-05-18,,,1379.8600800000002,,,,,76240523.0292,
1982-05-19,,,1379.8600800000002,,,,,76201397.04360001,
1982-05-20,,,1379.8600800000002,,,,,76162283.3928,
1982-05-21,,,1379.8570320000001,,,,,76123157.4072,
1982-05-22,,,1379.8570320000001,,,,,76084043.7564,
1982-05-23,,,1379.8570320000001,,,,,76044917.7708,
1982-05-24,,,1379.8570320000001,,,,,76005804.12,
1982-05-25,,,1379.8448400000002,,,,,75910295.7636,
1982-05-26,,,1379.832648,,,,,75814787.4072,
1982-05-27,,,1379.8204560000001,,,,,75719279.0508,
1982-05-28,,,1379.811312,,,,,75623783.0292,
1982-05-29,,,1379.79912,,,,,75528274.6728,
1982-05-30,,,1379.786928,,,,,75432766.3164,
1982-05-31,,,1379.774736,,,,,75337257.96000001,
1982-06-01,,,1379.777784,,,,,75333730.2072,
1982-06-02,,,1379.777784,,,,,75330214.78920001,
1982-06-03,,,1379.7808320000001,,,,,75326687.0364,
1982-06-04,,,1379.7808320000001,,,,,75323159.2836,
1982-06-05,,,1379.7838800000002,,,,,75319631.5308,
1982-06-06,,,1379.7838800000002,,,,,75316116.1128,
1982-06-07,,,1379.786928,,,,,75312588.36,
1982-06-08,,,1379.7076800000002,,,,,74794526.76,
1982-06-09,,,1379.7046320000002,,,,,74778084.4716,
1982-06-10,,,1379.7046320000002,,,,,74761629.8484,
1982-06-11,,,1379.7015840000001,,,,,74745187.56,
1982-06-12,,,1379.6985359999999,,,,,74728745.2716,
1982-06-13,,,1379.6985359999999,,,,,74712290.64840001,
1982-06-14,,,1379.6954880000003,,,,,74695848.36,
1982-06-15,,,1379.6772,,,,,74549236.9272,
1982-06-16,,,1379.6589119999999,,,,,74402637.8292,
1982-06-17,,,1379.6406240000001,,,,,74256026.3964,
1982-06-18,,,1379.622336,,,,,74109414.9636,
1982-06-19,,,1379.6040480000001,,,,,73962803.5308,
1982-06-20,,,1379.58576,,,,,73816204.4328,
1982-06-21,,,1379.5674720000002,,,,,73669593.0,
1982-06-22,,,1379.549184,,,,,73531085.5308,
1982-06-23,,,1379.533944,,,,,73392590.3964,
1982-06-24,,,1379.515656,,,,,73254082.9272,
1982-06-25,,,1379.497368,,,,,73115587.7928,
1982-06-26,,,1379.47908,,,,,72977080.3236,
1982-06-27,,,1379.4638400000001,,,,,72838585.1892,
