date,computed flow(m3/d),wse(m),outflow(m3/d),avg air temperature (C),max air temperature (C),min air temperature (C),storage(m3)
1982-01-01,1325283.3266688,1918.725144,,,,,98344570.9728
1982-01-02,1628853.9208704,1918.7800080000002,,,,,99643141.7124
1982-01-03,984108.9282048,1918.80744,,,,,100296972.456
1982-01-04,992158.1485055999,1918.8348720000001,,,,,100958833.1544
1982-01-05,928009.0432512,1918.8592560000002,,,,,101549226.0216
1982-01-06,1302383.4172416,1918.8988800000002,,,,,102513992.4036
1982-01-07,860263.4778624,1918.9202160000002,,,,,103036617.8796
1982-01-08,1013712.4435968,1918.947648,,,,,103712700.6024
1982-01-09,1785679.1553024,1919.00556,,,,,105160756.7832
1982-01-10,791392.4895744,1919.0238480000003,,,,,105614529.4056
1982-01-11,707817.6064512,1919.0390880000002,,,,,105984721.4232
1982-01-12,1299643.2571392,1919.078712,,,,,106946749.47960001
1982-01-13,858550.8777984,1919.1000480000002,,,,,107467672.7532
1982-01-14,1316916.0520704,1919.1396720000002,,,,,108446969.52960001
1982-01-15,1095476.8637952,1919.1701520000001,,,,,109204807.30680001
1982-01-16,1250393.7724416,1919.2067279999999,,,,,110117582.50680001
1982-01-17,1261745.8642944,1919.2433039999999,,,,,111041705.7228
1982-01-18,1033945.5900672,1919.270736,,,,,111738029.8524
1982-01-19,961894.0588032,1919.29512,,,,,112362306.41520001
1982-01-20,1324622.7523583998,1919.3316960000002,,,,,113305252.536
1982-01-21,1161583.2262656,1919.3560800000002,,,,,113938385.4852
1982-01-22,1172372.6066687999,1919.380464,,,,,114574959.8436
1982-01-23,1654542.9218304,1919.423136,,,,,115693701.53400001
1982-01-24,1182183.358464,1919.44752,,,,,116340082.0584
1982-01-25,860214.546432,1919.459712,,,,,116664499.6332
1982-01-26,1267519.7730816,1919.487144,,,,,117396212.304
1982-01-27,783269.8721279999,1919.4962880000003,,,,,117643673.0616
1982-01-28,1193192.930304,1919.520672,,,,,118301056.2276
