date,inflow(m3/d),storage(m3),outflow(m3/d),wse(m),avg air temperature (C),min air temperature (C),max air temperature (C)
1982-01-01,295986.2224896,159894778.92000002,4893.14304,681.432216,-6.005483599999998,-9.705513199999999,-1.766560799999997
1982-01-02,191150.6328576,160081034.4,4893.14304,681.480984,-6.194373999999998,-9.0055076,-1.9221175999999982
1982-01-03,191150.6328576,160267289.88,4893.14304,681.4840320000001,-4.516582799999997,-7.838831599999997,-2.622123199999997
1982-01-04,191150.6328576,160453545.36,4893.14304,681.508416,-5.211032799999998,-6.905490799999997,-3.944355999999999
1982-01-05,191150.6328576,160639800.84,4893.14304,681.526704,-9.705513199999999,-17.4055748,-6.749933999999998
1982-01-06,191150.6328576,160826056.32,4893.14304,681.526704,-16.038897199999997,-12.238866799999998,-7.527717999999998
1982-01-07,191150.6328576,161012311.8,4893.14304,681.5358480000001,-12.027753999999998,-17.688910399999997,-2.0776743999999976
1982-01-08,191150.6328576,161198567.28,4893.14304,681.5419440000001,1.7445784000000017,-2.388787999999998,4.3779328000000035
1982-01-09,191150.6328576,161384822.76,4893.14304,681.5480400000001,-2.283231599999997,-3.8665775999999976,-0.9109983999999969
1982-01-10,191150.6328576,161571078.24,4893.14304,681.5724240000001,-3.455463199999997,-6.199929599999997,-0.5221063999999984
1982-01-11,250357.6636416,161816540.76,4893.14304,681.5998559999999,1.7279116000000023,-1.533225599999998,4.222376000000004
1982-01-12,312035.7316608,162123677.28,4893.14304,681.609,0.8334600000000023,-1.144333599999996,2.744586400000003
1982-01-13,377408.1226752,162496188.24,4893.14304,681.6181440000001,3.639038000000003,2.511251200000004,4.3779328000000035
1982-01-14,725237.1956736,163216540.56,4893.14304,681.682152,3.4445920000000037,2.511251200000004,4.300154400000004
1982-01-15,662311.3761791999,163871518.44,7339.71456,681.727872,1.1445736000000046,-2.233231199999997,2.8223648000000026
1982-01-16,532789.8799104,164394513.96,9786.28608,681.80712,-2.411010399999997,-4.022134399999997,1.8890240000000027
1982-01-17,464970.917376,164852135.04,7339.71456,681.828456,-0.05543599999999671,-1.144333599999996,1.1112400000000022
1982-01-18,464970.917376,165309756.12,7339.71456,681.855888,-1.0387771999999984,-4.877696799999999,2.744586400000003
1982-01-19,466194.203136,165768610.68,7339.71456,681.8711280000001,-3.3443511999999966,-5.8888159999999985,4.455711200000003
1982-01-20,462524.345856,166226231.76,4893.14304,681.901608,-3.4887967999999976,-4.7999183999999975,-1.6110039999999977
1982-01-21,555029.2150272,166776363.84,4893.14304,681.9077040000001,-3.938800399999998,-5.266588799999997,-1.8443391999999985
