date,avg water temperature (C),min_temp(C),max_temp(C),inflow(m3/d),outflow(m3/d)
1982-01-01,,,,422743.09294079995,0.0
1982-01-02,,,,234357.0859008,0.0
1982-01-03,,,,224497.40267520002,0.0
1982-01-04,,,,360184.2591744,0.0
1982-01-05,,,,147870.7826688,0.0
1982-01-06,,,,200154.01605120001,0.0
1982-01-07,,,,113618.7813888,0.0
1982-01-08,,,,210551.9450112,0.0
1982-01-09,,,,158709.0945024,0.0
1982-01-10,,,,177033.9151872,0.0
1982-01-11,,,,231323.33721599999,0.0
1982-01-12,,,,187798.8298752,0.0
1982-01-13,,,,233818.84016639998,0.0
1982-01-14,,,,226014.2770176,0.0
1982-01-15,,,,318739.3376256,0.0
1982-01-16,,,,982787.779584,0.0
1982-01-17,,,,1858905.0408959999,0.0
1982-01-18,,,,1707755.8523904,0.0
1982-01-19,,,,1188006.1986816,0.0
1982-01-20,,,,906356.8852992,0.0
1982-01-21,,,,725750.9756928,0.0
1982-01-22,,,,596669.8622976,0.0
1982-01-23,,,,361456.4763648,0.0
1982-01-24,,,,3253915.6558848,0.0
1982-01-25,,,,3777359.6325888,137008.00512
1982-01-26,,,,2649783.7504511997,523566.30528
1982-01-27,,,,2557474.6070016,1137655.7568
1982-01-28,,,,1669662.733824,1370080.0511999999
1982-01-29,,,,652133.638656,836727.45984
1982-01-30,,,,650543.367168,523566.30528
1982-01-31,,,,841302.5485824,540692.30592
1982-02-01,,,,643448.30976,550478.592
1982-02-02,,,,656268.3445248,574944.3072
1982-02-03,,,,987411.7997567999,719292.02688
1982-02-04,,,,782168.914944,489314.304
1982-02-05,,,,596620.9308672,198172.29312
1982-02-06,,,,538686.1172736,119882.00448
1982-02-07,,,,463943.35733759997,53824.57344
1982-02-08,,,,407794.5409536,29358.85824
1982-02-09,,,,363829.6507392,29358.85824
1982-02-10,,,,319130.7890688,29358.85824
1982-02-11,,,,273746.8873728,29358.85824
1982-02-12,,,,265550.87278080004,31805.42976
1982-02-13,,,,347486.5529856,124775.14752
1982-02-14,,,,1375951.8228479999,1282003.47648
1982-02-15,,,,1761629.3572608,1502194.91328
1982-02-16,,,,2492469.2017151997,1516874.3424
1982-02-17,,,,2560777.4785536,1472836.05504
1982-02-18,,,,2022605.1412992,1237965.18912
1982-02-19,,,,2489239.7273088,1370080.0511999999
1982-02-20,,,,3252472.178688,1590271.488
1982-02-21,,,,3012072.0611328003,1663668.6336
1982-02-22,,,,2509154.8194815996,1693027.49184
1982-02-23,,,,1696256.9662464,1590271.488
1982-02-24,,,,1131979.7108736,1237965.18912
1982-02-25,,,,685309.1484672,778009.74336
1982-02-26,,,,775709.9661312,550478.592
1982-02-27,,,,744858.6992639999,452615.7312
