date,total avg discharge (m3/d),wse(m),storage(m3)
1982-01-01,349859.72736,,
1982-01-02,354752.8704,,
1982-01-03,354752.8704,,
1982-01-04,354752.8704,,
1982-01-05,349859.72736,,
1982-01-06,352306.29888,,
1982-01-07,352306.29888,,
1982-01-08,354752.8704,,
1982-01-09,354752.8704,,
1982-01-10,354752.8704,,
1982-01-11,359646.01344,,
1982-01-12,264229.72416,,
1982-01-13,217744.86528,,
1982-01-14,217744.86528,,
1982-01-15,217744.86528,,
1982-01-16,222638.00832,,
1982-01-17,222638.00832,,
1982-01-18,222638.00832,,
1982-01-19,222638.00832,,
1982-01-20,222638.00832,,
1982-01-21,222638.00832,,
1982-01-22,222638.00832,,
1982-01-23,222638.00832,,
1982-01-24,222638.00832,,
1982-01-25,594516.87936,,
1982-01-26,800028.88704,,
1982-01-27,800028.88704,,
1982-01-28,792689.17248,,
1982-01-29,792689.17248,,
1982-01-30,785349.45792,,
1982-01-31,785349.45792,,
1982-02-01,785349.45792,,
1982-02-02,614089.45152,,
1982-02-03,513780.0192,,
1982-02-04,513780.0192,,
1982-02-05,513780.0192,,
1982-02-06,513780.0192,,
1982-02-07,513780.0192,,
1982-02-08,513780.0192,,
1982-02-09,508886.87616,,
1982-02-10,508886.87616,,
1982-02-11,508886.87616,,
1982-02-12,508886.87616,,
1982-02-13,508886.87616,,
1982-02-14,508886.87616,,
1982-02-15,513780.0192,,
1982-02-16,890552.03328,,
1982-02-17,1052025.7536,,
1982-02-18,1066705.18272,,
1982-02-19,1066705.18272,,
1982-02-20,1086277.75488,,
1982-02-21,1100957.184,,
1982-02-22,1122976.3276799999,,
1982-02-23,1130316.04224,,
1982-02-24,1130316.04224,,
1982-02-25,1122976.3276799999,,
1982-02-26,1122976.3276799999,,
1982-02-27,1122976.3276799999,,
1982-02-28,1122976.3276799999,,
1982-03-01,1130316.04224,,
1982-03-02,1122976.3276799999,,
1982-03-03,1122976.3276799999,,
1982-03-04,1122976.3276799999,,
1982-03-05,1122976.3276799999,,
1982-03-06,1122976.3276799999,,
1982-03-07,1115636.6131199999,,
1982-03-08,1115636.6131199999,,
1982-03-09,1122976.3276799999,,
1982-03-10,1122976.3276799999,,
1982-03-11,1130316.04224,,
1982-03-12,1130316.04224,,
