date,outflow(m3/d)
1982-01-01,114988.86144
1982-01-02,110095.7184
1982-01-03,134561.4336
1982-01-04,132114.86208
1982-01-05,122328.576
1982-01-06,97862.8608
1982-01-07,61164.288
1982-01-08,85630.00319999999
1982-01-09,105202.57536
1982-01-10,97862.8608
1982-01-11,95416.28928
1982-01-12,110095.7184
1982-01-13,132114.86208
1982-01-14,132114.86208
1982-01-15,132114.86208
1982-01-16,146794.2912
1982-01-17,141901.14816
1982-01-18,114988.86144
1982-01-19,92969.71776
1982-01-20,90523.14624
1982-01-21,80736.86016
1982-01-22,70950.57408
1982-01-23,78290.28864
1982-01-24,97862.8608
1982-01-25,97862.8608
1982-01-26,97862.8608
1982-01-27,97862.8608
1982-01-28,97862.8608
1982-01-29,97862.8608
1982-01-30,97862.8608
1982-01-31,97862.8608
1982-02-01,95416.28928
1982-02-02,95416.28928
1982-02-03,73397.1456
1982-02-04,58717.71648
1982-02-05,58717.71648
1982-02-06,58717.71648
1982-02-07,58717.71648
1982-02-08,58717.71648
1982-02-09,58717.71648
1982-02-10,58717.71648
1982-02-11,56271.14496
1982-02-12,85630.00319999999
1982-02-13,146794.2912
1982-02-14,195725.7216
1982-02-15,305821.44
1982-02-16,401237.72927999997
1982-02-17,523566.30528
1982-02-18,755990.59968
1982-02-19,523566.30528
1982-02-20,587177.1648
1982-02-21,489314.304
1982-02-22,548032.02048
1982-02-23,467295.16031999997
1982-02-24,364539.15648
1982-02-25,298481.72544
1982-02-26,251996.86656
1982-02-27,212851.72224
1982-02-28,188386.00704
1982-03-01,181046.29248
1982-03-02,188386.00704
1982-03-03,188386.00704
1982-03-04,181046.29248
1982-03-05,166366.86336
1982-03-06,151687.43424
1982-03-07,156580.57728
1982-03-08,171260.00639999998
1982-03-09,188386.00704
1982-03-10,239764.00896
1982-03-11,347413.15584
1982-03-12,347413.15584
1982-03-13,305821.44
1982-03-14,305821.44
1982-03-15,320500.86912
1982-03-16,274016.01024
1982-03-17,239764.00896
1982-03-18,217744.86528
1982-03-19,188386.00704
1982-03-20,171260.00639999998
1982-03-21,146794.2912
1982-03-22,141901.14816
1982-03-23,156580.57728
1982-03-24,225084.57984
1982-03-25,320500.86912
1982-03-26,442829.44512
1982-03-27,467295.16031999997
1982-03-28,455062.30272
1982-03-29,411024.01536
1982-03-30,347413.15584
1982-03-31,305821.44
1982-04-01,251996.86656
1982-04-02,225084.57984
1982-04-03,212851.72224
1982-04-04,188386.00704
1982-04-05,166366.86336
1982-04-06,156580.57728
1982-04-07,146794.2912
1982-04-08,137008.00512
1982-04-09,146794.2912
1982-04-10,176153.14944
1982-04-11,489314.304
1982-04-12,863639.74656
1982-04-13,846513.74592
1982-04-14,878319.17568
1982-04-15,755990.59968
1982-04-16,584730.59328
1982-04-17,523566.30528
1982-04-18,489314.304
1982-04-19,423256.87296
1982-04-20,381665.15712
1982-04-21,391451.4432
1982-04-22,455062.30272
1982-04-23,623875.7376
1982-04-24,800028.88704
1982-04-25,863639.74656
1982-04-26,846513.74592
1982-04-27,831834.3168
1982-04-28,863639.74656
1982-04-29,895445.17632
1982-04-30,846513.74592
1982-05-01,800028.88704
1982-05-02,895445.17632
1982-05-03,985968.32256
1982-05-04,895445.17632
1982-05-05,755990.59968
1982-05-06,694826.31168
1982-05-07,724185.16992
1982-05-08,694826.31168
1982-05-09,665467.45344
1982-05-10,584730.59328
1982-05-11,513780.0192
1982-05-12,501547.1616
1982-05-13,548032.02048
1982-05-14,611642.88
1982-05-15,724185.16992
1982-05-16,738864.59904
1982-05-17,863639.74656
1982-05-18,895445.17632
1982-05-19,831834.3168
1982-05-20,800028.88704
1982-05-21,814708.31616
1982-05-22,895445.17632
1982-05-23,985968.32256
1982-05-24,985968.32256
1982-05-25,1064258.6112
1982-05-26,1144995.47136
1982-05-27,1022666.89536
1982-05-28,912571.17696
1982-05-29,814708.31616
1982-05-30,694826.31168
1982-05-31,650788.02432
1982-06-01,709505.7408
1982-06-02,709505.7408
1982-06-03,738864.59904
1982-06-04,800028.88704
1982-06-05,755990.59968
1982-06-06,665467.45344
1982-06-07,611642.88
1982-06-08,572497.73568
1982-06-09,560264.8780799999
1982-06-10,584730.59328
1982-06-11,680146.8825599999
1982-06-12,878319.17568
1982-06-13,1064258.6112
1982-06-14,1064258.6112
1982-06-15,1144995.47136
1982-06-16,1181694.04416
1982-06-17,1220839.18848
1982-06-18,1201266.61632
1982-06-19,1220839.18848
1982-06-20,1162121.472
1982-06-21,1125422.8991999999
1982-06-22,1064258.6112
1982-06-23,966395.7504
1982-06-24,895445.17632
1982-06-25,878319.17568
1982-06-26,814708.31616
1982-06-27,770670.0288
1982-06-28,738864.59904
1982-06-29,814708.31616
1982-06-30,650788.02432
1982-07-01,878319.17568
1982-07-02,831834.3168
1982-07-03,755990.59968
1982-07-04,638555.16672
1982-07-05,548032.02048
1982-07-06,455062.30272
1982-07-07,455062.30272
1982-07-08,442829.44512
1982-07-09,423256.87296
1982-07-10,364539.15648
1982-07-11,347413.15584
1982-07-12,320500.86912
1982-07-13,305821.44
1982-07-14,305821.44
1982-07-15,259336.58112
1982-07-16,239764.00896
1982-07-17,212851.72224
1982-07-18,200618.86463999999
1982-07-19,188386.00704
1982-07-20,166366.86336
1982-07-21,151687.43424
1982-07-22,132114.86208
1982-07-23,127221.71904
1982-07-24,110095.7184
1982-07-25,102756.00384
1982-07-26,102756.00384
1982-07-27,110095.7184
1982-07-28,92969.71776
1982-07-29,75843.71712
1982-07-30,80736.86016
1982-07-31,90523.14624
1982-08-01,88076.57472
1982-08-02,83183.43168
1982-08-03,92969.71776
1982-08-04,92969.71776
1982-08-05,83183.43168
1982-08-06,73397.1456
1982-08-07,68504.00256
1982-08-08,66057.43104
1982-08-09,70950.57408
1982-08-10,83183.43168
1982-08-11,100309.43231999999
1982-08-12,75843.71712
1982-08-13,61164.288
1982-08-14,51378.00192
1982-08-15,48931.4304
1982-08-16,46484.85888
1982-08-17,41591.71584
1982-08-18,36698.5728
1982-08-19,36698.5728
1982-08-20,34252.00128
1982-08-21,31805.42976
1982-08-22,29358.85824
1982-08-23,24465.7152
1982-08-24,21285.172223999998
1982-08-25,12966.829055999999
1982-08-26,10275.600384
1982-08-27,8807.657472
1982-08-28,6605.743104
1982-08-29,12966.829055999999
1982-08-30,18838.600704
1982-08-31,15168.743424
1982-09-01,14190.114816
1982-09-02,14190.114816
1982-09-03,14190.114816
1982-09-04,18838.600704
1982-09-05,16392.029184
1982-09-06,14190.114816
1982-09-07,14190.114816
1982-09-08,12966.829055999999
1982-09-09,12232.8576
1982-09-10,11254.228991999998
1982-09-11,10275.600384
1982-09-12,14190.114816
1982-09-13,15168.743424
1982-09-14,12966.829055999999
1982-09-15,12966.829055999999
1982-09-16,12232.8576
1982-09-17,11254.228991999998
1982-09-18,11254.228991999998
1982-09-19,12966.829055999999
1982-09-20,31805.42976
1982-09-21,20061.886464
1982-09-22,18838.600704
1982-09-23,20061.886464
1982-09-24,34252.00128
1982-09-25,46484.85888
1982-09-26,44038.28736
1982-09-27,46484.85888
1982-09-28,46484.85888
1982-09-29,48931.4304
1982-09-30,44038.28736
1982-10-01,39145.14432
1982-10-02,36698.5728
1982-10-03,39145.14432
1982-10-04,39145.14432
1982-10-05,36698.5728
1982-10-06,34252.00128
1982-10-07,36698.5728
1982-10-08,39145.14432
1982-10-09,39145.14432
1982-10-10,41591.71584
1982-10-11,39145.14432
1982-10-12,36698.5728
1982-10-13,34252.00128
1982-10-14,34252.00128
1982-10-15,34252.00128
1982-10-16,34252.00128
1982-10-17,31805.42976
1982-10-18,34252.00128
1982-10-19,34252.00128
1982-10-20,29358.85824
1982-10-21,31805.42976
1982-10-22,34252.00128
1982-10-23,34252.00128
1982-10-24,36698.5728
1982-10-25,36698.5728
1982-10-26,61164.288
1982-10-27,58717.71648
1982-10-28,51378.00192
1982-10-29,75843.71712
1982-10-30,88076.57472
1982-10-31,85630.00319999999
1982-11-01,80736.86016
1982-11-02,63610.85952
1982-11-03,66057.43104
1982-11-04,63610.85952
1982-11-05,61164.288
1982-11-06,61164.288
1982-11-07,51378.00192
1982-11-08,48931.4304
1982-11-09,46484.85888
1982-11-10,41591.71584
1982-11-11,41591.71584
1982-11-12,36698.5728
1982-11-13,29358.85824
1982-11-14,26912.28672
1982-11-15,31805.42976
1982-11-16,44038.28736
1982-11-17,48931.4304
1982-11-18,56271.14496
1982-11-19,58717.71648
1982-11-20,48931.4304
1982-11-21,41591.71584
1982-11-22,24465.7152
1982-11-23,24465.7152
1982-11-24,26912.28672
1982-11-25,39145.14432
1982-11-26,48931.4304
1982-11-27,56271.14496
1982-11-28,56271.14496
1982-11-29,53824.57344
1982-11-30,51378.00192
1982-12-01,48931.4304
1982-12-02,48931.4304
1982-12-03,53824.57344
1982-12-04,58717.71648
1982-12-05,58717.71648
1982-12-06,83183.43168
1982-12-07,63610.85952
1982-12-08,36698.5728
1982-12-09,56271.14496
1982-12-10,48931.4304
1982-12-11,56271.14496
1982-12-12,56271.14496
1982-12-13,63610.85952
1982-12-14,63610.85952
1982-12-15,63610.85952
1982-12-16,63610.85952
1982-12-17,66057.43104
1982-12-18,56271.14496
1982-12-19,51378.00192
1982-12-20,56271.14496
1982-12-21,61164.288
1982-12-22,58717.71648
1982-12-23,53824.57344
1982-12-24,39145.14432
1982-12-25,31805.42976
1982-12-26,31805.42976
1982-12-27,26912.28672
1982-12-28,24465.7152
1982-12-29,24465.7152
1982-12-30,24465.7152
1982-12-31,24465.7152
1983-01-01,26912.28672
1983-01-02,39145.14432
1983-01-03,56271.14496
1983-01-04,61164.288
1983-01-05,53824.57344
1983-01-06,56271.14496
1983-01-07,63610.85952
1983-01-08,56271.14496
1983-01-09,51378.00192
1983-01-10,48931.4304
1983-01-11,44038.28736
1983-01-12,44038.28736
1983-01-13,44038.28736
1983-01-14,44038.28736
1983-01-15,44038.28736
1983-01-16,56271.14496
1983-01-17,53824.57344
1983-01-18,56271.14496
1983-01-19,66057.43104
1983-01-20,70950.57408
1983-01-21,61164.288
1983-01-22,56271.14496
1983-01-23,53824.57344
1983-01-24,51378.00192
1983-01-25,51378.00192
1983-01-26,51378.00192
1983-01-27,48931.4304
1983-01-28,48931.4304
1983-01-29,48931.4304
1983-01-30,48931.4304
1983-01-31,48931.4304
1983-02-01,48931.4304
1983-02-02,46484.85888
1983-02-03,44038.28736
1983-02-04,41591.71584
1983-02-05,39145.14432
1983-02-06,48931.4304
1983-02-07,51378.00192
1983-02-08,51378.00192
1983-02-09,58717.71648
1983-02-10,56271.14496
1983-02-11,61164.288
1983-02-12,70950.57408
1983-02-13,66057.43104
1983-02-14,58717.71648
1983-02-15,63610.85952
1983-02-16,66057.43104
1983-02-17,68504.00256
1983-02-18,100309.43231999999
1983-02-19,154134.00576
1983-02-20,154134.00576
1983-02-21,139454.57663999998
1983-02-22,144347.71968
1983-02-23,168813.43488
1983-02-24,181046.29248
1983-02-25,210405.15072
1983-02-26,225084.57984
1983-02-27,220191.4368
1983-02-28,210405.15072
1983-03-01,220191.4368
1983-03-02,300928.29696
1983-03-03,415917.1584
1983-03-04,592070.30784
1983-03-05,636108.5952
1983-03-06,540692.30592
1983-03-07,530906.01984
1983-03-08,604303.16544
1983-03-09,743757.74208
1983-03-10,895445.17632
1983-03-11,1083831.18336
1983-03-12,985968.32256
1983-03-13,1118083.1846399999
1983-03-14,1171907.75808
1983-03-15,851406.88896
1983-03-16,636108.5952
1983-03-17,521119.73376
1983-03-18,457508.87424
1983-03-19,391451.4432
1983-03-20,347413.15584
1983-03-21,332733.72672
1983-03-22,325394.01216
1983-03-23,320500.86912
1983-03-24,320500.86912
1983-03-25,305821.44
1983-03-26,288695.43936
1983-03-27,293588.5824
1983-03-28,281355.72479999997
1983-03-29,281355.72479999997
1983-03-30,440382.8736
1983-03-31,484421.16096
1983-04-01,447722.58816
1983-04-02,494207.44704
1983-04-03,423256.87296
1983-04-04,369432.29952
1983-04-05,332733.72672
1983-04-06,325394.01216
1983-04-07,340073.44127999997
1983-04-08,354752.8704
1983-04-09,369432.29952
1983-04-10,347413.15584
1983-04-11,305821.44
1983-04-12,281355.72479999997
1983-04-13,259336.58112
1983-04-14,242210.58048
1983-04-15,247103.72352
1983-04-16,281355.72479999997
1983-04-17,369432.29952
1983-04-18,440382.8736
1983-04-19,494207.44704
1983-04-20,582284.02176
1983-04-21,694826.31168
1983-04-22,824494.60224
1983-04-23,851406.88896
1983-04-24,985968.32256
1983-04-25,924804.03456
1983-04-26,809815.1731199999
1983-04-27,694826.31168
1983-04-28,648341.4528
1983-04-29,660574.3104
1983-04-30,770670.0288
1983-05-01,851406.88896
1983-05-02,851406.88896
1983-05-03,851406.88896
1983-05-04,851406.88896
1983-05-05,910124.60544
1983-05-06,880765.7472
1983-05-07,824494.60224
1983-05-08,758437.1712
1983-05-09,670360.59648
1983-05-10,592070.30784
1983-05-11,530906.01984
1983-05-12,521119.73376
1983-05-13,530906.01984
1983-05-14,550478.592
1983-05-15,562711.4495999999
1983-05-16,550478.592
1983-05-17,550478.592
1983-05-18,648341.4528
1983-05-19,731524.88448
1983-05-20,809815.1731199999
1983-05-21,939483.46368
1983-05-22,1017773.75232
1983-05-23,1118083.1846399999
1983-05-24,1264877.47584
1983-05-25,1404332.05248
1983-05-26,1646542.63296
1983-05-27,1839821.78304
1983-05-28,1918112.07168
1983-05-29,2052673.50528
1983-05-30,2006188.6464
1983-05-31,1932791.5008
1983-06-01,1859394.3551999999
1983-06-02,1737065.7792
1983-06-03,1516874.3424
1983-06-04,1345614.336
1983-06-05,1174354.3296
1983-06-06,978628.608
1983-06-07,929697.1775999999
1983-06-08,1003094.3232
1983-06-09,1027560.0384
1983-06-10,978628.608
1983-06-11,856300.032
1983-06-12,733971.456
1983-06-13,611642.88
1983-06-14,611642.88
1983-06-15,636108.5952
1983-06-16,660574.3104
1983-06-17,685040.0255999999
1983-06-18,685040.0255999999
1983-06-19,587177.1648
1983-06-20,464848.58879999997
1983-06-21,342520.01279999997
1983-06-22,293588.5824
1983-06-23,293588.5824
1983-06-24,293588.5824
1983-06-25,318054.2976
1983-06-26,342520.01279999997
1983-06-27,366985.728
1983-06-28,391451.4432
1983-06-29,391451.4432
1983-06-30,467295.16031999997
1983-07-01,501547.1616
1983-07-02,530906.01984
1983-07-03,430596.58752
1983-07-04,384111.72864
1983-07-05,362092.58496
1983-07-06,354752.8704
1983-07-07,332733.72672
1983-07-08,300928.29696
1983-07-09,276462.58176
1983-07-10,251996.86656
1983-07-11,234870.86592
1983-07-12,215298.29376
1983-07-13,210405.15072
1983-07-14,200618.86463999999
1983-07-15,195725.7216
1983-07-16,181046.29248
1983-07-17,168813.43488
1983-07-18,149240.86272
1983-07-19,119882.00448
1983-07-20,114988.86144
1983-07-21,114988.86144
1983-07-22,100309.43231999999
1983-07-23,97862.8608
1983-07-24,95416.28928
1983-07-25,73397.1456
1983-07-26,51378.00192
1983-07-27,70950.57408
1983-07-28,56271.14496
1983-07-29,75843.71712
1983-07-30,44038.28736
1983-07-31,61164.288
1983-08-01,53824.57344
1983-08-02,21774.486528
1983-08-03,18838.600704
1983-08-04,39145.14432
1983-08-05,26912.28672
1983-08-06,23242.42944
1983-08-07,21774.486528
1983-08-08,23242.42944
1983-08-09,18838.600704
1983-08-10,29358.85824
1983-08-11,26912.28672
1983-08-12,23242.42944
1983-08-13,17370.657791999998
1983-08-14,14679.42912
1983-08-15,14679.42912
1983-08-16,13456.14336
1983-08-17,14679.42912
1983-08-18,15902.71488
1983-08-19,14679.42912
1983-08-20,17370.657791999998
1983-08-21,18838.600704
1983-08-22,26912.28672
1983-08-23,36698.5728
1983-08-24,41591.71584
1983-08-25,31805.42976
1983-08-26,29358.85824
1983-08-27,24465.7152
1983-08-28,21774.486528
1983-08-29,18838.600704
1983-08-30,15902.71488
1983-08-31,14679.42912
1983-09-01,21774.486528
1983-09-02,24465.7152
1983-09-03,14679.42912
1983-09-04,13456.14336
1983-09-05,12477.514752
1983-09-06,11498.886144
1983-09-07,11498.886144
1983-09-08,11498.886144
1983-09-09,10764.914688
1983-09-10,10764.914688
1983-09-11,11498.886144
1983-09-12,11498.886144
1983-09-13,10764.914688
1983-09-14,10764.914688
1983-09-15,10030.943232
1983-09-16,10030.943232
1983-09-17,8073.686016
1983-09-18,9296.971776
1983-09-19,9296.971776
1983-09-20,8807.657472
1983-09-21,8807.657472
1983-09-22,8807.657472
1983-09-23,8073.686016
1983-09-24,8073.686016
1983-09-25,9296.971776
1983-09-26,9296.971776
1983-09-27,10764.914688
1983-09-28,10030.943232
1983-09-29,9296.971776
1983-09-30,8807.657472
1983-10-01,8073.686016
1983-10-02,8073.686016
1983-10-03,8563.00032
1983-10-04,8563.00032
1983-10-05,9052.314624
1983-10-06,8807.657472
1983-10-07,8807.657472
1983-10-08,8807.657472
1983-10-09,10030.943232
1983-10-10,10275.600384
1983-10-11,10764.914688
1983-10-12,10275.600384
1983-10-13,10030.943232
1983-10-14,9786.28608
1983-10-15,9786.28608
1983-10-16,9786.28608
1983-10-17,9786.28608
1983-10-18,10275.600384
