date,outflow(m3/d)
1982-01-01,890552.03328
1982-01-02,890552.03328
1982-01-03,922357.46304
1982-01-04,937036.8921599999
1982-01-05,831834.3168
1982-01-06,733971.456
1982-01-07,802475.4585599999
1982-01-08,890552.03328
1982-01-09,951716.32128
1982-01-10,890552.03328
1982-01-11,905231.4624
1982-01-12,937036.8921599999
1982-01-13,951716.32128
1982-01-14,983521.75104
1982-01-15,905231.4624
1982-01-16,790242.60096
1982-01-17,922357.46304
1982-01-18,875872.60416
1982-01-19,861193.17504
1982-01-20,846513.74592
1982-01-21,775563.17184
1982-01-22,802475.4585599999
1982-01-23,846513.74592
1982-01-24,937036.8921599999
1982-01-25,951716.32128
1982-01-26,951716.32128
1982-01-27,1015327.1808
1982-01-28,1015327.1808
1982-01-29,983521.75104
1982-01-30,1000647.75168
1982-01-31,968842.32192
1982-02-01,937036.8921599999
1982-02-02,937036.8921599999
1982-02-03,875872.60416
1982-02-04,875872.60416
1982-02-05,831834.3168
1982-02-06,817154.88768
1982-02-07,802475.4585599999
1982-02-08,831834.3168
1982-02-09,861193.17504
1982-02-10,861193.17504
1982-02-11,846513.74592
1982-02-12,861193.17504
1982-02-13,922357.46304
1982-02-14,1132762.61376
1982-02-15,1702813.77792
1982-02-16,2165215.7952
1982-02-17,2390300.37504
1982-02-18,2360941.5168
1982-02-19,2519968.6656
1982-02-20,2911420.1088
1982-02-21,5578183.0656
1982-02-22,7266317.4144
1982-02-23,5920703.0784
1982-02-24,4966540.1855999995
1982-02-25,4232568.7296
1982-02-26,3792185.856
1982-02-27,3547528.704
1982-02-28,3253940.1215999997
1982-03-01,3156077.2608
1982-03-02,2984817.2544
1982-03-03,2813557.248
1982-03-04,2666762.9568
1982-03-05,2471037.2352
1982-03-06,2360941.5168
1982-03-07,2275311.5136
1982-03-08,2192128.08192
1982-03-09,2248399.22688
1982-03-10,2789091.5328
1982-03-11,2789091.5328
1982-03-12,2862488.6784
1982-03-13,2715694.3871999998
1982-03-14,2617831.5264
1982-03-15,2568900.096
1982-03-16,2471037.2352
1982-03-17,2390300.37504
1982-03-18,2275311.5136
1982-03-19,2219040.36864
1982-03-20,2135856.93696
1982-03-21,2082032.36352
1982-03-22,2003742.07488
1982-03-23,1976829.78816
1982-03-24,1952364.07296
1982-03-25,1874073.7843199999
1982-03-26,1849608.06912
1982-03-27,1874073.7843199999
1982-03-28,1976829.78816
1982-03-29,2030654.3616
1982-03-30,2030654.3616
1982-03-31,2030654.3616
1982-04-01,2003742.07488
1982-04-02,1952364.07296
1982-04-03,1900986.07104
1982-04-04,1874073.7843199999
1982-04-05,1849608.06912
1982-04-06,1800676.63872
1982-04-07,1751745.20832
1982-04-08,1702813.77792
1982-04-09,1680794.63424
1982-04-10,1680794.63424
1982-04-11,1952364.07296
1982-04-12,2715694.3871999998
1982-04-13,3400734.4128
1982-04-14,4085774.4384
1982-04-15,4159171.584
1982-04-16,3841117.2864
1982-04-17,3620925.8496
1982-04-18,3474131.5584
1982-04-19,3278405.8368
1982-04-20,3082680.1152
1982-04-21,3058214.4
1982-04-22,3156077.2608
1982-04-23,3914514.432
1982-04-24,6630208.8192
1982-04-25,8196014.592
1982-04-26,8293877.4528
1982-04-27,8709794.6112
1982-04-28,9982011.8016
1982-04-29,10471326.1056
1982-04-30,9884148.9408
1982-05-01,9933080.371199999
1982-05-02,12012666.1632
1982-05-03,16930274.9184
1982-05-04,16930274.9184
1982-05-05,14043320.5248
1982-05-06,12281789.0304
