date,avg discharge (cfs),outflow(m3/d)
1982-08-01 00:00:00+00:00,154.0,376772.01408
1982-08-02 00:00:00+00:00,154.0,376772.01408
1982-08-03 00:00:00+00:00,153.0,374325.44256
1982-08-04 00:00:00+00:00,160.0,391451.4432
1982-08-05 00:00:00+00:00,161.0,393898.01472000004
1982-08-06 00:00:00+00:00,153.0,374325.44256
1982-08-07 00:00:00+00:00,142.0,347413.15584
1982-08-08 00:00:00+00:00,146.0,357199.44191999995
1982-08-09 00:00:00+00:00,149.0,364539.15648
1982-08-10 00:00:00+00:00,142.0,347413.15584
1982-08-11 00:00:00+00:00,140.0,342520.01279999997
1982-08-12 00:00:00+00:00,140.0,342520.01279999997
1982-08-13 00:00:00+00:00,149.0,364539.15648
1982-08-14 00:00:00+00:00,149.0,364539.15648
1982-08-15 00:00:00+00:00,148.0,362092.58496
1982-08-16 00:00:00+00:00,141.0,344966.58432
1982-08-17 00:00:00+00:00,125.0,305821.44
1982-08-18 00:00:00+00:00,129.0,315607.72608
1982-08-19 00:00:00+00:00,135.0,330287.1552
1982-08-20 00:00:00+00:00,133.0,325394.01216
1982-08-21 00:00:00+00:00,132.0,322947.44064
1982-08-22 00:00:00+00:00,133.0,325394.01216
1982-08-23 00:00:00+00:00,136.0,332733.72672
1982-08-24 00:00:00+00:00,135.0,330287.1552
1982-08-25 00:00:00+00:00,140.0,342520.01279999997
1982-08-26 00:00:00+00:00,141.0,344966.58432
1982-08-27 00:00:00+00:00,145.0,354752.87039999996
1982-08-28 00:00:00+00:00,153.0,374325.44256
1982-08-29 00:00:00+00:00,156.0,381665.15712000005
1982-08-30 00:00:00+00:00,164.0,401237.72927999997
1982-08-31 00:00:00+00:00,159.0,389004.87168
1982-09-01 00:00:00+00:00,159.0,389004.87168
1982-09-02 00:00:00+00:00,172.0,420810.30144
1982-09-03 00:00:00+00:00,181.0,442829.44512
1982-09-04 00:00:00+00:00,192.0,469741.73183999996
1982-09-05 00:00:00+00:00,193.0,472188.30335999996
1982-09-06 00:00:00+00:00,192.0,469741.73183999996
1982-09-07 00:00:00+00:00,188.0,459955.44576
1982-09-08 00:00:00+00:00,184.0,450169.15968000004
1982-09-09 00:00:00+00:00,181.0,442829.44512
1982-09-10 00:00:00+00:00,199.0,486867.73248
1982-09-11 00:00:00+00:00,215.0,526012.8768
1982-09-12 00:00:00+00:00,230.0,562711.4495999999
1982-09-13 00:00:00+00:00,247.0,604303.16544
1982-09-14 00:00:00+00:00,251.0,614089.45152
1982-09-15 00:00:00+00:00,257.0,628768.88064
1982-09-16 00:00:00+00:00,266.0,650788.02432
1982-09-17 00:00:00+00:00,277.0,677700.3110400001
1982-09-18 00:00:00+00:00,259.0,633662.02368
1982-09-19 00:00:00+00:00,260.0,636108.5952
1982-09-20 00:00:00+00:00,268.0,655681.1673600001
1982-09-21 00:00:00+00:00,260.0,636108.5952
1982-09-22 00:00:00+00:00,260.0,636108.5952
1982-09-23 00:00:00+00:00,260.0,636108.5952
1982-09-24 00:00:00+00:00,250.0,611642.88
1982-09-25 00:00:00+00:00,251.0,614089.45152
1982-09-26 00:00:00+00:00,270.0,660574.3104
1982-09-27 00:00:00+00:00,271.0,663020.88192
1982-09-28 00:00:00+00:00,278.0,680146.88256
1982-09-29 00:00:00+00:00,260.0,636108.5952
1982-09-30 00:00:00+00:00,260.0,636108.5952
1982-10-01 00:00:00+00:00,271.0,663020.88192
1982-10-02 00:00:00+00:00,271.0,663020.88192
1982-10-03 00:00:00+00:00,273.0,667914.0249600001
1982-10-04 00:00:00+00:00,253.0,618982.59456
1982-10-05 00:00:00+00:00,251.0,614089.45152
1982-10-06 00:00:00+00:00,256.0,626322.30912
1982-10-07 00:00:00+00:00,261.0,638555.16672
1982-10-08 00:00:00+00:00,260.0,636108.5952
1982-10-09 00:00:00+00:00,278.0,680146.88256
1982-10-10 00:00:00+00:00,274.0,670360.59648
1982-10-11 00:00:00+00:00,263.0,643448.30976
1982-10-12 00:00:00+00:00,251.0,614089.45152
1982-10-13 00:00:00+00:00,255.0,623875.7376
1982-10-14 00:00:00+00:00,246.0,601856.59392
1982-10-15 00:00:00+00:00,280.0,685040.0255999999
1982-10-16 00:00:00+00:00,355.0,868532.8896
1982-10-17 00:00:00+00:00,350.0,856300.032
1982-10-18 00:00:00+00:00,322.0,787796.0294400001
1982-10-19 00:00:00+00:00,312.0,763330.3142400001
1982-10-20 00:00:00+00:00,308.0,753544.02816
1982-10-21 00:00:00+00:00,302.0,738864.5990399999
