date,max_temp(C),min_temp(C),avg discharge (cfs),outflow(m3/d)
1982-08-01 00:00:00+00:00,,,72.0,176153.14944
1982-08-02 00:00:00+00:00,,,71.0,173706.57792
1982-08-03 00:00:00+00:00,,,68.0,166366.86336
1982-08-04 00:00:00+00:00,,,67.0,163920.29184000002
1982-08-05 00:00:00+00:00,,,62.0,151687.43424
1982-08-06 00:00:00+00:00,,,61.0,149240.86271999998
1982-08-07 00:00:00+00:00,,,59.0,144347.71968
1982-08-08 00:00:00+00:00,,,57.0,139454.57663999998
1982-08-09 00:00:00+00:00,,,55.0,134561.4336
1982-08-10 00:00:00+00:00,,,55.0,134561.4336
1982-08-11 00:00:00+00:00,,,55.0,134561.4336
1982-08-12 00:00:00+00:00,,,57.0,139454.57663999998
1982-08-13 00:00:00+00:00,,,53.0,129668.29056000001
1982-08-14 00:00:00+00:00,,,52.0,127221.71904000001
1982-08-15 00:00:00+00:00,,,49.0,119882.00448
1982-08-16 00:00:00+00:00,,,46.0,112542.28992000001
1982-08-17 00:00:00+00:00,,,45.0,110095.7184
1982-08-18 00:00:00+00:00,,,43.0,105202.57536
1982-08-19 00:00:00+00:00,,,42.0,102756.00383999999
1982-08-20 00:00:00+00:00,,,40.0,97862.8608
1982-08-21 00:00:00+00:00,,,40.0,97862.8608
1982-08-22 00:00:00+00:00,,,39.0,95416.28928000001
1982-08-23 00:00:00+00:00,,,39.0,95416.28928000001
1982-08-24 00:00:00+00:00,,,37.0,90523.14624
1982-08-25 00:00:00+00:00,,,37.0,90523.14624
1982-08-26 00:00:00+00:00,,,35.0,85630.00319999999
1982-08-27 00:00:00+00:00,,,34.0,83183.43168
1982-08-28 00:00:00+00:00,,,34.0,83183.43168
1982-08-29 00:00:00+00:00,,,33.0,80736.86016
1982-08-30 00:00:00+00:00,,,34.0,83183.43168
1982-08-31 00:00:00+00:00,,,34.0,83183.43168
1982-09-01 00:00:00+00:00,,,34.0,83183.43168
1982-09-02 00:00:00+00:00,,,33.0,80736.86016
1982-09-03 00:00:00+00:00,,,33.0,80736.86016
1982-09-04 00:00:00+00:00,,,32.0,78290.28864
1982-09-05 00:00:00+00:00,,,32.0,78290.28864
1982-09-06 00:00:00+00:00,,,31.0,75843.71712
1982-09-07 00:00:00+00:00,,,30.0,73397.1456
1982-09-08 00:00:00+00:00,,,30.0,73397.1456
1982-09-09 00:00:00+00:00,,,29.0,70950.57408
1982-09-10 00:00:00+00:00,,,29.0,70950.57408
1982-09-11 00:00:00+00:00,,,29.0,70950.57408
1982-09-12 00:00:00+00:00,,,30.0,73397.1456
1982-09-13 00:00:00+00:00,,,32.0,78290.28864
1982-09-14 00:00:00+00:00,,,32.0,78290.28864
1982-09-15 00:00:00+00:00,,,32.0,78290.28864
1982-09-16 00:00:00+00:00,,,31.0,75843.71712
1982-09-17 00:00:00+00:00,,,30.0,73397.1456
1982-09-18 00:00:00+00:00,,,30.0,73397.1456
1982-09-19 00:00:00+00:00,,,31.0,75843.71712
1982-09-20 00:00:00+00:00,,,48.0,117435.43295999999
1982-09-21 00:00:00+00:00,,,41.0,100309.43231999999
1982-09-22 00:00:00+00:00,,,35.0,85630.00319999999
1982-09-23 00:00:00+00:00,,,33.0,80736.86016
1982-09-24 00:00:00+00:00,,,32.0,78290.28864
1982-09-25 00:00:00+00:00,,,32.0,78290.28864
1982-09-26 00:00:00+00:00,,,36.0,88076.57472
1982-09-27 00:00:00+00:00,,,37.0,90523.14624
1982-09-28 00:00:00+00:00,,,35.0,85630.00319999999
1982-09-29 00:00:00+00:00,,,37.0,90523.14624
1982-09-30 00:00:00+00:00,,,37.0,90523.14624
1982-10-01 00:00:00+00:00,,,39.0,95416.28928000001
1982-10-02 00:00:00+00:00,,,37.0,90523.14624
1982-10-03 00:00:00+00:00,,,36.0,88076.57472
1982-10-04 00:00:00+00:00,,,37.0,90523.14624
1982-10-05 00:00:00+00:00,,,40.0,97862.8608
1982-10-06 00:00:00+00:00,,,39.0,95416.28928000001
1982-10-07 00:00:00+00:00,,,39.0,95416.28928000001
1982-10-08 00:00:00+00:00,,,41.0,100309.43231999999
1982-10-09 00:00:00+00:00,,,39.0,95416.28928000001
1982-10-10 00:00:00+00:00,,,38.0,92969.71776
1982-10-11 00:00:00+00:00,,,37.0,90523.14624
1982-10-12 00:00:00+00:00,,,36.0,88076.57472
1982-10-13 00:00:00+00:00,,,35.0,85630.00319999999
1982-10-14 00:00:00+00:00,,,35.0,85630.00319999999
1982-10-15 00:00:00+00:00,,,34.0,83183.43168
1982-10-16 00:00:00+00:00,,,34.0,83183.43168
1982-10-17 00:00:00+00:00,,,34.0,83183.43168
1982-10-18 00:00:00+00:00,,,34.0,83183.43168
1982-10-19 00:00:00+00:00,,,34.0,83183.43168
1982-10-20 00:00:00+00:00,,,34.0,83183.43168
1982-10-21 00:00:00+00:00,,,34.0,83183.43168
1982-10-22 00:00:00+00:00,,,36.0,88076.57472
1982-10-23 00:00:00+00:00,,,44.0,107649.14688
1982-10-24 00:00:00+00:00,,,52.0,127221.71904000001
1982-10-25 00:00:00+00:00,,,52.0,127221.71904000001
1982-10-26 00:00:00+00:00,,,61.0,149240.86271999998
1982-10-27 00:00:00+00:00,,,71.0,173706.57792
1982-10-28 00:00:00+00:00,,,62.0,151687.43424
1982-10-29 00:00:00+00:00,,,58.0,141901.14816
1982-10-30 00:00:00+00:00,,,59.0,144347.71968
1982-10-31 00:00:00+00:00,,,58.0,141901.14816
1982-11-01 00:00:00+00:00,,,55.0,134561.4336
