date,max_temp(C),min_temp(C)
1985-07-01 00:00:00+00:00,11.4,9.8
1985-07-02 00:00:00+00:00,11.5,9.8
1985-07-03 00:00:00+00:00,11.6,9.8
1985-07-04 00:00:00+00:00,11.7,9.8
1985-07-05 00:00:00+00:00,11.6,9.8
1985-07-06 00:00:00+00:00,11.9,10.0
1985-07-07 00:00:00+00:00,11.8,10.6
1985-07-08 00:00:00+00:00,11.8,10.8
1985-07-09 00:00:00+00:00,11.7,10.8
1985-07-10 00:00:00+00:00,11.8,10.6
1985-07-11 00:00:00+00:00,11.7,10.8
1985-07-12 00:00:00+00:00,11.8,10.8
1985-07-13 00:00:00+00:00,11.8,10.8
1985-07-14 00:00:00+00:00,11.8,10.8
1985-07-15 00:00:00+00:00,12.2,11.0
1985-07-16 00:00:00+00:00,12.5,11.0
1985-07-17 00:00:00+00:00,12.5,11.3
1985-07-18 00:00:00+00:00,12.5,11.4
1985-07-19 00:00:00+00:00,12.4,11.5
1985-07-20 00:00:00+00:00,12.4,11.5
1985-07-21 00:00:00+00:00,12.4,11.5
1985-07-22 00:00:00+00:00,12.5,11.6
1985-07-23 00:00:00+00:00,12.4,11.6
1985-07-24 00:00:00+00:00,12.4,11.5
1985-07-25 00:00:00+00:00,12.6,11.4
1985-07-26 00:00:00+00:00,12.4,11.4
1985-07-27 00:00:00+00:00,12.4,11.4
1985-07-28 00:00:00+00:00,12.6,11.4
1985-07-29 00:00:00+00:00,12.4,11.4
1985-07-30 00:00:00+00:00,11.8,11.4
1985-07-31 00:00:00+00:00,12.2,11.4
1985-08-01 00:00:00+00:00,11.9,11.3
1985-08-02 00:00:00+00:00,12.0,11.2
1985-08-03 00:00:00+00:00,12.3,11.2
1985-08-04 00:00:00+00:00,12.0,11.4
1985-08-05 00:00:00+00:00,12.2,11.6
1985-08-06 00:00:00+00:00,11.8,11.5
1985-08-07 00:00:00+00:00,12.6,11.8
1985-08-08 00:00:00+00:00,12.4,11.7
1985-08-09 00:00:00+00:00,12.4,11.6
1985-08-10 00:00:00+00:00,12.4,11.6
1985-08-11 00:00:00+00:00,12.4,11.7
1985-08-12 00:00:00+00:00,12.4,11.6
1985-08-13 00:00:00+00:00,12.4,11.5
1985-08-14 00:00:00+00:00,12.4,11.6
1985-08-15 00:00:00+00:00,12.2,11.4
1985-08-16 00:00:00+00:00,12.4,11.5
1985-08-17 00:00:00+00:00,12.2,11.6
1985-08-18 00:00:00+00:00,12.1,11.6
1985-08-19 00:00:00+00:00,12.0,11.4
1985-08-20 00:00:00+00:00,11.8,11.2
1985-08-21 00:00:00+00:00,12.0,11.2
1985-08-22 00:00:00+00:00,12.2,11.3
1985-08-23 00:00:00+00:00,11.8,11.2
1985-08-24 00:00:00+00:00,11.9,11.3
1985-08-25 00:00:00+00:00,11.9,11.3
1985-08-26 00:00:00+00:00,12.2,11.2
1985-08-27 00:00:00+00:00,11.9,11.1
1985-08-28 00:00:00+00:00,12.2,11.2
1985-08-29 00:00:00+00:00,12.1,11.2
1985-08-30 00:00:00+00:00,12.2,11.3
1985-08-31 00:00:00+00:00,12.2,11.4
1985-09-01 00:00:00+00:00,12.0,11.4
1985-09-02 00:00:00+00:00,11.8,11.5
1985-09-03 00:00:00+00:00,12.1,11.2
1985-09-04 00:00:00+00:00,12.0,11.2
1985-09-05 00:00:00+00:00,11.8,11.3
1985-09-06 00:00:00+00:00,12.0,11.3
1985-09-07 00:00:00+00:00,11.8,11.2
1985-09-08 00:00:00+00:00,11.7,11.2
1985-09-09 00:00:00+00:00,11.6,11.2
1985-09-10 00:00:00+00:00,11.5,11.0
1985-09-11 00:00:00+00:00,11.8,10.9
1985-09-12 00:00:00+00:00,11.8,10.9
1985-09-13 00:00:00+00:00,11.8,10.8
1985-09-14 00:00:00+00:00,11.8,11.2
1985-09-15 00:00:00+00:00,11.4,11.0
1985-09-16 00:00:00+00:00,11.4,10.8
1985-09-17 00:00:00+00:00,11.6,10.8
1985-09-18 00:00:00+00:00,11.6,10.8
1985-09-19 00:00:00+00:00,11.6,10.6
1985-09-20 00:00:00+00:00,11.5,10.6
1985-09-21 00:00:00+00:00,11.2,10.6
1985-09-22 00:00:00+00:00,11.4,10.0
1985-09-23 00:00:00+00:00,11.2,9.9
1985-09-24 00:00:00+00:00,10.8,9.8
1985-09-25 00:00:00+00:00,12.3,9.8
1985-09-26 00:00:00+00:00,11.2,10.6
1985-09-27 00:00:00+00:00,12.2,9.8
1985-09-28 00:00:00+00:00,12.3,10.6
1985-09-29 00:00:00+00:00,11.2,9.8
1985-09-30 00:00:00+00:00,11.2,9.8
