date,max_temp(C),min_temp(C),avg_temp(C)
2011-03-30 00:00:00+00:00,9.5,7.1,8.1
2011-03-31 00:00:00+00:00,10.1,7.4,8.3
2011-04-01 00:00:00+00:00,9.4,7.5,8.2
2011-04-02 00:00:00+00:00,8.2,7.3,7.7
2011-04-03 00:00:00+00:00,7.6,7.2,7.4
2011-04-04 00:00:00+00:00,8.1,7.4,7.6
2011-04-05 00:00:00+00:00,8.0,7.6,7.8
2011-04-06 00:00:00+00:00,8.9,7.7,8.1
2011-04-07 00:00:00+00:00,9.6,7.8,8.3
2011-04-08 00:00:00+00:00,9.8,8.1,8.9
2011-04-09 00:00:00+00:00,9.9,8.4,9.2
2011-04-10 00:00:00+00:00,8.8,8.2,8.4
2011-04-11 00:00:00+00:00,10.4,8.4,9.1
2011-04-12 00:00:00+00:00,11.1,7.9,9.5
2011-04-13 00:00:00+00:00,10.8,8.4,10.1
2011-04-14 00:00:00+00:00,10.6,8.9,9.8
2011-04-15 00:00:00+00:00,9.2,8.1,8.7
2011-04-16 00:00:00+00:00,9.3,8.0,8.9
2011-04-17 00:00:00+00:00,10.1,7.8,8.8
2011-04-18 00:00:00+00:00,10.6,8.2,9.0
2011-04-19 00:00:00+00:00,11.0,8.4,9.5
2011-04-20 00:00:00+00:00,11.8,8.4,10.2
2011-04-21 00:00:00+00:00,11.4,9.1,10.6
2011-04-22 00:00:00+00:00,12.2,8.3,9.9
2011-04-23 00:00:00+00:00,12.8,10.0,11.5
2011-04-24 00:00:00+00:00,12.7,9.2,11.6
2011-04-25 00:00:00+00:00,12.2,9.0,10.8
2011-04-26 00:00:00+00:00,11.3,9.0,10.6
2011-04-27 00:00:00+00:00,11.0,9.3,10.1
2011-04-28 00:00:00+00:00,10.9,9.3,10.2
2011-04-29 00:00:00+00:00,11.6,9.0,10.6
2011-04-30 00:00:00+00:00,14.2,10.3,11.9
2011-05-01 00:00:00+00:00,13.7,9.1,11.0
2011-05-02 00:00:00+00:00,12.8,9.9,11.4
2011-05-03 00:00:00+00:00,12.3,9.8,10.9
2011-05-04 00:00:00+00:00,11.9,9.9,10.8
2011-05-05 00:00:00+00:00,13.6,10.3,12.0
2011-05-06 00:00:00+00:00,13.4,10.4,11.5
2011-05-07 00:00:00+00:00,12.9,10.4,11.6
2011-05-08 00:00:00+00:00,12.6,10.8,11.7
2011-05-09 00:00:00+00:00,11.2,10.2,10.6
2011-05-10 00:00:00+00:00,12.1,10.9,11.6
2011-05-11 00:00:00+00:00,14.0,11.4,12.6
2011-05-12 00:00:00+00:00,14.0,11.2,12.6
2011-05-13 00:00:00+00:00,12.5,11.2,11.8
2011-05-14 00:00:00+00:00,12.6,11.6,12.0
2011-05-15 00:00:00+00:00,12.4,11.9,12.0
2011-05-16 00:00:00+00:00,12.1,11.6,11.8
2011-05-17 00:00:00+00:00,12.0,11.6,11.8
2011-05-18 00:00:00+00:00,12.3,11.8,12.0
2011-05-19 00:00:00+00:00,12.5,12.1,12.3
2011-05-20 00:00:00+00:00,12.6,12.3,12.4
2011-05-21 00:00:00+00:00,12.7,12.4,12.5
2011-05-22 00:00:00+00:00,12.5,12.3,12.4
2011-05-23 00:00:00+00:00,12.6,12.4,12.4
2011-05-24 00:00:00+00:00,,,
2011-05-25 00:00:00+00:00,12.8,12.4,12.6
2011-05-26 00:00:00+00:00,12.5,12.1,12.3
2011-05-27 00:00:00+00:00,12.2,12.0,12.1
2011-05-28 00:00:00+00:00,12.3,12.0,12.2
2011-05-29 00:00:00+00:00,12.4,12.2,12.3
2011-05-30 00:00:00+00:00,12.6,12.2,12.3
2011-05-31 00:00:00+00:00,12.8,12.4,12.6
2011-06-01 00:00:00+00:00,12.9,12.7,12.8
2011-06-02 00:00:00+00:00,13.0,12.7,12.9
2011-06-03 00:00:00+00:00,13.2,12.8,13.0
2011-06-04 00:00:00+00:00,13.3,13.0,13.1
2011-06-05 00:00:00+00:00,13.5,13.2,13.3
2011-06-06 00:00:00+00:00,13.6,13.3,13.5
2011-06-07 00:00:00+00:00,13.6,13.4,13.5
2011-06-08 00:00:00+00:00,13.6,13.4,13.5
2011-06-09 00:00:00+00:00,13.7,13.5,13.5
2011-06-10 00:00:00+00:00,14.0,13.6,13.8
2011-06-11 00:00:00+00:00,14.3,13.9,14.1
2011-06-12 00:00:00+00:00,14.5,14.1,14.3
2011-06-13 00:00:00+00:00,14.5,14.3,14.4
2011-06-14 00:00:00+00:00,14.6,14.3,14.4
2011-06-15 00:00:00+00:00,14.7,14.5,14.6
2011-06-16 00:00:00+00:00,14.6,14.4,14.5
2011-06-17 00:00:00+00:00,14.6,14.2,14.5
2011-06-18 00:00:00+00:00,14.7,14.3,14.5
2011-06-19 00:00:00+00:00,14.5,14.3,14.4
2011-06-21 00:00:00+00:00,15.1,14.5,14.7
2011-06-22 00:00:00+00:00,15.5,14.8,15.2
2011-06-23 00:00:00+00:00,15.6,15.1,15.3
2011-06-24 00:00:00+00:00,15.2,14.9,15.0
2011-06-25 00:00:00+00:00,15.5,15.0,15.2
2011-06-26 00:00:00+00:00,15.7,15.2,15.4
2011-06-27 00:00:00+00:00,15.9,15.4,15.6
2011-06-28 00:00:00+00:00,16.2,15.7,15.9
2011-06-29 00:00:00+00:00,16.1,15.8,15.9
2011-06-30 00:00:00+00:00,16.1,15.7,15.8
2011-07-01 00:00:00+00:00,16.0,15.7,15.8
2011-07-02 00:00:00+00:00,16.5,15.9,16.2
2011-07-03 00:00:00+00:00,16.7,16.4,16.6
2011-07-04 00:00:00+00:00,16.9,16.4,16.6
2011-07-05 00:00:00+00:00,17.1,16.6,16.9
2011-07-06 00:00:00+00:00,17.0,16.7,16.9
2011-07-07 00:00:00+00:00,17.2,16.9,17.0
2011-07-08 00:00:00+00:00,17.2,16.8,16.9
2011-07-09 00:00:00+00:00,17.4,16.9,17.1
2011-07-10 00:00:00+00:00,18.3,17.1,17.2
2011-07-11 00:00:00+00:00,17.6,17.3,17.4
2011-07-12 00:00:00+00:00,18.1,17.4,17.7
2011-07-13 00:00:00+00:00,18.0,17.0,17.4
2011-07-14 00:00:00+00:00,17.9,17.2,17.5
2011-07-15 00:00:00+00:00,17.7,17.3,17.5
2011-07-16 00:00:00+00:00,19.9,17.6,18.5
2011-07-17 00:00:00+00:00,20.6,17.7,18.2
2012-03-29 00:00:00+00:00,7.6,6.6,6.9
2012-03-30 00:00:00+00:00,7.5,6.5,6.9
2012-03-31 00:00:00+00:00,6.9,6.3,6.5
2012-04-01 00:00:00+00:00,6.9,6.6,6.7
2012-04-02 00:00:00+00:00,7.8,6.6,7.1
2012-04-03 00:00:00+00:00,7.4,7.1,7.2
2012-04-04 00:00:00+00:00,8.5,7.1,7.7
2012-04-05 00:00:00+00:00,9.3,7.7,8.5
2012-04-06 00:00:00+00:00,9.3,7.1,8.0
2012-04-07 00:00:00+00:00,8.7,6.9,7.6
2012-04-08 00:00:00+00:00,9.2,7.6,8.5
2012-04-09 00:00:00+00:00,12.0,7.9,9.6
2012-04-10 00:00:00+00:00,13.0,8.4,11.5
2012-04-11 00:00:00+00:00,10.9,7.9,8.2
2012-04-12 00:00:00+00:00,10.2,7.9,8.7
2012-04-13 00:00:00+00:00,11.0,8.0,9.1
2012-04-14 00:00:00+00:00,11.3,8.1,9.0
2012-04-15 00:00:00+00:00,12.8,8.8,10.6
2012-04-16 00:00:00+00:00,13.2,8.8,10.7
2012-04-17 00:00:00+00:00,11.9,8.5,9.2
2012-04-18 00:00:00+00:00,10.1,8.6,8.9
2012-04-19 00:00:00+00:00,8.9,8.4,8.7
2012-04-20 00:00:00+00:00,9.9,8.7,9.3
2012-04-21 00:00:00+00:00,9.9,9.1,9.5
2012-04-22 00:00:00+00:00,10.7,9.6,10.1
2012-04-23 00:00:00+00:00,10.7,9.9,10.3
2012-04-24 00:00:00+00:00,11.2,10.4,10.7
2012-04-25 00:00:00+00:00,11.3,10.4,10.8
2012-04-26 00:00:00+00:00,10.9,10.6,10.7
2012-04-27 00:00:00+00:00,11.0,10.5,10.7
2012-04-28 00:00:00+00:00,11.1,10.7,10.9
2012-04-29 00:00:00+00:00,11.6,10.9,11.2
2012-04-30 00:00:00+00:00,12.9,11.2,11.6
2012-05-01 00:00:00+00:00,11.9,10.9,11.2
2012-05-02 00:00:00+00:00,11.3,10.8,11.1
2012-05-03 00:00:00+00:00,12.8,11.1,11.5
2012-05-04 00:00:00+00:00,11.4,11.0,11.1
2012-05-05 00:00:00+00:00,11.4,11.0,11.2
2012-05-06 00:00:00+00:00,11.4,10.7,10.9
2012-05-07 00:00:00+00:00,11.7,10.9,11.3
2012-05-08 00:00:00+00:00,12.0,11.2,11.5
2012-05-09 00:00:00+00:00,12.9,11.4,12.1
2012-05-10 00:00:00+00:00,12.9,10.6,11.3
2012-05-11 00:00:00+00:00,11.9,10.9,11.3
2012-05-12 00:00:00+00:00,13.1,11.2,11.9
2012-05-13 00:00:00+00:00,12.7,11.6,12.1
2012-05-14 00:00:00+00:00,14.4,11.9,12.8
2012-05-15 00:00:00+00:00,13.9,12.2,12.8
2012-05-16 00:00:00+00:00,14.4,12.6,13.4
2012-05-17 00:00:00+00:00,13.8,12.4,12.9
2012-05-18 00:00:00+00:00,13.2,12.4,12.8
2012-05-19 00:00:00+00:00,13.7,12.7,13.1
2012-05-20 00:00:00+00:00,13.7,13.3,13.5
2012-05-21 00:00:00+00:00,13.8,13.5,13.6
2012-05-22 00:00:00+00:00,14.7,13.3,13.9
2012-05-23 00:00:00+00:00,13.6,13.0,13.3
2012-05-24 00:00:00+00:00,13.5,13.3,13.4
2012-05-25 00:00:00+00:00,14.2,13.3,13.6
2012-05-26 00:00:00+00:00,14.4,13.3,13.6
2012-05-27 00:00:00+00:00,15.0,13.4,14.1
2012-05-28 00:00:00+00:00,14.3,13.0,13.5
2012-05-29 00:00:00+00:00,15.2,13.1,14.5
2012-05-30 00:00:00+00:00,14.0,13.0,13.5
2012-05-31 00:00:00+00:00,17.1,14.0,15.8
2012-06-01 00:00:00+00:00,16.6,13.4,13.9
2012-06-02 00:00:00+00:00,18.0,14.0,15.2
2012-06-03 00:00:00+00:00,17.9,13.6,15.1
2012-06-04 00:00:00+00:00,14.3,13.8,14.0
2012-06-05 00:00:00+00:00,14.2,13.8,14.0
2012-06-06 00:00:00+00:00,14.3,13.6,13.9
2012-06-07 00:00:00+00:00,14.3,13.8,13.9
2012-06-08 00:00:00+00:00,14.2,13.8,13.9
2012-06-09 00:00:00+00:00,14.0,13.7,13.8
2012-06-10 00:00:00+00:00,14.5,13.4,13.9
2012-06-11 00:00:00+00:00,15.3,13.8,14.4
2012-06-12 00:00:00+00:00,14.2,13.9,14.0
2012-06-13 00:00:00+00:00,14.6,14.0,14.2
2012-06-14 00:00:00+00:00,14.8,14.0,14.4
2012-06-15 00:00:00+00:00,15.1,14.2,14.7
2012-06-16 00:00:00+00:00,19.2,14.7,16.2
2012-06-17 00:00:00+00:00,19.0,15.2,15.7
2012-06-18 00:00:00+00:00,16.2,15.1,15.5
2012-06-19 00:00:00+00:00,15.7,15.0,15.4
2012-06-20 00:00:00+00:00,15.7,15.0,15.3
2012-06-21 00:00:00+00:00,16.5,15.6,16.0
2012-06-22 00:00:00+00:00,16.5,15.9,16.2
2012-06-23 00:00:00+00:00,15.9,15.5,15.7
2012-06-24 00:00:00+00:00,16.3,15.5,15.8
2012-06-25 00:00:00+00:00,16.1,15.6,15.8
2012-06-26 00:00:00+00:00,16.0,15.7,15.8
2012-06-27 00:00:00+00:00,16.0,15.5,15.6
2012-06-28 00:00:00+00:00,16.9,16.0,16.4
2012-06-29 00:00:00+00:00,16.8,16.3,16.5
2012-06-30 00:00:00+00:00,16.6,16.3,16.5
2012-07-01 00:00:00+00:00,16.6,16.3,16.4
2012-07-02 00:00:00+00:00,16.9,16.4,16.6
2012-07-03 00:00:00+00:00,17.1,16.3,16.7
2012-07-04 00:00:00+00:00,17.4,16.1,16.6
2012-07-05 00:00:00+00:00,16.7,16.0,16.3
2012-07-06 00:00:00+00:00,17.2,16.5,16.8
2012-07-07 00:00:00+00:00,18.5,16.8,17.5
2012-07-08 00:00:00+00:00,18.1,17.0,17.4
2012-07-09 00:00:00+00:00,18.1,17.4,17.7
2012-07-10 00:00:00+00:00,21.0,17.8,18.5
2012-07-11 00:00:00+00:00,18.7,17.8,18.2
2012-07-12 00:00:00+00:00,18.5,18.0,18.2
2012-07-13 00:00:00+00:00,21.2,18.4,19.2
2012-07-14 00:00:00+00:00,18.8,18.1,18.4
2012-07-15 00:00:00+00:00,20.9,18.4,19.1
2012-07-16 00:00:00+00:00,18.8,18.1,18.3
2012-07-17 00:00:00+00:00,19.5,18.4,19.0
2012-07-18 00:00:00+00:00,21.1,19.0,20.1
2012-07-19 00:00:00+00:00,20.7,18.9,19.5
2012-07-20 00:00:00+00:00,21.4,19.0,19.9
2012-07-21 00:00:00+00:00,19.6,18.7,19.0
2012-07-22 00:00:00+00:00,19.4,18.9,19.1
2012-07-23 00:00:00+00:00,19.2,18.6,19.0
2012-07-24 00:00:00+00:00,20.7,18.6,19.6
2012-07-25 00:00:00+00:00,21.7,19.2,20.7
2012-07-26 00:00:00+00:00,22.4,19.3,20.5
2012-07-27 00:00:00+00:00,21.0,19.4,20.0
2012-07-28 00:00:00+00:00,22.2,20.1,21.2
2012-07-29 00:00:00+00:00,21.2,19.0,20.1
2012-07-30 00:00:00+00:00,23.5,19.0,21.0
2013-04-03 00:00:00+00:00,18.1,12.4,15.0
2013-04-04 00:00:00+00:00,15.5,12.6,13.5
2013-04-05 00:00:00+00:00,13.4,9.2,11.8
2013-04-06 00:00:00+00:00,12.6,9.2,11.2
2013-04-07 00:00:00+00:00,11.0,8.4,9.1
2013-04-08 00:00:00+00:00,9.1,8.1,8.7
2013-04-09 00:00:00+00:00,9.8,8.5,9.2
2013-04-10 00:00:00+00:00,11.3,9.4,9.9
2013-04-11 00:00:00+00:00,11.4,9.2,10.1
2013-04-12 00:00:00+00:00,10.2,9.1,9.5
2013-04-13 00:00:00+00:00,10.4,9.9,10.2
2013-04-14 00:00:00+00:00,10.4,8.5,9.4
2013-04-15 00:00:00+00:00,10.1,8.9,9.5
2013-04-16 00:00:00+00:00,11.7,9.0,9.8
2013-04-17 00:00:00+00:00,14.0,9.6,12.0
2013-04-18 00:00:00+00:00,14.0,12.1,13.2
2013-04-19 00:00:00+00:00,14.0,11.9,12.5
2013-04-20 00:00:00+00:00,12.3,10.5,11.2
2013-04-21 00:00:00+00:00,12.3,10.0,11.6
2013-04-22 00:00:00+00:00,12.4,8.6,10.2
2013-04-23 00:00:00+00:00,15.5,9.4,13.2
2013-04-24 00:00:00+00:00,18.6,10.7,14.1
2013-04-25 00:00:00+00:00,19.1,10.1,15.0
2013-04-26 00:00:00+00:00,20.9,10.9,15.2
2013-04-27 00:00:00+00:00,17.9,11.1,13.6
2013-04-28 00:00:00+00:00,16.2,11.2,13.4
2013-04-29 00:00:00+00:00,15.8,11.2,14.5
2013-04-30 00:00:00+00:00,15.0,10.2,12.3
2013-05-01 00:00:00+00:00,12.4,10.7,11.6
2013-05-02 00:00:00+00:00,17.7,11.7,13.2
2013-05-03 00:00:00+00:00,17.8,12.1,14.3
2013-05-04 00:00:00+00:00,20.8,12.7,16.5
2013-05-05 00:00:00+00:00,21.3,12.1,16.6
2013-05-06 00:00:00+00:00,21.2,13.8,17.0
2013-05-07 00:00:00+00:00,20.1,13.5,15.0
2013-05-08 00:00:00+00:00,15.5,12.5,13.8
2013-05-09 00:00:00+00:00,15.4,13.2,14.3
2013-05-10 00:00:00+00:00,14.8,13.0,13.9
2013-05-11 00:00:00+00:00,14.4,13.4,13.9
2013-05-12 00:00:00+00:00,15.1,13.9,14.2
2013-05-13 00:00:00+00:00,15.6,14.2,14.5
2013-05-14 00:00:00+00:00,15.5,14.1,14.5
2013-05-15 00:00:00+00:00,14.3,13.9,14.1
2013-05-16 00:00:00+00:00,14.7,14.0,14.3
2013-05-17 00:00:00+00:00,17.0,14.2,14.9
2013-05-18 00:00:00+00:00,14.3,13.9,14.1
2013-05-19 00:00:00+00:00,14.1,13.7,13.9
2013-05-20 00:00:00+00:00,16.0,13.6,14.3
2013-05-21 00:00:00+00:00,16.4,13.9,14.5
2013-05-22 00:00:00+00:00,15.8,12.3,13.7
2013-05-23 00:00:00+00:00,13.1,11.2,12.5
2013-05-24 00:00:00+00:00,13.6,11.4,12.7
2013-05-25 00:00:00+00:00,13.7,12.2,13.1
2013-05-26 00:00:00+00:00,14.3,12.8,13.5
2013-05-27 00:00:00+00:00,15.2,12.7,13.6
2013-05-28 00:00:00+00:00,13.9,12.4,13.4
2013-05-29 00:00:00+00:00,16.0,12.5,14.0
2013-05-30 00:00:00+00:00,15.8,12.3,14.4
2013-05-31 00:00:00+00:00,15.6,11.6,13.7
2013-06-01 00:00:00+00:00,20.7,13.3,17.5
2013-06-02 00:00:00+00:00,21.8,17.8,19.9
2013-06-03 00:00:00+00:00,20.0,13.6,15.1
