Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
HGH,1982-01-01,24.0,0.0,0.0,8.0,,,,,,,3522.25
HGH,1982-01-02,24.0,0.0,0.0,4.0,,,,,,,3522.07
HGH,1982-01-03,24.0,0.0,0.0,5.0,,,,,,,3521.89
HGH,1982-01-04,24.0,0.0,0.0,5.0,,,,,,,3521.72
HGH,1982-01-05,24.0,0.0,0.0,5.0,,,,,,,3521.51
HGH,1982-01-06,70.0,0.0,0.0,5.0,,,,,,,3521.32
HGH,1982-01-07,96.0,0.0,0.0,8.0,,,,,,,3520.96
HGH,1982-01-08,96.0,0.0,0.0,5.0,,,,,,,3520.7
HGH,1982-01-09,96.0,0.0,0.0,8.0,,,,,,,3519.25
HGH,1982-01-10,29.0,0.0,0.0,8.0,,,,,,,3518.32
HGH,1982-01-11,73.0,0.0,0.0,9.0,,,,,,,3517.71
HGH,1982-01-12,75.0,0.0,0.0,4.0,,,,,,,3517.38
HGH,1982-01-13,74.0,0.0,0.0,13.0,,,,,,,3516.67
HGH,1982-01-14,68.0,0.0,0.0,19.0,,,,,,,3516.0
HGH,1982-01-15,97.0,0.0,0.0,28.0,,,,,,,3515.41
HGH,1982-01-16,27.0,0.0,0.0,15.0,,,,,,,3514.8
HGH,1982-01-17,24.0,0.0,0.0,4.0,,,,,,,3514.28
HGH,1982-01-18,24.0,0.0,0.0,3.0,,,,,,,3514.11
HGH,1982-01-19,24.0,0.0,0.0,6.0,,,,,,,3513.93
HGH,1982-01-20,29.0,0.0,0.0,34.0,,,,,,,3513.72
HGH,1982-01-21,25.0,0.0,0.0,4.0,,,,,,,3513.44
HGH,1982-01-22,56.0,0.0,0.0,7.0,,,,,,,3513.18
HGH,1982-01-23,25.0,0.0,0.0,10.0,,,,,,,3512.88
HGH,1982-01-24,25.0,0.0,0.0,12.0,,,,,,,3512.48
HGH,1982-01-25,27.0,0.0,0.0,6.0,,,,,,,3512.37
HGH,1982-01-26,30.0,0.0,0.0,2.0,,,,,,,3512.16
HGH,1982-01-27,30.0,0.0,0.0,6.0,,,,,,,3511.91
HGH,1982-01-28,30.0,0.0,0.0,7.0,,,,,,,3511.65
HGH,1982-01-29,28.0,0.0,0.0,8.0,,,,,,,3511.4
HGH,1982-01-30,25.0,0.0,0.0,8.0,,,,,,,3511.17
HGH,1982-01-31,25.0,0.0,0.0,7.0,,,,,,,3510.97
HGH,1982-02-01,25.0,0.0,0.0,6.0,,,,,,,3510.8
HGH,1982-02-02,25.0,0.0,0.0,6.0,,,,,,,3510.6
HGH,1982-02-03,25.0,0.0,0.0,4.0,,,,,,,3510.4
HGH,1982-02-04,39.0,0.0,0.0,2.0,,,,,,,3510.19
HGH,1982-02-05,98.0,0.0,0.0,0.08,,,,,,,3510.0
HGH,1982-02-06,70.0,0.0,0.0,1.0,,,,,,,3509.14
HGH,1982-02-07,25.0,0.0,0.0,7.0,,,,,,,3508.2
HGH,1982-02-08,25.0,0.0,0.0,5.0,,,,,,,3507.84
HGH,1982-02-09,25.0,0.0,0.0,3.0,,,,,,,3507.63
HGH,1982-02-10,25.0,0.0,0.0,7.0,,,,,,,3507.4
HGH,1982-02-11,25.0,0.0,0.0,4.0,,,,,,,3507.17
HGH,1982-02-12,25.0,0.0,0.0,5.0,,,,,,,3506.95
HGH,1982-02-13,25.0,0.0,0.0,20.0,,,,,,,3506.76
HGH,1982-02-14,25.0,0.0,0.0,17.0,,,,,,,3506.61
HGH,1982-02-15,25.0,0.0,0.0,15.0,,,,,,,3506.57
HGH,1982-02-16,22.0,0.0,0.0,20.0,,,,,,,3506.42
HGH,1982-02-17,6.0,0.0,0.0,18.0,,,,,,,3506.4
