Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
RRH,1982-01-01,113.79,0.0,0.0,101.6,,,,,,,706.43
RRH,1982-01-02,102.48,0.0,0.0,115.9,,,,,,,706.46
RRH,1982-01-03,119.08,0.0,0.0,123.0,,,,,,,706.4
RRH,1982-01-04,126.94,0.0,0.0,130.6,,,,,,,706.39
RRH,1982-01-05,128.16,0.0,0.0,131.6,,,,,,,706.37
RRH,1982-01-06,151.17,0.0,0.0,160.9,,,,,,,706.31
RRH,1982-01-07,157.74,0.0,0.0,153.4,,,,,,,706.27
RRH,1982-01-08,135.41,0.0,0.0,117.8,,,,,,,706.19
RRH,1982-01-09,120.68,0.0,0.0,115.4,,,,,,,706.33
RRH,1982-01-10,115.73,0.0,0.0,123.7,,,,,,,706.39
RRH,1982-01-11,128.75,0.0,0.0,129.4,,,,,,,706.45
RRH,1982-01-12,126.5,0.0,0.0,130.9,,,,,,,706.41
RRH,1982-01-13,135.54,0.0,0.0,130.2,,,,,,,706.35
RRH,1982-01-14,121.24,0.0,0.0,111.6,,,,,,,706.25
RRH,1982-01-15,109.22,0.0,0.0,107.0,,,,,,,706.29
RRH,1982-01-16,113.9,0.0,0.0,128.5,,,,,,,706.32
RRH,1982-01-17,127.05,0.0,0.0,119.9,,,,,,,706.24
RRH,1982-01-18,118.41,0.0,0.0,124.2,,,,,,,706.23
RRH,1982-01-19,135.9,0.0,0.0,141.0,,,,,,,706.31
RRH,1982-01-20,135.93,0.0,0.0,132.4,,,,,,,706.15
RRH,1982-01-21,143.66,0.0,0.0,153.6,,,,,,,706.2
RRH,1982-01-22,150.23,0.0,0.0,137.5,,,,,,,705.96
RRH,1982-01-23,113.12,0.0,0.0,101.3,,,,,,,706.4
RRH,1982-01-24,85.18,0.0,0.0,84.2,,,,,,,706.39
RRH,1982-01-25,92.96,0.0,0.0,102.3,,,,,,,706.44
RRH,1982-01-26,99.03,0.0,0.0,99.1,,,,,,,706.43
RRH,1982-01-27,105.46,0.0,0.0,104.0,,,,,,,706.34
RRH,1982-01-28,102.04,0.0,0.0,102.4,,,,,,,706.25
RRH,1982-01-29,104.11,0.0,0.0,105.0,,,,,,,706.37
RRH,1982-01-30,90.59,0.0,0.0,82.0,,,,,,,706.46
RRH,1982-01-31,83.27,0.0,0.0,89.0,,,,,,,706.53
RRH,1982-02-01,110.24,0.0,0.0,123.1,,,,,,,706.53
RRH,1982-02-02,119.62,0.0,0.0,108.0,,,,,,,706.47
RRH,1982-02-03,95.63,0.0,0.0,102.8,,,,,,,706.41
RRH,1982-02-04,124.96,0.0,0.0,138.9,,,,,,,706.35
RRH,1982-02-05,145.47,0.0,0.0,140.8,,,,,,,706.23
RRH,1982-02-06,129.08,0.0,0.0,121.9,,,,,,,706.17
RRH,1982-02-07,123.98,0.0,0.0,126.3,,,,,,,706.37
RRH,1982-02-08,142.59,0.0,0.0,153.3,,,,,,,706.31
RRH,1982-02-09,148.53,0.0,0.0,140.1,,,,,,,705.75
RRH,1982-02-10,148.58,0.0,0.0,152.2,,,,,,,705.38
RRH,1982-02-11,152.46,0.0,0.0,153.1,,,,,,,705.41
RRH,1982-02-12,145.09,0.0,0.0,131.4,,,,,,,705.5
RRH,1982-02-13,116.15,0.0,0.0,107.0,,,,,,,705.51
RRH,1982-02-14,82.0,0.0,0.0,66.6,,,,,,,705.9
RRH,1982-02-15,73.93,0.0,0.0,79.4,,,,,,,706.02
RRH,1982-02-16,70.24,0.0,0.0,60.7,,,,,,,706.02
RRH,1982-02-17,69.87,0.0,0.0,96.7,,,,,,,706.07
RRH,1982-02-18,142.45,0.0,0.0,162.6,,,,,,,706.03
RRH,1982-02-19,157.46,3.19,2.02,126.9,,,,,,,706.53
RRH,1982-02-20,87.62,0.0,0.0,74.5,,,,,,,704.79
RRH,1982-02-21,81.03,0.0,0.0,88.2,,,,,,,705.45
RRH,1982-02-22,99.35,0.0,0.0,113.7,,,,,,,705.35
RRH,1982-02-23,116.23,0.0,0.0,114.5,,,,,,,705.33
RRH,1982-02-24,108.41,0.0,0.0,116.3,,,,,,,705.27
RRH,1982-02-25,159.65,22.48,14.08,189.2,,,,,,,706.84
RRH,1982-02-26,190.79,57.39,30.08,199.8,,,,,,,706.89
RRH,1982-02-27,186.12,55.5,29.82,174.4,,,,,,,706.64
RRH,1982-02-28,194.81,59.5,30.54,200.1,,,,,,,706.61
RRH,1982-03-01,180.68,52.27,28.93,180.2,,,,,,,706.62
RRH,1982-03-02,182.06,49.05,26.94,176.3,,,,,,,706.53
RRH,1982-03-03,191.91,57.8,30.12,194.0,,,,,,,706.63
RRH,1982-03-04,186.85,38.59,20.65,176.7,,,,,,,706.56
RRH,1982-03-05,166.55,1.65,0.99,183.4,,,,,,,706.24
RRH,1982-03-06,190.02,26.99,14.2,179.0,,,,,,,706.65
RRH,1982-03-07,177.16,13.39,7.56,179.0,,,,,,,706.58
RRH,1982-03-08,191.82,24.5,12.77,201.8,,,,,,,706.7
RRH,1982-03-09,194.78,36.33,18.65,179.6,,,,,,,706.69
RRH,1982-03-10,168.08,3.73,2.22,183.8,,,,,,,706.63
RRH,1982-03-11,199.5,40.21,20.15,190.5,,,,,,,706.66
RRH,1982-03-12,220.23,56.12,25.48,232.1,,,,,,,706.56
RRH,1982-03-13,218.12,63.15,28.95,219.1,,,,,,,706.61
RRH,1982-03-14,216.49,50.12,23.15,213.2,,,,,,,706.61
RRH,1982-03-15,220.56,57.45,26.05,222.6,,,,,,,706.6
RRH,1982-03-16,217.95,47.28,21.69,212.6,,,,,,,706.58
RRH,1982-03-17,215.78,49.63,23.0,222.3,,,,,,,706.62
RRH,1982-03-18,208.68,38.68,18.53,208.3,,,,,,,706.61
RRH,1982-03-19,206.98,37.27,18.01,202.8,,,,,,,706.59
RRH,1982-03-20,204.1,33.25,16.29,208.4,,,,,,,706.59
RRH,1982-03-21,201.92,35.77,17.71,197.1,,,,,,,706.6
RRH,1982-03-22,204.79,42.16,20.59,197.2,,,,,,,706.58
RRH,1982-03-23,190.02,24.89,13.1,195.3,,,,,,,706.62
RRH,1982-03-24,191.0,24.35,12.75,192.4,,,,,,,706.58
RRH,1982-03-25,190.71,22.82,11.97,181.3,,,,,,,706.3
RRH,1982-03-26,180.96,13.08,7.23,180.6,,,,,,,706.67
RRH,1982-03-27,184.65,14.9,8.07,184.3,,,,,,,706.64
RRH,1982-03-28,176.06,4.23,2.4,178.2,,,,,,,706.54
RRH,1982-03-29,186.99,14.77,7.9,181.3,,,,,,,706.59
RRH,1982-03-30,176.41,0.81,0.46,176.8,,,,,,,705.93
RRH,1982-03-31,183.87,9.71,5.28,189.5,,,,,,,706.53
RRH,1982-04-01,188.95,18.22,9.64,171.4,,,,,,,706.59
