date,gain,qv,id,mm,mx,mn,fb,af
1982-01-01,408.56,,648.56,,24.81,12.07,4819.38,444678.97
1982-01-02,636.50,,871.50,,23.16,9.87,4819.44,445998.97
1982-01-03,871.61,,1096.61,,25.36,13.56,4819.52,447765.47
1982-01-04,885.14,,1100.14,,29.76,-1.30,4819.60,449538.97
1982-01-05,445.30,,650.30,,19.54,-7.27,4819.64,450428.16
1982-01-06,341.20,,536.20,,13.17,-9.47,4819.67,451091.03
1982-01-07,582.27,,767.27,,13.96,-13.64,4819.72,452212.22
1982-01-08,247.36,,427.36,,25.91,9.79,4819.74,452659.22
1982-01-09,369.63,,537.63,,25.91,2.01,4819.77,453324.94
1982-01-10,602.60,,764.60,,18.91,2.56,4819.82,454440.84
1982-01-11,271.48,,428.48,,28.11,2.01,4819.84,454890.06
1982-01-12,48.00,,202.00,,30.55,13.96,4819.84,454890.06
1982-01-13,168.17,,318.17,,31.17,17.89,4819.85,455120.47
1982-01-14,55.00,,202.00,,37.78,26.61,4819.85,455120.47
1982-01-15,56.00,,202.00,,36.21,27.24,4819.85,455120.47
1982-01-16,2413.52,,2564.52,,39.35,27.32,4820.06,459798.53
1982-01-17,815.09,,969.09,,38.09,27.01,4820.13,461312.09
1982-01-18,826.94,,976.94,,31.17,25.51,4820.20,462841.22
1982-01-19,603.86,,753.86,,26.46,16.47,4820.25,463927.88
1982-01-20,500.19,,647.19,,17.42,-3.81,4820.29,464802.97
1982-01-21,284.91,,426.91,,14.90,-5.86,4820.31,465241.13
1982-01-22,398.06,,535.06,,22.53,7.82,4820.34,465893.81
1982-01-23,935.94,,1096.94,,35.73,20.01,4820.42,467653.03
1982-01-24,383.39,,546.39,,41.00,17.97,4820.45,468320.25
1982-01-25,602.37,,760.37,,44.15,12.62,4820.49,469203.63
1982-01-26,621.58,,776.58,,46.03,27.40,4820.51,469635.19
1982-01-27,592.18,,742.18,,31.65,21.03,4820.50,469419.34
1982-01-28,216.96,,361.96,,31.65,13.17,4820.44,468094.31
1982-01-29,362.23,,502.23,,32.12,10.42,4820.36,466333.44
1982-01-30,172.71,,309.71,,34.01,15.77,4820.24,463714.69
1982-01-31,283.69,,418.69,,34.24,17.89,4820.13,461312.09
1982-02-01,403.86,,536.86,,31.49,17.10,4820.03,459143.88
1982-02-02,503.73,,633.73,,29.60,17.26,4819.92,456691.78
1982-02-03,156.92,,286.92,,25.28,2.71,4819.74,452659.22
1982-02-04,186.14,,312.14,,11.60,-9.86,4819.59,449311.41
1982-02-05,267.11,,388.11,,7.98,-21.42,4819.56,448651.13
1982-02-06,69.76,,186.76,,10.97,-21.34,4819.45,446224.88
1982-02-07,441.12,,556.12,,20.64,-3.58,4819.30,442924.63
1982-02-08,355.99,,466.99,,9.40,-20.48,4819.14,439447.59
1982-02-09,475.85,,586.85,,19.62,-4.91,4818.99,436208.28
1982-02-10,409.12,,518.12,,8.22,-20.64,4818.82,432554.97
1982-02-11,513.49,,618.49,,31.96,-14.50,4818.65,428942.06
1982-02-12,482.70,,583.70,,39.74,-3.34,4818.48,425359.31
1982-02-13,849.27,,952.27,,36.52,25.12,4818.36,422844.81
1982-02-14,1983.48,,2109.48,,38.80,33.77,4818.34,422427.25
1982-02-15,1662.68,,1799.68,,39.98,32.35,4818.28,421177.03
1982-02-16,2078.30,,2230.30,,43.91,34.79,4818.26,420761.09
1982-02-17,1748.10,,1909.10,,40.22,31.49,4818.21,419727.91
1982-02-18,1016.07,,1179.07,,39.27,30.31,4818.09,417246.72
1982-02-19,1651.20,,1817.20,,49.65,32.75,4818.03,416011.41
1982-02-20,2170.01,,2339.01,,52.24,35.81,4818.02,415811.09
1982-02-21,4088.75,,4275.75,,51.46,30.39,4818.19,419313.41
1982-02-22,2456.87,,2699.87,,35.58,14.11,4818.26,420761.09
1982-02-23,1922.93,,2204.93,,30.07,9.16,4818.44,424519.63
1982-02-24,1521.59,,1824.59,,29.29,-7.82,4818.59,427672.53
1982-02-25,1093.56,,1404.56,,30.55,-2.87,4818.70,430008.19
1982-02-26,1200.00,,1507.00,,44.78,8.06,4818.82,432554.97
1982-02-27,1211.83,,1514.83,,42.18,22.68,4818.94,435127.19
1982-02-28,899.01,,1193.01,,48.71,8.61,4819.03,437061.09
1982-03-01,1685.56,,1975.56,,44.23,34.40,4819.19,440529.31
1982-03-02,1448.11,,1747.11,,35.58,25.83,4819.28,442487.22
1982-03-03,1298.89,,1592.89,,35.81,24.26,4819.19,440529.31
1982-03-04,1007.07,,1297.07,,39.27,23.23,4819.07,437925.16
1982-03-05,941.36,,1219.36,,38.09,12.15,4818.94,435127.19
1982-03-06,746.69,,1012.69,,40.29,10.81,4818.79,431919.31
1982-03-07,753.84,,1004.84,,46.19,18.52,4818.64,428735.53
1982-03-08,667.82,,907.82,,38.49,15.14,4818.48,425359.31
1982-03-09,881.75,,1121.75,,46.82,33.93,4818.34,422427.25
1982-03-10,913.99,,1146.99,,49.49,28.82,4818.20,419525.41
1982-03-11,1751.01,,1984.01,,43.36,18.52,4818.14,418283.78
1982-03-12,963.35,,1196.35,,36.21,18.99,4818.00,415400.50
1982-03-13,894.32,,1120.32,,43.75,23.78,4817.86,412406.09
1982-03-14,1100.83,,1329.83,,39.59,32.43,4817.74,409866.91
1982-03-15,1017.96,,1243.96,,36.21,19.85,4817.61,407117.75
1982-03-16,726.10,,945.10,,35.97,7.27,4817.45,403775.81
1982-03-17,796.63,,1005.63,,39.74,13.72,4817.30,400653.09
1982-03-18,870.77,,1072.77,,38.88,26.85,4817.15,397564.38
1982-03-19,680.47,,879.47,,35.26,21.90,4816.98,394092.25
1982-03-20,701.56,,894.56,,37.31,20.17,4816.81,390650.06
1982-03-21,619.41,,806.41,,39.04,17.49,4816.63,387033.03
1982-03-22,745.01,,926.01,,41.79,20.95,4816.46,383653.22
1982-03-23,664.07,,839.07,,47.76,16.55,4816.28,380100.97
1982-03-24,787.35,,956.35,,50.36,20.48,4816.11,376781.34
1982-03-25,687.23,,850.23,,54.21,16.00,4815.93,373211.56
1982-03-26,834.27,,997.27,,45.64,30.86,4815.77,369933.41
1982-03-27,952.64,,1115.64,,45.25,34.79,4815.62,366890.06
1982-03-28,959.63,,1128.63,,42.26,28.19,4815.47,363872.47
1982-03-29,852.62,,1018.62,,36.76,20.80,4815.31,360676.34
1982-03-30,1187.33,,1353.33,,35.58,20.25,4815.18,358104.44
1982-03-31,959.26,,1140.26,,35.89,28.03,4815.03,355149.59
1982-04-01,874.66,,1061.66,,36.76,15.84,4814.87,352038.84
1982-04-02,719.84,,906.84,,36.05,10.42,4814.69,348561.50
1982-04-03,1091.39,,1278.39,,39.19,28.50,4814.55,345880.63
1982-04-04,818.20,,1005.20,,37.70,19.46,4814.38,342657.88
1982-04-05,767.12,,948.12,,34.95,14.74,4814.20,339282.25
1982-04-06,1057.41,,1238.41,,36.76,9.71,4814.05,336482.41
1982-04-07,543.34,,721.34,,39.51,8.93,4813.85,332637.13
1982-04-08,540.04,,712.04,,40.77,0.75,4813.65,328773.41
1982-04-09,669.65,,832.65,,45.64,18.12,4813.46,325148.91
1982-04-10,874.14,,1032.14,,51.14,12.54,4813.29,321939.94
1982-04-11,2129.21,,2301.21,,52.64,34.56,4813.25,321188.63
1982-04-12,3391.29,,3581.29,,43.12,33.22,4813.34,322877.13
1982-04-13,3164.37,,3379.37,,50.04,33.30,4813.41,324204.81
1982-04-14,3131.60,,3367.60,,42.10,27.17,4813.48,325528.97
1982-04-15,2326.43,,2566.43,,37.78,19.30,4813.47,325343.38
1982-04-16,1655.13,,1895.13,,44.62,12.78,4813.39,323826.28
1982-04-17,1458.97,,1698.97,,49.57,20.80,4813.29,321939.94
1982-04-18,1545.18,,1781.18,,33.85,22.05,4813.20,320256.34
1982-04-19,1268.88,,1501.88,,39.98,17.02,4813.08,318018.75
1982-04-20,1283.91,,1509.91,,45.96,15.21,4812.96,315797.09
1982-04-21,1483.54,,1702.54,,56.49,18.20,4812.86,313957.50
1982-04-22,1857.06,,2076.06,,64.20,23.47,4812.80,312858.78
1982-04-23,2318.23,,2540.23,,66.79,25.12,4812.79,312680.72
1982-04-24,2574.27,,2814.27,,58.69,27.56,4812.81,313046.22
1982-04-25,2638.49,,2904.49,,56.96,27.72,4812.84,313590.66
1982-04-26,2580.98,,2879.98,,59.08,29.45,4812.88,314324.50
1982-04-27,2633.65,,2971.65,,63.09,28.27,4812.95,315617.03
1982-04-28,2723.82,,3113.82,,51.46,33.61,4813.06,317647.75
1982-04-29,2417.90,,2851.90,,53.97,24.33,4813.15,319317.63
1982-04-30,2211.86,,2671.86,,64.04,23.55,4813.22,320630.41
1982-05-01,2362.96,,2849.96,,70.25,30.86,4813.31,322316.28
