date,qu,fb,qd
1982-01-01,71.68,,0.95
1982-01-02,154.30,,0.95
1982-01-03,154.93,,0.95
1982-01-04,143.87,,0.95
1982-01-05,72.60,,0.95
1982-01-06,48.79,,0.95
1982-01-07,108.49,,0.95
1982-01-08,108.82,,0.99
1982-01-09,85.53,,0.99
1982-01-10,72.79,,0.99
1982-01-11,110.14,,0.99
1982-01-12,85.41,,0.91
1982-01-13,96.73,,0.91
1982-01-14,92.91,,0.91
1982-01-15,81.28,,0.91
1982-01-16,116.47,,0.91
1982-01-17,104.81,,0.91
1982-01-18,82.46,,0.91
1982-01-19,105.35,,0.91
1982-01-20,58.88,,0.91
1982-01-21,82.90,,0.91
1982-01-22,94.55,,0.91
1982-01-23,164.59,,0.91
1982-01-24,71.52,,0.91
1982-01-25,83.73,,0.91
1982-01-26,142.18,,0.91
1982-01-27,60.41,,0.91
1982-01-28,59.93,,0.91
1982-01-29,83.87,,0.91
1982-01-30,96.14,,0.91
1982-01-31,60.87,,0.91
1982-02-01,72.60,,0.91
1982-02-02,96.06,,0.91
1982-02-03,37.19,,0.91
1982-02-04,60.65,,0.91
1982-02-05,48.99,,0.92
1982-02-06,97.23,,0.92
1982-02-07,49.15,,0.92
1982-02-08,85.14,,0.92
1982-02-09,85.89,,0.92
1982-02-10,37.00,,0.92
1982-02-11,109.84,,0.92
1982-02-12,86.34,,0.92
1982-02-13,183.66,,0.92
1982-02-14,221.53,,0.92
1982-02-15,148.06,,0.92
1982-02-16,223.33,,0.92
1982-02-17,124.99,,0.92
1982-02-18,125.33,,0.92
1982-02-19,125.07,,0.92
1982-02-20,138.88,,0.93
1982-02-21,201.22,,0.93
1982-02-22,139.91,,0.93
1982-02-23,139.73,,0.93
1982-02-24,178.52,,0.93
1982-02-25,153.12,,0.93
1982-02-26,154.28,,0.93
1982-02-27,103.39,,0.94
1982-02-28,155.10,,0.94
1982-03-01,271.67,,0.94
1982-03-02,182.45,,0.94
1982-03-03,117.74,,0.94
1982-03-04,170.24,,0.94
1982-03-05,105.68,,0.94
1982-03-06,144.89,,0.94
1982-03-07,106.24,,0.94
1982-03-08,165.72,,0.94
1982-03-09,88.78,,0.94
1982-03-10,163.76,,0.94
1982-03-11,189.42,,0.94
1982-03-12,89.03,,0.94
1982-03-13,127.51,,0.94
1982-03-14,153.23,,0.94
1982-03-15,102.69,,0.94
1982-03-16,115.40,,0.94
1982-03-17,103.19,,0.94
1982-03-18,141.65,,0.95
1982-03-19,91.12,,0.95
1982-03-20,116.47,,0.95
1982-03-21,104.14,,0.95
1982-03-22,104.35,,0.95
1982-03-23,104.58,,0.95
1982-03-24,104.18,,0.95
1982-03-25,131.04,,0.95
1982-03-26,118.01,,0.95
1982-03-27,118.91,,0.95
1982-03-28,132.04,,0.95
1982-03-29,79.11,,0.95
1982-03-30,172.41,,0.95
1982-03-31,251.83,,0.96
1982-04-01,107.16,,0.96
1982-04-02,200.19,,0.96
1982-04-03,147.60,,0.96
1982-04-04,121.09,,0.96
1982-04-05,122.10,,0.96
1982-04-06,121.70,,0.96
1982-04-07,68.65,,0.96
1982-04-08,135.33,,0.96
1982-04-09,82.18,,0.96
1982-04-10,163.67,,0.96
1982-04-11,286.74,,0.96
1982-04-12,247.35,,0.96
1982-04-13,234.45,,0.96
1982-04-14,276.74,,0.96
1982-04-15,181.78,,0.96
1982-04-16,153.77,,0.96
1982-04-17,168.51,,0.96
1982-04-18,154.80,,0.96
1982-04-19,98.83,,0.96
1982-04-20,212.60,,0.96
1982-04-21,156.04,,0.97
1982-04-22,184.90,,0.97
1982-04-23,215.31,,0.97
1982-04-24,277.33,,0.97
1982-04-25,291.74,,0.97
1982-04-26,333.62,,0.97
1982-04-27,376.35,,0.97
1982-04-28,446.30,,0.97
1982-04-29,408.55,,0.97
1982-04-30,453.13,,0.98
1982-05-01,512.27,,0.98
1982-05-02,642.80,,0.98
1982-05-03,720.71,,0.98
1982-05-04,686.72,,0.98
1982-05-05,665.66,,0.98
1982-05-06,658.73,,0.98
1982-05-07,679.19,,0.98
1982-05-08,644.56,,0.98
1982-05-09,594.98,,0.98
1982-05-10,573.34,,0.98
1982-05-11,662.81,,0.98
1982-05-12,641.73,,0.98
1982-05-13,706.09,,0.98
1982-05-14,830.20,,0.98
1982-05-15,959.54,,0.98
1982-05-16,1270.91,,0.98
1982-05-17,1235.25,,0.99
1982-05-18,1214.52,,0.99
1982-05-19,1132.80,,0.99
1982-05-20,1151.57,,0.99
1982-05-21,1199.45,,0.99
1982-05-22,1369.49,,0.99
1982-05-23,1308.32,,0.99
1982-05-24,1419.35,,1.00
1982-05-25,1610.90,,1.00
1982-05-26,1751.12,,1.00
1982-05-27,1319.42,,1.00
1982-05-28,669.23,,1.00
1982-05-29,489.94,,1.00
1982-05-30,169.56,,1.00
1982-05-31,124.07,,1.00
1982-06-01,1052.46,,975.00
1982-06-02,1096.72,,1020.00
1982-06-03,1136.80,,1060.00
1982-06-04,1130.82,,1100.00
1982-06-05,1134.95,,1150.00
1982-06-06,1098.22,,1160.00
1982-06-07,1042.51,,1120.00
1982-06-08,1034.15,,1080.00
1982-06-09,1025.00,,1040.00
1982-06-10,1110.86,,1050.00
1982-06-11,1229.26,,1090.00
1982-06-12,1431.57,,1200.00
1982-06-13,1562.20,,1330.00
1982-06-14,1812.35,,1470.00
1982-06-15,1889.01,,1640.00
1982-06-16,2030.47,,1780.00
1982-06-17,2125.14,,1890.00
1982-06-18,2163.54,,1990.00
1982-06-19,2106.89,,2060.00
1982-06-20,2188.47,,2110.00
1982-06-21,2011.53,,2090.00
1982-06-22,2023.11,,2070.00
1982-06-23,2225.36,,2100.00
1982-06-24,1934.64,,2060.00
1982-06-25,1869.33,,1980.00
1982-06-26,1686.18,,1890.00
1982-06-27,1845.30,,1830.00
1982-06-28,1773.30,,1820.00
1982-06-29,1452.81,,1750.00
1982-06-30,1514.93,,1640.00
1982-07-01,1334.01,,1490.00
1982-07-02,1301.32,,1410.00
1982-07-03,1210.44,,1350.00
1982-07-04,1057.78,,1260.00
