date,qd,mm,mx,mn
1982-01-01,260.00,,,
1982-01-02,240.00,,,
1982-01-03,260.00,,,
1982-01-04,230.00,,,
1982-01-05,210.00,,,
1982-01-06,200.00,,,
1982-01-07,185.00,,,
1982-01-08,170.00,,,
1982-01-09,165.00,,,
1982-01-10,160.00,,,
1982-01-11,160.00,,,
1982-01-12,160.00,,,
1982-01-13,170.00,,,
1982-01-14,250.00,,,
1982-01-15,410.00,,,
1982-01-16,956.00,,,
1982-01-17,1590.00,,,
1982-01-18,846.00,,,
1982-01-19,600.00,,,
1982-01-20,470.00,,,
1982-01-21,400.00,,,
1982-01-22,500.00,,,
1982-01-23,2100.00,,,
1982-01-24,1900.00,,,
1982-01-25,996.00,,,
1982-01-26,836.00,,,
1982-01-27,717.00,,,
1982-01-28,590.00,,,
1982-01-29,464.00,,,
1982-01-30,381.00,,,
1982-01-31,349.00,,,
1982-02-01,301.00,,,
1982-02-02,266.00,,,
1982-02-03,247.00,,,
1982-02-04,214.00,,,
1982-02-05,184.00,,,
1982-02-06,163.00,,,
1982-02-07,146.00,,,
1982-02-08,132.00,,,
1982-02-09,120.00,,,
1982-02-10,116.00,,,
1982-02-11,167.00,,,
1982-02-12,196.00,,,
1982-02-13,391.00,,,
1982-02-14,943.00,,,
1982-02-15,885.00,,,
1982-02-16,1100.00,,,
1982-02-17,910.00,,,
1982-02-18,810.00,,,
1982-02-19,1020.00,,,
1982-02-20,2030.00,,,
1982-02-21,1520.00,,,
1982-02-22,1040.00,,,
1982-02-23,800.00,,,
1982-02-24,600.00,,,
1982-02-25,500.00,,,
1982-02-26,450.00,,,
1982-02-27,500.00,,,
1982-02-28,480.00,,,
1982-03-01,450.00,,,
1982-03-02,550.00,,,
1982-03-03,600.00,,,
1982-03-04,660.00,,,
1982-03-05,600.00,,,
1982-03-06,500.00,,,
1982-03-07,450.00,,,
1982-03-08,390.00,,,
1982-03-09,400.00,,,
1982-03-10,370.00,,,
1982-03-11,390.00,,,
1982-03-12,390.00,,,
