date,qu,gain,qd
1982-01-01,2892.56,280.00,1350.00
1982-01-02,3217.16,320.00,1390.00
1982-01-03,2623.26,320.00,1390.00
1982-01-04,2863.79,280.00,1350.00
1982-01-05,2842.20,340.00,1450.00
1982-01-06,3135.24,360.00,1710.00
1982-01-07,2432.37,420.00,2010.00
1982-01-08,2055.90,380.00,2900.00
1982-01-09,2948.90,390.00,3400.00
1982-01-10,2952.37,430.00,2280.00
1982-01-11,2522.83,210.00,1900.00
1982-01-12,2630.60,220.00,1900.00
1982-01-13,2524.11,260.00,1860.00
1982-01-14,2982.99,360.00,1600.00
1982-01-15,3017.35,270.00,1350.00
1982-01-16,3550.04,260.00,1320.00
1982-01-17,2943.67,260.00,1320.00
1982-01-18,3305.08,250.00,1310.00
1982-01-19,2841.25,250.00,1310.00
1982-01-20,2795.12,240.00,1310.00
1982-01-21,2744.14,140.00,1340.00
1982-01-22,2768.06,330.00,1400.00
1982-01-23,3073.80,290.00,1340.00
1982-01-24,3046.59,270.00,1310.00
1982-01-25,3395.04,250.00,1300.00
1982-01-26,2642.85,250.00,1300.00
1982-01-27,2935.62,270.00,1310.00
1982-01-28,2824.08,240.00,1290.00
1982-01-29,2478.95,250.00,1290.00
1982-01-30,2601.58,240.00,1290.00
1982-01-31,2672.21,270.00,1310.00
1982-02-01,3424.11,250.00,1290.00
1982-02-02,2449.00,270.00,1310.00
1982-02-03,2623.87,250.00,1290.00
1982-02-04,2690.39,360.00,1400.00
1982-02-05,2075.62,350.00,1800.00
1982-02-06,1730.02,340.00,1750.00
1982-02-07,2725.42,370.00,1650.00
1982-02-08,2694.32,310.00,2020.00
1982-02-09,2253.61,320.00,1870.00
1982-02-10,2774.02,400.00,1750.00
1982-02-11,2214.61,300.00,1600.00
1982-02-12,2699.60,200.00,1500.00
1982-02-13,2638.69,240.00,1470.00
1982-02-14,3233.61,240.00,1420.00
1982-02-15,3460.56,260.00,1510.00
1982-02-16,4464.47,340.00,1580.00
1982-02-17,4198.50,310.00,1480.00
1982-02-18,3311.70,280.00,1450.00
1982-02-19,3136.58,130.00,1720.00
1982-02-20,2680.88,210.00,2230.00
1982-02-21,3279.67,490.00,2540.00
1982-02-22,4230.35,520.00,2570.00
