date,qu,qv,fb,af
1982-01-01,,,3522.00,2638281.00
1982-01-02,,,3521.80,2634325.00
1982-01-03,,,3521.61,2630567.25
1982-01-04,,,3521.42,2626804.50
1982-01-05,,,3521.23,2623046.50
1982-01-06,,,3520.58,2610188.50
1982-01-07,,,3519.70,2592833.75
1982-01-08,,,3518.78,2574811.50
1982-01-09,,,3517.85,2556621.75
1982-01-10,,,3517.63,2552349.25
1982-01-11,,,3516.96,2539352.25
1982-01-12,,,3516.25,2525578.25
1982-01-13,,,3515.62,2513429.50
1982-01-14,,,3515.10,2503438.75
1982-01-15,,,3514.32,2488452.25
1982-01-16,,,3514.25,2487106.25
1982-01-17,,,3514.04,2483072.25
1982-01-18,,,3513.82,2478880.50
1982-01-19,,,3513.63,2475263.00
1982-01-20,,,3513.30,2468989.25
1982-01-21,,,3513.08,2464805.25
1982-01-22,,,3512.56,2454914.00
1982-01-23,,,3512.41,2452058.00
1982-01-24,,,3512.28,2449587.50
1982-01-25,,,3512.06,2445403.25
1982-01-26,,,3511.77,2439932.75
1982-01-27,,,3511.52,2435227.50
1982-01-28,,,3511.28,2430710.75
1982-01-29,,,3511.07,2426759.25
1982-01-30,,,3510.89,2423368.25
1982-01-31,,,3510.70,2419793.50
1982-02-01,,,3510.50,2416030.25
1982-02-02,,,3510.31,2412455.50
1982-02-03,,,3510.09,2408315.50
1982-02-04,,,3509.70,2401036.00
1982-02-05,,,3508.67,2381867.25
1982-02-06,,,3507.94,2368295.50
1982-02-07,,,3507.74,2364618.25
1982-02-08,,,3507.52,2360572.75
1982-02-09,,,3507.28,2356159.00
1982-02-10,,,3507.08,2352481.75
1982-02-11,,,3506.86,2348436.25
1982-02-12,,,3506.65,2344570.25
1982-02-13,,,3506.60,2343654.50
1982-02-14,,,3506.52,2342181.75
1982-02-15,,,3506.42,2340340.75
1982-02-16,,,3506.40,2339972.50
1982-02-17,,,3506.53,2342365.75
1982-02-18,,,3506.69,2345306.75
1982-02-19,,,3506.78,2346963.50
1982-02-20,,,3506.85,2348252.25
1982-02-21,,,3507.36,2357631.75
1982-02-22,,,3507.45,2359284.00
1982-02-23,,,3507.47,2359652.25
1982-02-24,,,3507.43,2358915.75
1982-02-25,,,3507.45,2359284.00
1982-02-26,,,3507.51,2360388.50
1982-02-27,,,3507.67,2363329.50
1982-02-28,,,3507.81,2365906.75
1982-03-01,,,3508.00,2369400.00
1982-03-02,,,3508.17,2372562.25
1982-03-03,,,3508.32,2375356.50
1982-03-04,,,3508.43,2377401.00
1982-03-05,,,3508.56,2379822.75
1982-03-06,,,3508.65,2381494.75
1982-03-07,,,3508.74,2383171.25
1982-03-08,,,3508.63,2381122.00
1982-03-09,,,3508.44,2377587.25
1982-03-10,,,3508.18,2372748.50
1982-03-11,,,3508.00,2369400.00
1982-03-12,,,3507.78,2365354.50
1982-03-13,,,3507.54,2360940.75
1982-03-14,,,3507.25,2355606.75
1982-03-15,,,3506.91,2349352.25
1982-03-16,,,3506.54,2342549.75
1982-03-17,,,3506.24,2337031.75
1982-03-18,,,3505.85,2329895.00
1982-03-19,,,3505.62,2325717.50
1982-03-20,,,3505.20,2318085.00
1982-03-21,,,3504.77,2310275.50
1982-03-22,,,3504.21,2300102.00
1982-03-23,,,3503.55,2288220.00
1982-03-24,,,3502.94,2277280.00
1982-03-25,,,3502.30,2265806.25
1982-03-26,,,3501.62,2253706.50
1982-03-27,,,3500.95,2241852.25
1982-03-28,,,3500.30,2230356.50
1982-03-29,,,3499.70,2219818.75
1982-03-30,,,3499.08,2209013.75
1982-03-31,,,3498.40,2197157.75
1982-04-01,,,3497.74,2185728.25
1982-04-02,,,3496.99,2172867.25
1982-04-03,,,3496.33,2161551.25
1982-04-04,,,3495.64,2149822.50
1982-04-05,,,3494.96,2138364.25
1982-04-06,,,3494.16,2124881.75
1982-04-07,,,3493.53,2114401.50
1982-04-08,,,3492.74,2101313.75
1982-04-09,,,3492.39,2095514.00
1982-04-10,,,3492.40,2095679.75
1982-04-11,,,3492.60,2098996.25
1982-04-12,,,3492.14,2091372.50
1982-04-13,,,3491.38,2079004.75
1982-04-14,,,3490.70,2067985.13
1982-04-15,,,3489.93,2055505.38
1982-04-16,,,3489.08,2041731.88
1982-04-17,,,3488.20,2027467.63
1982-04-18,,,3488.43,2031194.88
1982-04-19,,,3487.55,2017082.38
1982-04-20,,,3486.45,1999614.13
1982-04-21,,,3485.46,1983894.38
1982-04-22,,,3484.50,1968651.38
1982-04-23,,,3483.62,1954822.00
1982-04-24,,,3483.66,1955439.00
1982-04-25,,,3483.87,1958698.25
1982-04-26,,,3483.56,1953890.88
1982-04-27,,,3483.00,1945207.25
1982-04-28,,,3482.58,1938696.50
1982-04-29,,,3482.09,1931099.25
1982-04-30,,,3481.60,1923502.13
1982-05-01,,,3481.23,1917763.50
1982-05-02,,,3481.11,1915905.00
1982-05-03,,,3481.38,1920087.75
1982-05-04,,,3481.64,1924119.13
1982-05-05,,,3481.47,1921484.50
1982-05-06,,,3481.20,1917298.00
1982-05-07,,,3481.00,1914197.75
1982-05-08,,,3481.84,1927223.13
1982-05-09,,,3482.65,1939779.13
1982-05-10,,,3482.78,1941796.63
1982-05-11,,,3483.12,1947069.63
1982-05-12,,,3483.48,1952649.25
1982-05-13,,,3483.91,1959315.25
1982-05-14,,,3484.58,1969922.88
1982-05-15,,,3485.95,1991674.75
1982-05-16,,,3487.76,2020416.25
1982-05-17,,,3489.41,2047077.50
1982-05-18,,,3491.48,2080627.00
1982-05-19,,,3493.36,2111586.50
1982-05-20,,,3494.88,2137014.75
1982-05-21,,,3496.50,2164465.00
1982-05-22,,,3498.58,2200298.25
1982-05-23,,,3501.03,2243268.75
1982-05-24,,,3503.40,2285527.75
1982-05-25,,,3505.82,2329349.50
1982-05-26,,,3508.72,2382798.75
1982-05-27,,,3510.87,2422996.00
1982-05-28,,,3512.47,2453200.25
