date,qu,fb,mm,mx,mn,af,qd
1982-01-01,1065.83,6755.30,,21.50,2.79,513750.00,481.00
1982-01-02,365.04,6755.30,,7.35,-16.39,513520.00,481.00
1982-01-03,481.00,6755.32,,13.09,-3.97,513520.00,481.00
1982-01-04,717.96,6755.35,,23.94,13.25,513990.00,481.00
1982-01-05,1070.83,6755.37,,23.78,3.42,515150.00,486.00
1982-01-06,491.00,6755.37,,18.44,-19.69,515150.00,491.00
1982-01-07,491.00,6755.37,,10.73,-21.42,515150.00,491.00
1982-01-08,722.92,6755.39,,19.15,-5.62,515610.00,491.00
1982-01-09,375.04,6755.38,,26.85,-3.42,515380.00,491.00
1982-01-10,375.04,6755.37,,25.44,-3.42,515150.00,491.00
1982-01-11,375.04,6755.36,,31.73,4.60,514920.00,491.00
1982-01-12,254.04,6755.34,,28.66,-6.25,514450.00,491.00
1982-01-13,495.00,6755.34,,26.06,5.23,514450.00,495.00
1982-01-14,610.96,6755.35,,28.03,12.15,514680.00,495.00
1982-01-15,732.73,6755.37,,27.72,20.64,515151.53,495.00
1982-01-16,495.00,6755.37,,28.19,17.42,515151.53,495.00
1982-01-17,964.13,6755.41,,32.04,23.94,516082.03,495.00
1982-01-18,495.00,6755.41,,30.55,17.73,516082.03,495.00
1982-01-19,495.00,6755.41,,24.65,7.67,516082.03,495.00
1982-01-20,500.00,6755.41,,24.02,3.81,516082.03,500.00
1982-01-21,505.00,6755.41,,28.66,2.16,516082.03,505.00
1982-01-22,384.85,6755.40,,20.40,4.68,515843.72,505.00
1982-01-23,856.04,6755.43,,29.13,10.18,516540.00,505.00
1982-01-24,1210.83,6755.49,,33.38,18.75,517940.00,505.00
1982-01-25,508.00,6755.49,,24.33,4.68,517940.00,508.00
1982-01-26,625.96,6755.50,,41.24,8.69,518170.00,510.00
1982-01-27,741.92,6755.52,,26.30,5.47,518630.00,510.00
1982-01-28,394.04,6755.51,,25.51,1.30,518400.00,510.00
1982-01-29,513.47,6755.51,,57.28,-11.99,518396.97,515.00
1982-01-30,284.61,6755.49,,25.67,6.33,517940.00,515.00
1982-01-31,1215.79,6755.51,,28.74,11.52,519330.00,515.00
1982-02-01,46.12,6755.51,,26.93,2.16,518400.00,515.00
1982-02-02,399.04,6755.50,,19.46,-2.00,518170.00,515.00
1982-02-03,636.96,6755.51,,20.25,-6.17,518400.00,521.00
1982-02-04,409.04,6755.50,,8.14,-26.77,518170.00,525.00
1982-02-05,55.87,6755.46,,3.89,-40.68,517239.50,525.00
1982-02-06,762.17,6755.48,,5.15,-35.97,517700.00,530.00
1982-02-07,414.04,6755.47,,16.08,-1.53,517470.00,530.00
1982-02-08,179.23,6755.44,,20.25,-14.90,516774.25,530.00
1982-02-09,532.90,6755.44,,8.85,-18.28,516780.00,530.00
1982-02-10,292.54,6755.42,,16.55,-27.16,516309.00,530.00
1982-02-11,646.46,6755.43,,19.85,-30.38,516540.00,530.00
1982-02-12,414.04,6755.42,,30.39,-18.67,516310.00,530.00
1982-02-13,414.04,6755.41,,38.09,10.58,516080.00,530.00
1982-02-14,761.92,6755.43,,35.58,27.32,516540.00,530.00
1982-02-15,1351.79,6755.50,,40.06,32.12,518170.00,530.00
1982-02-16,1230.79,6755.56,,41.00,30.47,519560.00,530.00
1982-02-17,525.00,6755.56,,37.07,21.19,519560.00,525.00
1982-02-18,525.00,6755.56,,41.08,18.44,519560.00,525.00
1982-02-19,293.08,6755.54,,36.84,20.95,519100.00,525.00
1982-02-20,525.00,6755.54,,43.05,19.22,519100.00,525.00
1982-02-21,756.92,6755.56,,48.08,34.63,519560.00,525.00
1982-02-22,525.00,6755.56,,42.97,27.40,519560.00,525.00
1982-02-23,484.04,6755.55,,27.95,10.81,519330.00,600.00
1982-02-24,711.00,6755.55,,27.72,-8.45,519330.00,711.00
1982-02-25,480.08,6755.53,,33.77,-10.81,518870.00,712.00
1982-02-26,712.00,6755.53,,40.45,0.28,518870.00,712.00
1982-02-27,359.08,6755.50,,40.29,17.81,518170.00,712.00
1982-02-28,596.04,6755.49,,42.73,1.30,517940.00,712.00
1982-03-01,359.08,6755.46,,44.46,13.49,517240.00,712.00
1982-03-02,596.04,6755.45,,42.34,20.40,517010.00,712.00
1982-03-03,501.04,6755.43,,38.09,16.79,516540.00,738.00
1982-03-04,644.08,6755.41,,33.53,19.38,516080.00,876.00
1982-03-05,152.18,6755.34,,36.36,4.13,514447.97,975.00
1982-03-06,505.87,6755.30,,35.42,5.70,513517.47,975.00
1982-03-07,391.44,6755.25,,34.79,21.11,512360.00,975.00
1982-03-08,860.55,6755.24,,39.74,6.25,512133.00,975.00
1982-03-09,987.03,6755.24,,41.95,30.23,512133.06,987.00
1982-03-10,57.02,6755.13,,47.76,27.95,509568.47,1350.00
1982-03-11,-41.81,6755.00,,36.21,24.89,506550.00,1480.00
1982-03-12,1014.10,6754.96,,31.80,7.20,505625.91,1480.00
1982-03-13,548.19,6754.88,,40.69,-3.97,503777.69,1480.00
1982-03-14,548.20,6754.80,,36.13,1.22,501929.50,1480.00
1982-03-15,900.46,6754.75,,43.05,23.86,500780.00,1480.00
1982-03-16,315.25,6754.65,,41.71,19.07,498469.75,1480.00
1982-03-17,315.25,6754.55,,38.64,13.01,496159.50,1480.00
1982-03-18,803.88,6754.47,,42.81,14.43,494322.56,1730.00
1982-03-19,532.29,6754.35,,36.05,19.93,491550.25,1930.00
1982-03-20,765.25,6754.25,,33.14,15.14,489240.00,1930.00
1982-03-21,289.35,6754.11,,37.70,6.49,486005.66,1920.00
1982-03-22,641.60,6754.00,,35.50,-1.53,483470.00,1920.00
1982-03-23,640.48,6753.89,,39.35,16.94,480951.94,1910.00
1982-03-24,280.65,6753.75,,34.08,15.37,477740.00,1900.00
1982-03-25,630.48,6753.64,,43.28,-1.22,475221.94,1900.00
1982-03-26,624.84,6753.53,,44.07,15.61,472692.69,1900.00
1982-03-27,286.29,6753.39,,42.89,23.78,469491.94,1900.00
1982-03-28,511.98,6753.27,,46.27,25.91,466738.84,1900.00
1982-03-29,743.34,6753.17,,40.22,17.97,464444.63,1900.00
