date,qu,af,qd,fb,mm,mn,mx,mc,pp
1982-01-01,120.98,129629.00,2.00,2235.67,21.19,14.53,28.82,,0.00
1982-01-02,78.13,129780.00,2.00,2235.83,20.85,15.79,28.54,,0.30
1982-01-03,78.13,129931.00,2.00,2235.84,23.87,17.89,27.28,,0.44
1982-01-04,78.13,130082.00,2.00,2235.92,22.62,19.57,24.90,,0.15
1982-01-05,78.13,130233.00,2.00,2235.98,14.53,0.67,19.85,,0.00
1982-01-06,78.13,130384.00,2.00,2235.98,3.13,9.97,18.45,,0.00
1982-01-07,78.13,130535.00,2.00,2236.01,10.35,0.16,28.26,,0.00
1982-01-08,78.13,130686.00,2.00,2236.03,35.14,27.70,39.88,,0.30
1982-01-09,78.13,130837.00,2.00,2236.05,27.89,25.04,30.36,,0.00
1982-01-10,78.13,130988.00,2.00,2236.13,25.78,20.84,31.06,,0.15
1982-01-11,102.33,131187.00,2.00,2236.22,35.11,29.24,39.60,,0.44
1982-01-12,127.54,131436.00,2.00,2236.25,33.50,29.94,36.94,,0.00
1982-01-13,154.26,131738.00,2.00,2236.28,38.55,36.52,39.88,,0.15
1982-01-14,296.43,132322.00,2.00,2236.49,38.20,36.52,39.74,,0.60
1982-01-15,270.71,132853.00,3.00,2236.64,34.06,27.98,37.08,,0.59
1982-01-16,217.77,133277.00,4.00,2236.90,27.66,24.76,35.40,,1.94
1982-01-17,190.05,133648.00,3.00,2236.97,31.90,29.94,34.00,,0.30
1982-01-18,190.05,134019.00,3.00,2237.06,30.13,23.22,36.94,,0.14
1982-01-19,190.55,134391.00,3.00,2237.11,25.98,21.40,40.02,,0.15
1982-01-20,189.05,134762.00,2.00,2237.21,25.72,23.36,29.10,,0.00
1982-01-21,226.86,135208.00,2.00,2237.23,24.91,22.52,28.68,,0.00
1982-01-22,620.61,136435.00,2.00,2237.51,22.98,22.10,25.18,,0.00
1982-01-23,899.41,138213.00,3.00,2238.04,38.53,22.80,47.03,,3.42
1982-01-24,1293.58,140751.00,14.00,2238.78,34.29,27.98,38.20,,0.74
1982-01-25,998.62,142700.00,16.00,2239.21,31.07,28.40,34.70,,0.00
1982-01-26,671.97,144013.00,10.00,2239.55,33.80,31.06,37.64,,0.30
1982-01-27,318.58,144631.00,7.00,2239.67,32.07,30.50,34.84,,0.00
1982-01-28,335.23,145286.00,5.00,2239.88,33.04,29.80,36.94,,0.30
1982-01-29,531.86,146333.00,4.00,2240.15,35.51,33.02,37.92,,0.15
1982-01-30,436.57,147189.00,5.00,2240.37,37.00,32.74,42.82,,0.44
1982-01-31,398.24,147967.00,6.00,2240.57,33.08,31.34,35.40,,0.30
1982-02-01,269.69,148492.00,5.00,2240.65,34.12,31.48,36.80,,0.30
1982-02-02,268.69,149017.00,4.00,2240.84,36.29,31.48,38.90,,0.14
1982-02-03,220.29,149446.00,4.00,2240.87,27.54,15.09,35.12,,0.00
1982-02-04,220.29,149875.00,4.00,2241.06,15.89,8.93,24.62,,0.00
1982-02-05,181.48,150229.00,3.00,2241.15,13.30,2.77,24.20,,0.00
1982-02-06,201.14,150622.00,3.00,2241.25,17.98,11.31,25.32,,0.00
1982-02-07,201.14,151015.00,3.00,2241.35,15.17,1.65,33.58,,0.00
1982-02-08,120.98,151251.00,2.00,2241.41,16.92,6.83,27.70,,0.00
1982-02-09,150.23,151545.00,2.00,2241.46,13.81,4.31,26.30,,0.00
1982-02-10,150.73,151840.00,2.00,2241.56,15.37,3.61,25.88,,0.00
1982-02-11,180.48,152194.00,2.00,2241.65,19.77,14.39,24.20,,0.59
1982-02-12,181.99,152551.00,2.00,2241.71,27.04,19.01,33.72,,0.45
1982-02-13,384.16,153309.00,2.00,2241.80,32.42,30.92,45.49,,2.38
1982-02-14,919.04,155118.00,7.00,2242.39,41.03,34.84,46.05,,1.19
1982-02-15,2448.12,159946.00,14.00,2243.60,35.73,33.02,38.90,,0.59
1982-02-16,1541.12,162975.00,14.00,2244.32,39.25,34.00,42.96,,1.04
1982-02-17,1667.16,166254.00,14.00,2245.16,36.21,29.66,42.12,,0.44
1982-02-18,1024.35,168258.00,14.00,2245.65,30.30,27.56,31.34,,1.04
1982-02-19,1085.35,170383.00,14.00,2246.08,34.78,31.20,45.21,,0.45
1982-02-20,1449.88,173233.00,13.00,2246.86,36.45,32.32,48.01,,1.64
1982-02-21,1198.80,175585.00,13.00,2247.45,30.69,22.10,37.36,,0.00
1982-02-22,999.66,177544.00,12.00,2247.90,23.58,18.59,29.94,,0.00
1982-02-23,499.03,178512.00,11.00,2248.16,25.71,20.56,29.66,,0.15
1982-02-24,380.55,179245.00,11.00,2248.38,28.05,22.24,34.42,,0.00
1982-02-25,437.54,180095.00,9.00,2248.64,31.22,24.48,41.00,,0.00
1982-02-26,438.05,180946.00,9.00,2248.76,31.62,27.28,37.36,,0.00
1982-02-27,436.54,181796.00,8.00,2248.91,33.62,26.02,40.58,,0.15
1982-02-28,435.05,182647.00,6.00,2248.98,33.68,21.82,47.73,,0.00
1982-03-01,373.05,183379.00,4.00,2249.32,35.35,32.18,40.30,,0.29
1982-03-02,254.57,183876.00,4.00,2249.41,33.67,30.22,39.74,,0.00
1982-03-03,215.25,184297.00,3.00,2249.51,32.82,30.92,39.46,,0.30
1982-03-04,236.43,184760.00,3.00,2249.59,34.80,30.92,39.74,,0.00
1982-03-05,236.43,185223.00,3.00,2249.73,34.30,26.16,41.28,,0.00
1982-03-06,236.43,185686.00,3.00,2249.84,33.75,23.50,48.01,,0.00
1982-03-07,236.43,186149.00,3.00,2249.87,35.92,23.64,52.35,,0.00
1982-03-08,383.65,186904.00,3.00,2249.91,34.43,22.80,48.43,,0.00
1982-03-09,695.70,188272.00,6.00,2250.45,41.35,34.00,45.91,,1.19
1982-03-10,781.38,189802.00,10.00,2250.81,39.38,31.34,49.83,,0.15
1982-03-11,760.71,191293.00,9.00,2251.16,30.74,28.12,34.98,,0.45
1982-03-12,567.63,192403.00,8.00,2251.42,31.29,28.12,33.58,,0.44
1982-03-13,589.30,193556.00,8.00,2251.69,34.33,31.34,40.72,,0.60
1982-03-14,437.56,194410.00,7.00,2251.89,33.64,28.96,38.34,,0.00
1982-03-15,351.35,195095.00,6.00,2252.05,29.91,22.66,36.38,,0.00
1982-03-16,264.65,195610.00,5.00,2252.17,29.19,15.23,45.63,,0.00
1982-03-17,287.33,196170.00,5.00,2252.30,32.42,18.45,45.21,,0.00
1982-03-18,294.39,196744.00,5.00,2252.46,36.01,23.64,46.19,,0.00
1982-03-19,292.89,197317.00,4.00,2252.18,35.16,29.94,39.46,,0.00
1982-03-20,293.39,197891.00,4.00,2252.25,35.64,27.42,42.82,,0.00
1982-03-21,293.39,198465.00,4.00,2252.31,35.95,23.64,51.65,,0.00
1982-03-22,292.89,199038.00,4.00,2252.93,37.88,23.22,52.77,,0.00
1982-03-23,275.75,199577.00,4.00,2253.10,40.99,28.82,49.55,,0.00
1982-03-24,240.45,200044.00,5.00,2253.14,37.87,25.18,50.81,,0.00
1982-03-25,238.93,200508.00,5.00,2253.30,38.68,24.20,57.67,,0.00
1982-03-26,272.21,201038.00,5.00,2253.38,38.53,33.16,47.73,,0.00
1982-03-27,288.84,201599.00,6.00,2253.56,34.65,26.44,43.66,,0.00
1982-03-28,288.84,202160.00,6.00,2253.69,32.41,27.98,37.36,,0.15
1982-03-29,136.08,202420.00,5.00,2253.75,30.88,25.18,40.30,,0.00
1982-03-30,200.62,202808.00,5.00,2253.84,32.25,25.32,42.96,,0.15
1982-03-31,207.68,203210.00,5.00,2254.03,30.77,24.48,37.36,,0.00
1982-04-01,207.68,203612.00,5.00,2254.10,32.04,21.12,43.80,,0.14
1982-04-02,207.68,204014.00,5.00,2254.15,33.53,30.08,36.24,,0.00
1982-04-03,207.68,204416.00,5.00,2254.29,33.48,29.38,36.24,,0.00
1982-04-04,207.68,204818.00,5.00,2254.30,34.82,29.94,42.40,,0.00
1982-04-05,207.68,205220.00,5.00,2254.50,33.98,24.62,45.63,,0.15
1982-04-06,207.68,205622.00,5.00,2254.53,35.23,25.46,44.65,,0.00
1982-04-07,207.68,206024.00,5.00,2254.54,33.19,25.60,47.45,,0.00
1982-04-08,207.68,206426.00,5.00,2254.68,34.48,22.10,45.35,,0.00
1982-04-09,207.68,206828.00,5.00,2254.70,39.20,24.90,55.29,,0.00
1982-04-10,207.68,207230.00,5.00,2254.74,40.70,25.88,54.45,,0.15
1982-04-11,209.68,207632.00,7.00,2254.95,39.18,35.83,43.81,,0.75
1982-04-12,359.91,208330.00,8.00,2255.11,40.12,34.99,44.93,,0.00
1982-04-13,560.05,209423.00,9.00,2255.36,35.91,30.08,38.91,,0.14
1982-04-14,360.41,210122.00,8.00,2255.52,30.55,24.76,38.35,,0.15
1982-04-15,304.46,210712.00,7.00,2255.62,33.92,30.64,38.35,,0.15
1982-04-16,304.46,211302.00,7.00,2255.79,36.30,25.88,43.53,,0.00
1982-04-17,294.38,211872.00,7.00,2255.95,33.61,37.65,37.65,,0.00
1982-04-18,293.87,212441.00,7.00,2256.01,31.49,35.69,35.69,,0.15
1982-04-19,294.38,213011.00,7.00,2256.18,34.78,51.51,51.51,,0.15
1982-04-20,273.20,213539.00,7.00,2256.21,38.95,54.59,54.59,,0.00
1982-04-21,273.20,214067.00,7.00,2256.42,43.80,63.14,63.14,,0.00
1982-04-22,241.43,214530.00,8.00,2256.48,43.97,71.82,71.82,,0.00
1982-04-23,240.93,214992.00,8.00,2256.63,42.97,52.21,52.21,,0.00
1982-04-24,268.65,215509.00,8.00,2256.73,42.59,46.47,46.47,,0.00
1982-04-25,345.79,216179.00,8.00,2256.90,37.59,59.50,59.50,,0.00
1982-04-26,497.55,217150.00,8.00,2257.12,40.05,58.24,58.24,,0.15
1982-04-27,531.83,218189.00,8.00,2257.32,40.32,58.52,58.52,,0.00
1982-04-28,532.33,219227.00,9.00,2257.65,45.62,40.59,40.59,,0.29
1982-04-29,533.83,220266.00,10.00,2257.84,37.78,30.50,47.17,,0.00
1982-04-30,533.83,221305.00,10.00,2258.04,38.62,29.38,57.39,,0.00
1982-05-01,532.83,222344.00,9.00,2258.11,44.80,33.03,56.13,,0.00
1982-05-02,532.33,223382.00,9.00,2258.47,40.69,32.89,48.15,,0.15
1982-05-03,533.83,224421.00,10.00,2258.76,33.75,31.34,37.37,,0.75
1982-05-04,482.40,225356.00,11.00,2258.97,38.52,31.90,44.65,,0.15
1982-05-05,415.35,226160.00,10.00,2259.15,44.77,29.80,56.41,,0.00
1982-05-06,483.41,227099.00,10.00,2259.36,49.41,39.88,56.13,,0.00
