date,af,fb,qd,qu,mm,mn,mx,pc,pp,sp
1982-01-01,61108.00,2470.15,45.00,72.23,22.63,15.65,29.94,,0.15,
1982-01-02,61164.00,2470.16,45.00,73.23,19.12,15.09,23.50,,0.30,
1982-01-03,61242.00,2470.20,45.00,84.33,22.52,18.31,25.88,,0.59,
1982-01-04,61340.00,2470.21,45.00,94.41,20.34,18.31,22.10,,0.14,
1982-01-05,61438.00,2470.22,45.00,94.41,11.89,-2.96,18.31,,0.45,
1982-01-06,61532.00,2470.22,66.00,113.39,3.64,-12.07,19.16,,0.00,
1982-01-07,61807.00,2470.68,92.00,230.65,14.41,1.79,29.55,,0.45,
1982-01-08,62011.00,2470.81,92.00,194.85,32.17,25.06,26.38,,0.44,
1982-01-09,62027.00,2470.82,92.00,100.07,27.33,21.26,35.54,,0.00,
1982-01-10,62105.00,2470.87,92.00,131.33,25.49,21.54,30.50,,0.30,
1982-01-11,62215.00,2470.94,92.00,147.46,31.87,26.58,37.92,,0.45,
1982-01-12,62278.00,2470.98,72.00,103.76,29.83,28.96,30.78,,0.00,
1982-01-13,62484.00,2471.11,45.00,148.86,34.35,30.78,26.38,,0.30,
1982-01-14,63073.00,2471.48,45.00,341.95,35.14,33.16,35.96,,1.04,
1982-01-15,63709.00,2471.88,46.00,366.65,30.88,26.16,33.58,,0.75,
1982-01-16,64415.00,2472.32,46.00,401.94,26.70,23.78,34.00,,2.23,
1982-01-17,64994.00,2472.68,46.00,337.91,29.71,28.12,31.62,,0.89,
1982-01-18,65220.00,2472.82,46.00,159.94,27.61,19.29,35.96,,0.30,
1982-01-19,65510.00,2473.00,32.00,178.21,23.02,14.81,31.06,,0.00,
1982-01-20,65845.00,2473.16,0.00,168.90,23.80,22.38,27.56,,0.00,
1982-01-21,66331.00,2473.20,0.00,245.03,21.24,15.23,25.74,,0.15,
1982-01-22,67764.00,2473.20,0.00,722.47,20.92,20.28,22.52,,0.00,
1982-01-23,69981.00,2475.09,1.00,1118.74,36.00,20.84,42.82,,5.65,
1982-01-24,74673.00,2478.47,6.00,2371.55,31.54,25.88,36.10,,0.60,
1982-01-25,76552.00,2479.55,2.00,949.33,29.05,26.44,30.50,,0.15,
1982-01-26,77729.00,2480.22,1.00,594.40,31.32,29.52,34.42,,0.89,
1982-01-27,78950.00,2480.91,1.00,616.59,30.35,27.84,32.46,,0.30,
1982-01-28,79614.00,2481.18,1.00,335.77,30.35,27.84,32.46,,0.00,
1982-01-29,80398.00,2481.72,1.00,396.27,32.00,29.52,34.70,,0.74,
1982-01-30,81336.00,2482.24,1.00,473.91,32.91,29.66,36.80,,1.04,
1982-01-31,82101.00,2482.66,1.00,386.69,30.38,29.10,31.90,,0.45,
1982-02-01,82793.00,2483.04,1.00,349.88,30.66,29.10,32.74,,0.59,
1982-02-02,83364.00,2483.35,1.00,288.88,32.72,29.80,34.70,,0.15,
1982-02-03,83880.00,2483.60,1.00,261.15,25.21,11.03,32.32,,0.00,
1982-02-04,84467.00,2483.95,1.00,296.95,13.49,4.45,21.54,,0.00,
1982-02-05,84836.00,2484.14,1.00,187.04,11.78,0.39,22.94,,0.00,
1982-02-06,85233.00,2484.36,1.00,201.15,15.87,4.17,25.60,,0.00,
1982-02-07,85588.00,2484.55,1.00,179.98,9.98,-3.67,26.86,,0.00,
1982-02-08,85906.00,2484.72,1.00,161.33,14.87,5.43,25.74,,0.00,
1982-02-09,86411.00,2484.99,1.00,255.60,7.92,-3.81,25.32,,0.00,
1982-02-10,87144.00,2485.38,1.00,370.55,10.65,-4.64,25.74,,0.00,
1982-02-11,87770.00,2485.70,1.00,316.61,17.81,14.53,20.70,,0.15,
1982-02-12,88443.00,2486.07,0.00,339.30,26.17,20.14,29.38,,1.33,
1982-02-13,90292.00,2486.44,0.00,932.20,31.06,29.38,42.96,,3.57,
1982-02-14,92901.00,2488.38,4.00,1319.37,37.31,30.50,41.42,,2.08,
1982-02-15,98493.00,2491.20,3.00,2822.30,33.85,30.92,37.08,,0.90,
1982-02-16,101893.00,2492.87,3.00,1717.17,35.45,29.66,40.16,,1.04,
1982-02-17,104439.00,2494.10,4.00,1287.61,32.27,26.16,36.24,,0.74,
1982-02-18,107016.00,2495.33,3.00,1302.24,27.74,25.04,28.82,,1.04,
1982-02-19,109562.00,2496.20,2.00,1285.61,33.75,28.82,42.26,,0.89,
1982-02-20,112581.00,2497.94,6.00,1528.08,34.12,29.38,45.35,,1.94,
1982-02-21,115505.00,2499.28,5.00,1479.18,27.09,16.21,32.60,,0.00,
1982-02-22,116979.00,2499.95,3.00,746.14,21.28,14.25,27.98,,0.00,
1982-02-23,117955.00,2500.39,2.00,494.07,22.33,17.89,26.72,,0.15,
1982-02-24,119265.00,2500.98,2.00,662.46,25.04,19.57,31.90,,0.15,
1982-02-25,120004.00,2501.31,2.00,374.58,29.57,21.54,37.08,,0.14,
1982-02-26,120698.00,2501.62,2.00,351.89,30.06,28.40,34.84,,0.15,
1982-02-27,121258.00,2501.87,2.00,284.33,27.91,18.45,37.50,,0.15,
1982-02-28,121838.00,2502.10,2.00,294.42,28.49,11.03,43.66,,0.00,
1982-03-01,122457.00,2502.40,2.00,314.08,32.73,27.56,37.92,,0.60,
1982-03-02,123002.00,2502.64,2.00,276.77,31.67,28.96,36.94,,0.00,
1982-03-03,123592.00,2502.90,1.00,298.46,30.49,28.54,35.26,,0.44,
1982-03-04,124071.00,2503.11,1.00,242.50,31.02,27.56,38.63,,0.15,
1982-03-05,124507.00,2503.30,1.00,220.82,29.60,22.38,37.22,,0.00,
1982-03-06,124919.00,2503.48,1.00,208.72,27.89,17.89,41.28,,0.00,
1982-03-07,125308.00,2503.65,1.00,197.12,30.50,17.89,48.57,,0.00,
1982-03-08,126194.00,2503.86,1.00,447.69,29.86,17.75,43.24,,0.30,
1982-03-09,127888.00,2504.77,3.00,857.06,37.01,30.64,40.44,,1.78,
1982-03-10,129701.00,2505.55,4.00,918.05,34.49,24.76,44.36,,0.45,
1982-03-11,131478.00,2506.31,3.00,898.90,27.88,24.90,33.72,,0.74,
1982-03-12,132652.00,2506.73,2.00,593.89,28.74,26.02,31.20,,0.30,
1982-03-13,133834.00,2507.31,2.00,597.93,32.42,29.52,39.04,,1.04,
1982-03-14,134593.00,2507.63,2.00,384.66,30.01,25.04,33.16,,0.00,
1982-03-15,135232.00,2507.90,2.00,324.16,25.08,17.19,32.88,,0.00,
1982-03-16,135805.00,2508.14,2.00,290.89,24.46,7.95,42.82,,0.00,
1982-03-17,136310.00,2508.35,2.00,256.60,26.82,12.57,43.24,,0.00,
1982-03-18,136790.00,2508.55,2.00,244.00,28.13,15.66,40.44,,0.15,
1982-03-19,137246.00,2508.74,2.00,231.90,28.93,19.01,35.68,,0.00,
1982-03-20,137629.00,2508.90,2.00,195.10,30.78,23.50,37.64,,0.15,
1982-03-21,138039.00,2509.07,1.00,207.71,30.00,18.03,44.22,,0.00,
1982-03-22,138426.00,2509.23,1.00,196.11,31.60,19.57,45.07,,0.00,
1982-03-23,138837.00,2509.40,1.00,208.21,39.27,22.80,43.66,,0.15,
1982-03-24,139273.00,2509.58,1.00,220.82,34.66,21.54,49.55,,0.00,
1982-03-25,139733.00,2509.77,1.00,232.92,34.95,20.42,52.63,,0.00,
1982-03-26,140265.00,2509.99,1.00,269.22,33.82,28.96,41.00,,0.00,
1982-03-27,140802.00,2510.21,2.00,272.74,30.28,20.56,40.86,,0.00,
1982-03-28,141290.00,2510.41,1.00,247.03,28.70,22.10,34.00,,0.30,
1982-03-29,141705.00,2510.58,1.00,210.23,27.00,21.40,36.52,,0.00,
1982-03-30,142144.00,2510.76,1.00,222.33,29.10,22.94,40.16,,0.29,
1982-03-31,142534.00,2510.92,1.00,197.63,26.54,17.75,33.58,,0.15,
1982-04-01,142902.00,2511.07,1.00,186.53,27.59,16.21,42.54,,0.00,
1982-04-02,143246.00,2511.21,1.00,174.43,30.31,26.30,34.56,,0.00,
1982-04-03,143615.00,2511.36,1.00,187.04,29.72,25.88,32.60,,0.30,
1982-04-04,143907.00,2511.43,1.00,148.22,29.98,26.16,34.56,,0.00,
1982-04-05,144279.00,2511.63,1.00,188.55,29.75,13.69,43.94,,0.30,
1982-04-06,144550.00,2511.74,1.00,137.63,28.82,19.72,39.89,,0.00,
1982-04-07,144821.00,2511.85,1.00,137.63,26.19,17.62,38.21,,0.00,
1982-04-08,145042.00,2511.94,1.00,112.42,28.64,14.82,40.87,,0.00,
1982-04-09,145338.00,2512.06,1.00,150.23,34.58,18.18,53.47,,0.30,
1982-04-10,145735.00,2512.22,1.00,201.15,35.79,20.56,48.85,,0.15,
1982-04-11,146479.00,2512.52,1.00,376.10,34.94,31.06,40.31,,0.44,
1982-04-12,147446.00,2512.91,2.00,489.53,34.50,29.80,40.59,,0.15,
1982-04-13,148345.00,2513.27,2.00,455.25,30.49,20.14,35.27,,0.30,
1982-04-14,148970.00,2513.52,68.00,383.10,26.51,19.86,32.75,,0.30,
1982-04-15,149219.00,2513.62,201.00,326.54,29.74,26.30,34.15,,0.44,
1982-04-16,149344.00,2513.67,202.00,265.02,30.85,19.02,38.21,,0.30,
1982-04-17,149545.00,2513.75,202.00,303.34,29.40,26.16,33.31,,0.00,
1982-04-18,149595.00,2513.77,203.00,228.21,27.39,19.02,33.45,,0.00,
1982-04-19,149569.00,2513.76,203.00,189.89,31.62,11.32,47.45,,0.44,
1982-04-20,149545.00,2513.75,204.00,191.90,34.85,16.36,51.09,,0.00,
1982-04-21,149569.00,2513.76,204.00,216.10,38.07,20.28,59.50,,0.15,
1982-04-22,149769.00,2513.84,205.00,305.83,36.90,20.98,57.54,,0.00,
1982-04-23,150195.00,2514.01,207.00,421.78,38.33,30.08,68.04,,0.00,
1982-04-24,150623.00,2514.18,209.00,424.78,32.55,22.52,40.03,,0.00,
1982-04-25,150951.00,2514.31,209.00,374.37,35.00,18.04,54.45,,0.15,
1982-04-26,151329.00,2514.46,210.00,400.58,34.89,21.68,49.69,,0.00,
1982-04-27,151858.00,2514.67,210.00,476.70,37.68,26.30,49.69,,0.00,
1982-04-28,152690.00,2515.00,211.00,630.47,33.46,30.08,36.39,,0.30,
