date,fb,id,af,qt
1982-01-01,2.67,,5728.06,
1982-01-02,2.71,,5818.67,
1982-01-03,2.66,,5705.44,
1982-01-04,2.72,,5841.35,
1982-01-05,2.74,,5886.73,
1982-01-06,2.64,,5660.22,
1982-01-07,2.64,,5660.00,
1982-01-08,2.94,,6342.70,
1982-01-09,2.95,,6365.59,
1982-01-10,2.95,,6365.59,
1982-01-11,2.95,,6365.59,
1982-01-12,2.95,,6365.59,
1982-01-13,2.94,,6342.70,
1982-01-14,2.93,,6319.81,
1982-01-15,2.93,,6319.81,
1982-01-16,2.93,,6319.81,
1982-01-17,2.94,,6342.70,
1982-01-18,2.95,,6365.59,
1982-01-19,2.93,,6319.81,
1982-01-20,2.89,,6228.36,
1982-01-21,2.83,,6091.46,
1982-01-22,2.85,,6137.05,
1982-01-23,2.93,,6319.81,
1982-01-24,2.95,,6365.59,
1982-01-25,2.94,,6342.70,
1982-01-26,2.93,,6319.81,
1982-01-27,2.95,,6365.59,
1982-01-28,2.92,,6296.94,
1982-01-29,2.90,,6251.21,
1982-01-30,2.88,,6205.52,
1982-01-31,2.83,,6091.46,
1982-02-01,2.90,,6251.21,
1982-02-02,2.97,,6411.40,
1982-02-03,2.89,,6228.36,
1982-02-04,2.94,,6342.70,
1982-02-05,3.38,,7347.35,
1982-02-06,3.30,,7163.20,
1982-02-07,3.38,,7347.35,
1982-02-08,3.40,,7393.51,
1982-02-09,3.34,,7255.17,
1982-02-10,3.39,,7370.42,
1982-02-11,3.35,,7278.20,
1982-02-12,3.40,,7393.51,
1982-02-13,3.42,,7439.72,
1982-02-14,3.54,,7718.01,
1982-02-15,3.64,,7951.23,
1982-02-16,3.74,,8185.59,
1982-02-17,3.34,,7255.17,
1982-02-18,3.05,,6593.16,
1982-02-19,3.00,,6480.17,
1982-02-20,3.03,,6547.92,
1982-02-21,3.01,,6502.74,
1982-02-22,3.09,,6683.80,
1982-02-23,2.97,,6411.40,
1982-02-24,2.99,,6457.24,
1982-02-25,2.90,,6251.21,
1982-02-26,2.88,,6205.52,
1982-02-27,2.89,,6228.36,
1982-02-28,2.90,,6251.21,
1982-03-01,2.89,,6228.36,
1982-03-02,2.91,,6274.07,
1982-03-03,2.88,,6205.52,
1982-03-04,2.70,,5796.00,
1982-03-05,2.73,,5864.03,
1982-03-06,3.00,,6480.17,
1982-03-07,3.03,,6547.92,
1982-03-08,3.01,,6502.74,
1982-03-09,3.22,,6979.88,
1982-03-10,3.23,,7002.75,
1982-03-11,3.11,,6729.20,
1982-03-12,3.29,,7140.24,
1982-03-13,3.37,,7324.28,
1982-03-14,3.35,,7278.20,
1982-03-15,3.41,,7416.60,
1982-03-16,3.44,,7485.98,
1982-03-17,3.67,,8021.42,
1982-03-18,3.52,,7671.51,
1982-03-19,3.57,,7787.85,
1982-03-20,3.62,,7904.49,
1982-03-21,3.54,,7718.01,
1982-03-22,3.22,,6979.88,
1982-03-23,2.30,,4898.89,
1982-03-24,2.32,,4943.26,
1982-03-25,2.35,,5009.91,
1982-03-26,2.78,,5977.62,
1982-03-27,5.84,,14753.57,
1982-03-28,6.68,,14603.50,
1982-03-29,7.65,,17827.64,
1982-03-30,8.14,,19536.95,
1982-03-31,8.16,,19605.73,
1982-04-01,7.99,,19026.71,
1982-04-02,8.19,,19709.32,
1982-04-03,8.68,,21489.29,
1982-04-04,9.10,,23088.27,
1982-04-05,9.42,,24322.79,
1982-04-06,9.49,,24595.65,
1982-04-07,9.43,,24361.70,
1982-04-08,9.73,,25552.01,
1982-04-09,9.97,,26496.41,
1982-04-10,9.73,,25552.01,
1982-04-11,9.57,,24915.09,
1982-04-12,10.03,,26726.06,
1982-04-13,9.95,,26418.24,
1982-04-14,9.60,,25034.95,
1982-04-15,10.04,,26763.66,
1982-04-16,10.05,,26801.29,
1982-04-17,9.93,,26339.96,
1982-04-18,10.18,,27293.60,
