date,qt,id,mm,mx,mn,fb,af
1982-01-01,,,,,,4239.76,37470.00
1982-01-02,,,,,,4239.76,37470.00
1982-01-03,,,,,,4239.76,37470.00
1982-01-04,,,,,,4239.76,37470.00
1982-01-05,,,,,,4239.78,37680.00
1982-01-06,,,,,,4239.77,37570.00
1982-01-07,,,,,,4239.74,37260.00
1982-01-08,,,,,,4239.70,36851.03
1982-01-09,,,,,,4239.67,36540.00
1982-01-10,,,,,,4239.63,36120.00
1982-01-11,,,,,,4239.60,35813.01
1982-01-12,,,,,,4239.58,35605.41
1982-01-13,,,,,,4239.55,35291.48
1982-01-14,,,,,,4239.53,35090.00
1982-01-15,,,,,,4239.52,34980.00
1982-01-16,,,,,,4239.47,34460.00
1982-01-17,,,,,,4239.44,34150.00
1982-01-18,,,,,,4239.43,34050.92
1982-01-19,,,,,,4239.40,33736.99
1982-01-20,,,,,,4239.37,33428.12
1982-01-21,,,,,,4239.33,33012.91
1982-01-22,,,,,,4239.32,32906.58
1982-01-23,,,,,,4239.28,32490.00
1982-01-24,,,,,,4239.26,32290.00
1982-01-25,,,,,,4239.26,32283.77
1982-01-26,,,,,,4239.23,31974.90
1982-01-27,,,,,,4239.21,31767.29
1982-01-28,,,,,,4239.16,31250.82
1982-01-29,,,,,,4239.19,31559.69
1982-01-30,,,,,,4239.15,31150.00
1982-01-31,,,,,,4239.14,31040.00
1982-02-01,,,,,,4239.14,31043.22
1982-02-02,,,,,,4239.10,30628.01
1982-02-03,,,,,,4239.11,30729.28
1982-02-04,,,,,,4239.10,30628.01
1982-02-05,,,,,,4239.10,30628.01
1982-02-06,,,,,,4239.11,30730.00
1982-02-07,,,,,,4239.11,30730.00
1982-02-08,,,,,,4239.13,30936.88
1982-02-09,,,,,,4239.15,31144.49
1982-02-10,,,,,,4239.16,31250.82
1982-02-11,,,,,,4239.16,31250.82
1982-02-12,,,,,,4239.17,31352.09
1982-02-13,,,,,,4239.18,31460.00
1982-02-14,,,,,,4239.20,31660.00
1982-02-15,,,,,,4239.33,33010.00
