date,qu,qt,fb,mm,mx,mn,qd,af
1982-01-01,625.73,2.00,2640.26,,41.40,13.88,2.00,382956.84
1982-01-02,771.36,2.00,2640.42,,34.87,9.55,2.00,384482.84
1982-01-03,1065.10,2.00,2640.64,,43.05,26.77,2.00,386591.47
1982-01-04,50.51,2.00,2640.65,,44.15,24.26,2.00,386687.69
1982-01-05,584.98,1.80,2640.77,,37.07,19.85,1.80,387844.41
1982-01-06,536.61,1.80,2640.88,,25.28,3.66,1.80,388905.19
1982-01-07,99.62,1.80,2640.90,,15.45,0.59,1.80,389099.22
1982-01-08,784.61,1.80,2641.06,,22.05,7.98,1.80,390651.91
1982-01-09,589.45,1.80,2641.18,,25.12,3.03,1.80,391817.50
1982-01-10,297.06,1.80,2641.24,,23.63,1.22,1.80,392403.13
1982-01-11,445.67,1.80,2641.33,,32.67,4.76,1.80,393283.53
1982-01-12,593.51,1.90,2641.45,,44.15,12.70,1.90,394456.97
1982-01-13,597.29,2.20,2641.57,,49.18,23.47,2.20,395637.31
1982-01-14,896.58,2.40,2641.75,,47.21,22.61,2.40,397410.88
1982-01-15,650.82,2.40,2641.88,,47.61,37.78,2.40,398697.00
1982-01-16,553.33,2.40,2641.99,,49.02,32.20,2.40,399789.75
1982-01-17,686.71,2.40,2642.13,,48.71,37.15,2.40,401147.06
1982-01-18,786.81,2.40,2642.29,,48.24,33.69,2.40,402702.91
1982-01-19,788.47,2.00,2642.45,,40.29,20.48,2.00,404262.84
1982-01-20,594.53,1.80,2642.57,,30.15,14.74,1.80,405438.50
1982-01-21,743.92,1.80,2642.72,,35.11,16.47,1.80,406910.47
1982-01-22,648.25,1.80,2642.85,,35.73,27.64,1.80,408192.69
1982-01-23,699.14,2.00,2642.99,,51.07,35.42,2.00,409575.44
1982-01-24,452.67,2.40,2643.08,,50.67,34.56,2.40,410468.53
1982-01-25,703.21,2.20,2643.22,,40.14,32.04,2.20,411858.97
1982-01-26,957.79,2.10,2643.41,,49.49,32.35,2.10,413754.56
1982-01-27,406.13,2.10,2643.49,,46.43,32.35,2.10,414555.94
1982-01-28,913.40,2.10,2643.67,,37.15,30.86,2.10,416363.47
1982-01-29,765.41,2.10,2643.82,,44.85,29.84,2.10,417877.47
1982-01-30,562.42,2.10,2643.93,,49.81,31.25,2.10,418988.84
1982-01-31,759.11,2.10,2644.08,,46.11,29.68,2.10,420490.34
1982-02-01,600.37,2.10,2644.20,,44.78,31.96,2.10,421677.00
1982-02-02,754.09,2.00,2644.35,,46.19,31.33,2.00,423168.75
1982-02-03,503.53,1.80,2644.45,,39.51,23.71,1.80,424163.91
1982-02-04,656.96,1.70,2644.58,,28.03,12.54,1.70,425463.59
1982-02-05,354.05,1.70,2644.65,,27.01,7.20,1.70,426162.47
1982-02-06,710.81,1.70,2644.79,,21.43,6.80,1.70,427568.97
1982-02-07,306.58,1.70,2644.85,,32.20,11.83,1.70,428173.69
1982-02-08,509.14,1.70,2644.95,,27.09,6.80,1.70,429180.19
1982-02-09,358.57,1.70,2645.02,,30.94,12.07,1.70,429888.03
1982-02-10,410.11,1.70,2645.10,,24.10,7.27,1.70,430698.09
1982-02-11,563.42,1.70,2645.21,,26.06,6.88,1.70,431812.25
1982-02-12,617.53,1.90,2645.33,,35.58,11.99,1.90,433033.34
1982-02-13,618.74,2.20,2645.45,,32.12,19.62,2.20,434256.22
1982-02-14,1344.87,2.40,2645.71,,57.12,30.78,2.40,436918.97
1982-02-15,3755.47,2.80,2646.44,,52.17,35.26,2.80,444362.28
1982-02-16,11488.65,3.10,2648.64,,57.59,40.53,3.10,467143.53
1982-02-17,17956.77,3.40,2651.98,,56.57,38.17,3.40,502753.50
1982-02-18,17589.38,7.00,2655.16,,48.86,34.08,7.00,537627.63
1982-02-19,13617.22,13.00,2657.55,,62.31,39.74,13.00,564611.19
1982-02-20,14593.36,83.00,2660.04,,58.06,40.06,83.00,593392.06
1982-02-21,16644.16,1300.00,2662.62,,57.91,36.84,1300.00,623826.75
1982-02-22,19161.15,5410.00,2664.88,,55.31,29.84,5410.00,651101.75
1982-02-23,16763.69,7530.00,2666.37,,44.93,29.13,7530.00,669416.50
1982-02-24,10770.59,7350.00,2666.92,,42.42,23.71,7350.00,676201.13
1982-02-25,6463.95,7400.00,2666.77,,48.16,23.23,7400.00,674344.50
