date,qu,mm,mx,mn,qd
1982-01-01,2612.56,,26.54,12.78,1070.00
1982-01-02,2897.16,,15.84,6.88,1070.00
1982-01-03,2303.26,,19.15,12.31,1070.00
1982-01-04,2583.76,,30.47,19.07,1070.00
1982-01-05,2502.19,,30.47,5.47,1110.00
1982-01-06,2775.28,,9.55,-13.48,1350.00
1982-01-07,2012.37,,2.48,-13.48,1590.00
1982-01-08,1675.90,,21.50,-3.26,2520.00
1982-01-09,2558.90,,21.43,5.39,3010.00
1982-01-10,2522.37,,22.68,6.57,1850.00
1982-01-11,2312.84,,21.58,12.23,1690.00
1982-01-12,2410.60,,17.89,2.24,1680.00
1982-01-13,2264.11,,24.81,12.93,1600.00
1982-01-14,2622.99,,29.45,24.41,1240.00
1982-01-15,2747.34,,32.59,16.94,1080.00
1982-01-16,3289.99,,34.56,23.78,1060.00
1982-01-17,2683.67,,39.35,31.80,1060.00
1982-01-18,3055.11,,35.66,22.45,1060.00
1982-01-19,2591.22,,26.93,13.17,1060.00
1982-01-20,2555.15,,20.17,6.65,1070.00
1982-01-21,2604.10,,28.82,16.79,1200.00
1982-01-22,2438.06,,19.77,9.95,1070.00
1982-01-23,2783.83,,34.87,15.53,1050.00
1982-01-24,2776.60,,41.16,17.81,1040.00
1982-01-25,3145.00,,30.00,14.27,1050.00
1982-01-26,2392.85,,49.18,22.53,1050.00
1982-01-27,2665.62,,35.81,16.55,1040.00
1982-01-28,2584.12,,27.48,13.25,1050.00
1982-01-29,2228.95,,23.86,13.80,1040.00
1982-01-30,2361.53,,26.77,15.45,1050.00
1982-01-31,2402.26,,29.21,15.77,1040.00
1982-02-01,3174.08,,19.62,1.22,1040.00
1982-02-02,2179.04,,22.45,12.93,1040.00
1982-02-03,2373.84,,20.95,-12.22,1040.00
1982-02-04,2330.42,,1.85,-23.15,1040.00
1982-02-05,1725.59,,-3.58,-26.14,1450.00
1982-02-06,1390.02,,1.69,-24.41,1410.00
1982-02-07,2355.45,,15.21,0.59,1280.00
1982-02-08,2384.32,,9.08,-6.88,1710.00
1982-02-09,1933.61,,14.04,-8.37,1550.00
1982-02-10,2374.03,,10.89,-11.99,1350.00
1982-02-11,1914.58,,11.83,-13.64,1300.00
1982-02-12,2499.60,,27.56,-3.02,1300.00
1982-02-13,2398.72,,36.13,14.82,1230.00
1982-02-14,2993.61,,38.25,30.62,1180.00
1982-02-15,3200.56,,38.17,34.71,1250.00
1982-02-16,4124.47,,46.35,35.34,1240.00
1982-02-17,3888.47,,40.06,32.20,1170.00
1982-02-18,3031.70,,41.32,27.64,1170.00
1982-02-19,3006.58,,36.05,29.60,1590.00
1982-02-20,2470.91,,45.25,33.77,2020.00
1982-02-21,2789.68,,53.90,35.58,2050.00
1982-02-22,3710.35,,42.81,31.25,2050.00
1982-02-23,2909.42,,32.12,12.62,2050.00
1982-02-24,2610.65,,26.38,-0.19,1980.00
1982-02-25,2453.97,,33.45,7.35,2510.00
1982-02-26,2489.12,,43.05,15.53,2550.00
1982-02-27,2849.52,,43.83,30.31,2560.00
1982-02-28,2369.00,,45.40,22.21,2550.00
1982-03-01,2982.12,,47.37,30.78,3270.00
1982-03-02,2637.57,,44.46,28.74,3280.00
1982-03-03,2897.72,,37.46,26.69,3990.00
1982-03-04,2843.21,,34.63,24.73,5540.00
1982-03-05,2823.25,,33.61,21.66,6680.00
1982-03-06,2237.47,,35.03,18.91,6650.00
1982-03-07,2735.57,,37.54,26.61,6810.00
1982-03-08,2585.80,,38.96,16.47,6860.00
1982-03-09,3004.85,,47.53,33.61,6910.00
1982-03-10,3344.64,,48.86,35.42,6980.00
1982-03-11,2409.97,,40.92,25.75,6860.00
1982-03-12,2374.39,,30.47,14.51,6910.00
1982-03-13,3104.42,,42.02,11.05,6880.00
1982-03-14,2788.16,,38.33,23.94,6890.00
1982-03-15,2977.08,,37.46,30.70,6990.00
1982-03-16,3181.42,,38.17,28.19,6950.00
1982-03-17,2513.90,,42.34,27.24,7570.00
1982-03-18,2716.35,,47.53,29.60,9170.00
1982-03-19,3225.89,,31.80,24.49,9190.00
1982-03-20,2873.40,,30.23,16.79,9170.00
1982-03-21,2925.22,,33.30,11.21,9160.00
1982-03-22,2240.52,,34.08,9.71,9150.00
1982-03-23,2599.17,,38.96,22.21,9150.00
1982-03-24,2788.66,,42.42,29.21,7650.00
1982-03-25,2420.95,,48.79,22.29,9690.00
1982-03-26,2871.81,,46.19,33.61,10400.00
1982-03-27,2688.37,,43.91,32.59,13000.00
1982-03-28,2598.83,,49.18,33.14,13800.00
1982-03-29,3196.06,,33.14,21.98,13900.00
1982-03-30,2937.12,,34.79,16.08,13800.00
1982-03-31,3259.56,,42.97,26.38,13900.00
1982-04-01,2673.10,,45.33,24.89,13800.00
1982-04-02,3736.40,,37.39,24.26,13900.00
1982-04-03,2898.56,,43.20,28.74,13800.00
1982-04-04,2836.69,,36.76,22.76,13900.00
1982-04-05,3366.04,,36.13,10.81,11600.00
1982-04-06,2948.36,,36.44,24.49,8470.00
1982-04-07,2573.85,,31.80,19.70,8460.00
1982-04-08,2951.87,,35.66,19.30,8510.00
1982-04-09,2704.09,,37.31,20.56,8470.00
