date,qu,mm,mx,mn,qd
1982-01-01,166.10,,,,336.00
1982-01-02,146.45,,,,334.00
1982-01-03,206.92,,,,338.00
1982-01-04,206.42,,,,337.00
1982-01-05,153.00,,,,334.00
1982-01-06,136.90,,,,331.00
1982-01-07,117.75,,,,330.00
1982-01-08,112.72,,,,328.00
1982-01-09,93.58,,,,326.00
1982-01-10,74.44,,,,324.00
1982-01-11,-33.68,,,,169.00
1982-01-12,93.11,,,,80.00
1982-01-13,73.61,,,,60.00
1982-01-14,108.48,,,,50.00
1982-01-15,108.99,,,,50.00
1982-01-16,182.08,,,,51.00
1982-01-17,723.05,,,,52.00
1982-01-18,789.20,,,,99.00
1982-01-19,581.84,,,,178.00
1982-01-20,394.02,,,,210.00
1982-01-21,303.78,,,,209.00
1982-01-22,262.93,,,,211.00
1982-01-23,645.51,,,,221.00
1982-01-24,1302.88,,,,228.00
1982-01-25,969.66,,,,224.00
1982-01-26,658.61,,,,222.00
1982-01-27,652.06,,,,282.00
1982-01-28,489.66,,,,349.00
1982-01-29,416.50,,,,356.00
1982-01-30,339.88,,,,355.00
1982-01-31,286.46,,,,352.00
1982-02-01,269.84,,,,350.00
1982-02-02,218.42,,,,349.00
1982-02-03,202.80,,,,348.00
1982-02-04,181.64,,,,346.00
1982-02-05,47.94,,,,237.00
1982-02-06,119.38,,,,134.00
1982-02-07,127.04,,,,122.00
1982-02-08,100.54,,,,96.00
1982-02-09,116.79,,,,82.00
1982-02-10,111.75,,,,82.00
1982-02-11,98.13,,,,83.00
1982-02-12,146.53,,,,82.00
1982-02-13,143.00,,,,83.00
1982-02-14,569.01,,,,84.00
1982-02-15,631.51,,,,86.00
1982-02-16,849.80,,,,88.00
1982-02-17,825.73,,,,132.00
1982-02-18,593.95,,,,176.00
1982-02-19,819.14,,,,197.00
1982-02-20,1211.77,,,,332.00
1982-02-21,1290.38,,,,398.00
1982-02-22,782.78,,,,386.00
1982-02-23,697.69,,,,493.00
1982-02-24,634.36,,,,712.00
1982-02-25,449.67,,,,792.00
1982-02-26,431.37,,,,810.00
1982-02-27,535.11,,,,824.00
1982-02-28,220.04,,,,578.00
1982-03-01,379.41,,,,390.00
1982-03-02,538.85,,,,436.00
1982-03-03,538.68,,,,517.00
1982-03-04,541.45,,,,547.00
1982-03-05,404.42,,,,475.00
1982-03-06,369.47,,,,434.00
1982-03-07,274.02,,,,393.00
1982-03-08,206.61,,,,314.00
1982-03-09,298.72,,,,272.00
1982-03-10,278.68,,,,257.00
1982-03-11,340.25,,,,249.00
1982-03-12,286.95,,,,233.00
1982-03-13,306.72,,,,220.00
1982-03-14,311.76,,,,220.00
1982-03-15,263.36,,,,220.00
1982-03-16,215.13,,,,199.00
1982-03-17,200.18,,,,178.00
1982-03-18,175.68,,,,154.00
1982-03-19,148.68,,,,127.00
1982-03-20,158.36,,,,115.00
1982-03-21,143.23,,,,116.00
1982-03-22,125.68,,,,104.00
1982-03-23,116.23,,,,89.00
1982-03-24,116.27,,,,84.00
1982-03-25,116.77,,,,84.00
1982-03-26,91.64,,,,75.00
1982-03-27,111.90,,,,63.00
1982-03-28,117.45,,,,63.00
1982-03-29,128.54,,,,63.00
1982-03-30,112.41,,,,63.00
1982-03-31,139.63,,,,63.00
1982-04-01,145.18,,,,63.00
1982-04-02,146.18,,,,64.00
1982-04-03,491.83,,,,150.00
1982-04-04,338.14,,,,200.00
1982-04-05,242.55,,,,176.00
1982-04-06,240.64,,,,163.00
1982-04-07,185.82,,,,147.00
1982-04-08,183.87,,,,139.00
1982-04-09,153.28,,,,120.00
1982-04-10,160.91,,,,111.00
1982-04-11,231.33,,,,131.00
1982-04-12,233.74,,,,144.00
1982-04-13,432.40,,,,203.00
1982-04-14,600.42,,,,308.00
1982-04-15,557.09,,,,365.00
1982-04-16,458.30,,,,362.00
1982-04-17,364.55,,,,359.00
1982-04-18,286.67,,,,326.00
1982-04-19,209.08,,,,260.00
1982-04-20,194.45,,,,200.00
1982-04-21,146.00,,,,146.00
1982-04-22,190.01,,,,128.00
1982-04-23,174.38,,,,129.00
1982-04-24,168.83,,,,129.00
1982-04-25,151.69,,,,129.00
1982-04-26,140.09,,,,129.00
1982-04-27,116.45,,,,122.00
1982-04-28,114.55,,,,109.00
1982-04-29,116.69,,,,94.00
1982-04-30,93.74,,,,65.00
1982-05-01,107.92,,,,57.00
1982-05-02,101.87,,,,57.00
1982-05-03,124.93,,,,73.00
1982-05-04,88.55,,,,83.00
1982-05-05,83.00,,,,83.00
1982-05-06,89.05,,,,83.00
1982-05-07,76.95,,,,83.00
1982-05-08,77.45,,,,83.00
1982-05-09,77.45,,,,83.00
1982-05-10,53.40,,,,65.00
1982-05-11,63.55,,,,58.00
1982-05-12,65.05,,,,59.00
1982-05-13,63.55,,,,58.00
1982-05-14,68.55,,,,63.00
1982-05-15,55.86,,,,73.00
1982-05-16,61.91,,,,73.00
1982-05-17,61.40,,,,73.00
1982-05-18,50.31,,,,73.00
1982-05-19,51.31,,,,74.00
1982-05-20,51.31,,,,74.00
1982-05-21,45.26,,,,74.00
1982-05-22,40.22,,,,74.00
1982-05-23,39.72,,,,74.00
1982-05-24,40.22,,,,74.00
1982-05-25,39.72,,,,74.00
1982-05-26,28.62,,,,74.00
1982-05-27,35.67,,,,75.00
1982-05-28,40.72,,,,75.00
1982-05-29,35.67,,,,75.00
1982-05-30,34.17,,,,74.00
1982-05-31,29.13,,,,74.00
1982-06-01,28.62,,,,74.00
1982-06-02,29.13,,,,74.00
1982-06-03,23.08,,,,74.00
1982-06-04,34.67,,,,74.00
1982-06-05,45.77,,,,74.00
1982-06-06,34.67,,,,74.00
1982-06-07,33.67,,,,73.00
1982-06-08,33.67,,,,73.00
1982-06-09,28.13,,,,73.00
1982-06-10,28.13,,,,73.00
1982-06-11,17.04,,,,73.00
1982-06-12,28.13,,,,73.00
1982-06-13,61.91,,,,73.00
1982-06-14,28.13,,,,73.00
1982-06-15,28.13,,,,73.00
1982-06-16,17.04,,,,73.00
1982-06-17,23.09,,,,73.00
1982-06-18,22.58,,,,73.00
1982-06-19,17.54,,,,73.00
1982-06-20,17.54,,,,73.00
1982-06-21,11.49,,,,73.00
1982-06-22,11.00,,,,72.00
1982-06-23,11.00,,,,72.00
1982-06-24,11.00,,,,72.00
1982-06-25,11.50,,,,72.00
1982-06-26,21.58,,,,72.00
1982-06-27,28.14,,,,72.00
1982-06-28,28.14,,,,72.00
1982-06-29,72.00,,,,72.00
1982-06-30,-38.41,,,,72.00
1982-07-01,5.95,,,,72.00
1982-07-02,11.50,,,,72.00
1982-07-03,27.14,,,,71.00
1982-07-04,10.50,,,,71.00
1982-07-05,21.59,,,,71.00
1982-07-06,5.46,,,,71.00
1982-07-07,21.59,,,,71.00
1982-07-08,5.46,,,,71.00
1982-07-09,11.00,,,,71.00
1982-07-10,11.00,,,,71.00
1982-07-11,43.77,,,,71.00
1982-07-12,-24.81,,,,73.00
1982-07-13,10.42,,,,81.00
1982-07-14,11.42,,,,82.00
1982-07-15,-4.72,,,,82.00
1982-07-16,22.51,,,,82.00
1982-07-17,0.83,,,,82.00
1982-07-18,6.37,,,,82.00
1982-07-19,6.88,,,,82.00
1982-07-20,6.37,,,,82.00
1982-07-21,7.33,,,,88.00
1982-07-22,6.29,,,,92.00
1982-07-23,-12.86,,,,91.00
1982-07-24,5.80,,,,91.00
1982-07-25,0.25,,,,91.00
1982-07-26,0.75,,,,91.00
1982-07-27,10.75,,,,101.00
1982-07-28,3.12,,,,109.00
1982-07-29,-2.42,,,,109.00
1982-07-30,3.63,,,,109.00
1982-07-31,3.63,,,,109.00
1982-08-01,-1.41,,,,109.00
1982-08-02,-1.41,,,,109.00
1982-08-03,9.17,,,,109.00
1982-08-04,3.09,,,,113.00
1982-08-05,9.18,,,,108.00
1982-08-06,8.68,,,,108.00
1982-08-07,-7.45,,,,107.00
1982-08-08,-12.49,,,,107.00
1982-08-09,-6.94,,,,107.00
1982-08-10,8.69,,,,107.00
1982-08-11,24.32,,,,107.00
1982-08-12,3.65,,,,107.00
1982-08-13,4.15,,,,107.00
1982-08-14,4.15,,,,107.00
1982-08-15,4.15,,,,107.00
1982-08-16,5.65,,,,108.00
1982-08-17,5.16,,,,107.00
1982-08-18,-6.43,,,,106.00
1982-08-19,-0.88,,,,106.00
1982-08-20,-0.88,,,,106.00
1982-08-21,-5.42,,,,106.00
1982-08-22,-6.42,,,,105.00
1982-08-23,-5.92,,,,105.00
1982-08-24,-26.08,,,,105.00
1982-08-25,-5.92,,,,105.00
1982-08-26,-5.41,,,,105.00
1982-08-27,-4.91,,,,105.00
1982-08-28,0.13,,,,105.00
1982-08-29,0.13,,,,105.00
1982-08-30,0.64,,,,105.00
1982-08-31,0.64,,,,105.00
1982-09-01,-4.40,,,,105.00
1982-09-02,1.14,,,,105.00
1982-09-03,-4.40,,,,104.00
1982-09-04,-4.40,,,,104.00
1982-09-05,-4.40,,,,104.00
1982-09-06,-3.89,,,,104.00
1982-09-07,1.15,,,,104.00
1982-09-08,1.15,,,,104.00
1982-09-09,-2.88,,,,104.00
1982-09-10,1.65,,,,104.00
1982-09-11,2.16,,,,104.00
1982-09-12,2.16,,,,104.00
1982-09-13,2.16,,,,104.00
1982-09-14,-3.38,,,,103.00
1982-09-15,-7.41,,,,103.00
1982-09-16,-2.88,,,,103.00
1982-09-17,-2.37,,,,103.00
1982-09-18,2.17,,,,103.00
1982-09-19,11.75,,,,103.00
1982-09-20,31.41,,,,103.00
1982-09-21,26.37,,,,103.00
1982-09-22,7.21,,,,103.00
1982-09-23,2.17,,,,102.00
1982-09-24,-7.40,,,,102.00
1982-09-25,7.22,,,,102.00
1982-09-26,11.75,,,,102.00
1982-09-27,16.80,,,,102.00
1982-09-28,3.18,,,,102.00
1982-09-29,-35.24,,,,54.00
1982-09-30,-0.70,,,,23.00
1982-10-01,8.42,,,,48.00
1982-10-02,26.88,,,,102.00
1982-10-03,-9.31,,,,89.00
1982-10-04,-24.54,,,,41.00
1982-10-05,31.92,,,,102.00
1982-10-06,33.19,,,,131.00
1982-10-07,20.42,,,,151.00
1982-10-08,11.85,,,,151.00
1982-10-09,6.82,,,,150.00
1982-10-10,2.78,,,,150.00
1982-10-11,-2.75,,,,149.00
1982-10-12,-1.75,,,,149.00
1982-10-13,-1.75,,,,149.00
1982-10-14,-18.28,,,,136.00
1982-10-15,17.64,,,,122.00
1982-10-16,-2.77,,,,151.00
1982-10-17,-1.76,,,,151.00
1982-10-18,1.77,,,,150.00
1982-10-19,-1.75,,,,150.00
1982-10-20,-1.25,,,,150.00
1982-10-21,-0.75,,,,150.00
1982-10-22,74.37,,,,150.00
1982-10-23,53.20,,,,150.00
1982-10-24,20.94,,,,149.00
1982-10-25,17.41,,,,149.00
1982-10-26,31.02,,,,149.00
1982-10-27,53.21,,,,149.00
1982-10-28,57.99,,,,180.00
1982-10-29,365.37,,,,200.00
1982-10-30,180.86,,,,198.00
1982-10-31,74.99,,,,197.00
1982-11-01,56.85,,,,196.00
1982-11-02,31.15,,,,195.00
1982-11-03,22.57,,,,195.00
1982-11-04,-9.85,,,,153.00
1982-11-05,24.12,,,,131.00
1982-11-06,80.08,,,,131.00
1982-11-07,65.97,,,,130.00
1982-11-08,61.94,,,,130.00
1982-11-09,37.23,,,,130.00
1982-11-10,32.70,,,,130.00
1982-11-11,24.63,,,,130.00
1982-11-12,-15.40,,,,94.00
1982-11-13,33.15,,,,75.00
1982-11-14,28.62,,,,75.00
1982-11-15,25.09,,,,75.00
1982-11-16,37.19,,,,75.00
1982-11-17,179.36,,,,75.00
1982-11-18,239.85,,,,76.00
1982-11-19,325.06,,,,76.00
1982-11-20,307.76,,,,95.00
1982-11-21,209.81,,,,112.00
1982-11-22,163.25,,,,133.00
1982-11-23,117.75,,,,148.00
1982-11-24,92.54,,,,148.00
1982-11-25,114.22,,,,148.00
1982-11-26,40.62,,,,147.00
1982-11-27,75.40,,,,148.00
1982-11-28,167.14,,,,150.00
1982-11-29,262.41,,,,152.00
1982-11-30,392.98,,,,154.00
1982-12-01,441.70,,,,175.00
1982-12-02,357.14,,,,219.00
1982-12-03,638.23,,,,247.00
1982-12-04,1131.80,,,,248.00
1982-12-05,673.30,,,,274.00
1982-12-06,510.53,,,,325.00
1982-12-07,298.62,,,,344.00
1982-12-08,232.60,,,,341.00
1982-12-09,180.20,,,,338.00
1982-12-10,147.95,,,,336.00
1982-12-11,130.84,,,,332.00
1982-12-12,117.74,,,,331.00
1982-12-13,121.28,,,,329.00
1982-12-14,122.26,,,,333.00
1982-12-15,492.59,,,,361.00
1982-12-16,1489.64,,,,384.00
1982-12-17,1256.17,,,,389.00
1982-12-18,950.30,,,,370.00
1982-12-19,712.40,,,,361.00
1982-12-20,711.81,,,,372.00
1982-12-21,672.52,,,,368.00
1982-12-22,629.18,,,,366.00
1982-12-23,630.20,,,,424.00
1982-12-24,473.95,,,,541.00
1982-12-25,396.23,,,,550.00
1982-12-26,294.88,,,,491.00
1982-12-27,237.58,,,,409.00
1982-12-28,155.89,,,,351.00
1982-12-29,120.70,,,,338.00
1982-12-30,143.90,,,,337.00
1982-12-31,134.84,,,,336.00
1983-01-01,118.22,,,,333.00
1983-01-02,113.70,,,,332.00
1983-01-03,139.90,,,,334.00
1983-01-04,256.32,,,,339.00
1983-01-05,544.14,,,,346.00
1983-01-06,997.77,,,,360.00
1983-01-07,1056.74,,,,362.00
1983-01-08,881.31,,,,360.00
1983-01-09,739.68,,,,355.00
1983-01-10,576.14,,,,378.00
1983-01-11,545.40,,,,497.00
1983-01-12,428.22,,,,583.00
1983-01-13,323.81,,,,589.00
1983-01-14,252.50,,,,555.00
1983-01-15,160.51,,,,462.00
1983-01-16,126.45,,,,374.00
1983-01-17,131.32,,,,335.00
1983-01-18,160.10,,,,330.00
1983-01-19,156.06,,,,330.00
1983-01-20,122.30,,,,328.00
1983-01-21,117.27,,,,327.00
1983-01-22,118.27,,,,327.00
1983-01-23,180.77,,,,329.00
1983-01-24,171.78,,,,259.00
1983-01-25,245.34,,,,204.00
1983-01-26,303.80,,,,207.00
1983-01-27,402.61,,,,208.00
1983-01-28,346.15,,,,207.00
1983-01-29,276.15,,,,197.00
1983-01-30,221.43,,,,170.00
1983-01-31,204.20,,,,119.00
1983-02-01,172.26,,,,80.00
1983-02-02,179.89,,,,72.00
1983-02-03,153.28,,,,59.00
1983-02-04,140.24,,,,51.00
1983-02-05,131.16,,,,51.00
1983-02-06,160.90,,,,52.00
1983-02-07,165.44,,,,52.00
1983-02-08,165.94,,,,52.00
1983-02-09,305.09,,,,52.00
1983-02-10,628.76,,,,53.00
1983-02-11,702.37,,,,53.00
1983-02-12,684.19,,,,56.00
1983-02-13,860.66,,,,55.00
1983-02-14,640.83,,,,56.00
1983-02-15,534.45,,,,56.00
1983-02-16,571.82,,,,110.00
1983-02-17,799.67,,,,235.00
1983-02-18,981.25,,,,285.00
1983-02-19,788.20,,,,280.00
1983-02-20,655.93,,,,302.00
1983-02-21,584.95,,,,349.00
1983-02-22,608.46,,,,371.00
1983-02-23,749.05,,,,380.00
1983-02-24,672.98,,,,373.00
1983-02-25,511.68,,,,369.00
1983-02-26,544.90,,,,375.00
1983-02-27,492.50,,,,371.00
1983-02-28,460.78,,,,367.00
1983-03-01,293.41,,,,365.00
1983-03-02,307.54,,,,363.00
1983-03-03,251.09,,,,361.00
1983-03-04,194.14,,,,359.00
1983-03-05,113.10,,,,283.00
1983-03-06,173.68,,,,212.00
1983-03-07,245.41,,,,196.00
1983-03-08,368.90,,,,199.00
1983-03-09,552.36,,,,206.00
1983-03-10,957.78,,,,258.00
1983-03-11,859.77,,,,343.00
1983-03-12,558.49,,,,378.00
1983-03-13,582.53,,,,458.00
1983-03-14,675.52,,,,613.00
1983-03-15,638.31,,,,661.00
1983-03-16,517.92,,,,648.00
1983-03-17,400.54,,,,638.00
1983-03-18,246.04,,,,544.00
1983-03-19,162.06,,,,397.00
1983-03-20,192.16,,,,354.00
1983-03-21,86.57,,,,259.00
1983-03-22,150.72,,,,184.00
1983-03-23,190.64,,,,174.00
1983-03-24,164.64,,,,148.00
1983-03-25,140.18,,,,118.00
1983-03-26,136.82,,,,98.00
1983-03-27,169.15,,,,91.00
1983-03-28,163.10,,,,91.00
1983-03-29,433.71,,,,227.00
1983-03-30,1082.60,,,,345.00
1983-03-31,533.00,,,,533.00
1983-04-01,970.82,,,,630.00
1983-04-02,391.48,,,,636.00
1983-04-03,433.41,,,,626.00
1983-04-04,174.26,,,,445.00
1983-04-05,168.44,,,,236.00
1983-04-06,234.42,,,,184.00
1983-04-07,206.69,,,,184.00
1983-04-08,160.00,,,,160.00
1983-04-09,159.23,,,,131.00
