date,id,fb,qd,af
1982-01-01,,3133.13,115.00,17514.47
1982-01-02,,3133.15,115.00,17529.42
1982-01-03,,3133.19,134.00,17559.40
1982-01-04,,3133.19,135.00,17559.40
1982-01-05,,3133.17,133.00,17544.41
1982-01-06,,3133.14,127.00,17521.95
1982-01-07,,3133.13,120.00,17514.47
1982-01-08,,3133.14,127.00,17521.95
1982-01-09,,3133.15,127.00,17529.42
1982-01-10,,3133.15,130.00,17529.42
1982-01-11,,3133.16,132.00,17536.91
1982-01-12,,3133.20,140.00,17566.91
1982-01-13,,3133.20,144.00,17566.91
1982-01-14,,3133.23,157.00,17589.42
1982-01-15,,3133.24,157.00,17596.94
1982-01-16,,3133.26,164.00,17612.00
1982-01-17,,3133.26,157.00,17612.00
1982-01-18,,3133.25,151.00,17604.48
1982-01-19,,3133.26,139.00,17612.00
1982-01-20,,3133.24,104.00,17596.94
1982-01-21,,3133.21,161.00,17574.42
1982-01-22,,3133.22,183.00,17581.91
1982-01-23,,3133.19,204.00,17559.40
1982-01-24,,3133.19,204.00,17559.40
1982-01-25,,3133.28,203.00,17627.05
1982-01-26,,3133.32,193.00,17657.19
1982-01-27,,3133.32,202.00,17657.19
1982-01-28,,3133.33,190.00,17664.73
1982-01-29,,3133.33,180.00,17664.73
1982-01-30,,3133.32,170.00,17657.19
1982-01-31,,3133.31,160.00,17649.65
1982-02-01,,3133.29,150.00,17634.59
1982-02-02,,3133.29,140.00,17634.59
1982-02-03,,3133.29,150.00,17634.59
1982-02-04,,3133.29,120.00,17634.59
1982-02-05,,3133.29,100.00,17634.59
1982-02-06,,3133.29,86.00,17634.59
1982-02-07,,3133.23,100.00,17589.42
1982-02-08,,3133.18,140.00,17551.90
1982-02-09,,3133.19,145.00,17559.40
1982-02-10,,3133.20,140.00,17566.91
1982-02-11,,3133.18,130.00,17551.90
1982-02-12,,3133.21,125.00,17574.42
1982-02-13,,3133.21,130.00,17574.42
1982-02-14,,3133.27,230.00,17619.53
1982-02-15,,3133.52,390.00,17808.49
1982-02-16,,3133.82,500.00,18037.98
1982-02-17,,3133.97,657.00,18153.74
1982-02-18,,3134.42,1010.00,18491.55
1982-02-19,,3134.58,1570.00,18612.95
1982-02-20,,3134.82,1920.00,18796.36
1982-02-21,,3134.73,2290.00,18727.29
1982-02-22,,3134.47,1730.00,18529.40
1982-02-23,,3134.16,1250.00,18296.14
1982-02-24,,3133.95,869.00,18138.24
1982-02-25,,3133.81,650.00,18030.28
1982-02-26,,3133.75,552.00,17984.13
1982-02-27,,3133.78,550.00,18007.20
1982-02-28,,3133.83,585.00,18045.69
1982-03-01,,3134.00,709.00,18177.01
1982-03-02,,3134.09,924.00,18244.03
1982-03-03,,3134.05,900.00,18214.21
1982-03-04,,3134.00,848.00,18177.01
1982-03-05,,3133.99,806.00,18169.24
1982-03-06,,3133.96,763.00,18145.99
1982-03-07,,3133.95,745.00,18138.24
1982-03-08,,3133.93,730.00,18122.74
1982-03-09,,3133.95,725.00,18138.24
1982-03-10,,3133.89,682.00,18091.82
1982-03-11,,3133.98,771.00,18161.48
1982-03-12,,3134.01,817.00,18184.43
1982-03-13,,3134.00,795.00,18177.01
1982-03-14,,3134.04,862.00,18206.78
1982-03-15,,3134.04,886.00,18206.78
1982-03-16,,3134.05,870.00,18214.21
1982-03-17,,3134.03,831.00,18199.31
1982-03-18,,3133.98,797.00,18161.48
1982-03-19,,3133.97,773.00,18153.74
1982-03-20,,3133.97,758.00,18153.74
1982-03-21,,3133.96,743.00,18145.99
1982-03-22,,3133.96,727.00,18145.99
1982-03-23,,3133.94,654.00,18130.49
1982-03-24,,3133.83,538.00,18045.69
1982-03-25,,3133.79,507.00,18014.89
1982-03-26,,3133.78,508.00,18007.20
1982-03-27,,3133.78,542.00,18007.20
1982-03-28,,3133.82,607.00,18037.98
1982-03-29,,3133.87,636.00,18076.54
1982-03-30,,3133.87,630.00,18076.54
1982-03-31,,3133.88,610.00,18084.09
1982-04-01,,3133.85,599.00,18061.12
1982-04-02,,3133.84,570.00,18053.40
1982-04-03,,3133.82,550.00,18037.98
1982-04-04,,3133.79,534.00,18014.89
1982-04-05,,3133.79,531.00,18014.89
1982-04-06,,3133.79,526.00,18014.89
1982-04-07,,3133.77,480.00,17999.50
1982-04-08,,3133.75,454.00,17984.13
1982-04-09,,3133.74,450.00,17976.43
1982-04-10,,3133.73,510.00,17968.75
1982-04-11,,3133.79,571.00,18014.89
1982-04-12,,3133.86,610.00,18068.83
1982-04-13,,3133.89,596.00,18091.82
1982-04-14,,3133.82,583.00,18037.98
1982-04-15,,3133.80,536.00,18022.57
1982-04-16,,3133.78,510.00,18007.20
1982-04-17,,3133.75,488.00,17984.13
1982-04-18,,3133.69,452.00,17938.09
1982-04-19,,3133.68,430.00,17930.43
1982-04-20,,3133.68,405.00,17930.43
1982-04-21,,3133.68,387.00,17930.43
1982-04-22,,3133.70,382.00,17945.75
1982-04-23,,3133.68,390.00,17930.43
1982-04-24,,3133.66,392.00,17915.11
1982-04-25,,3133.73,415.00,17968.75
1982-04-26,,3133.78,466.00,18007.20
1982-04-27,,3133.83,512.00,18045.69
1982-04-28,,3133.77,530.00,17999.50
1982-04-29,,3133.80,519.00,18022.57
1982-04-30,,3133.78,495.00,18007.20
1982-05-01,,3133.76,486.00,17991.82
1982-05-02,,3133.74,477.00,17976.43
1982-05-03,,3133.72,487.00,17961.09
1982-05-04,,3133.72,464.00,17961.09
1982-05-05,,3133.81,517.00,18030.28
1982-05-06,,3133.90,606.00,18099.55
1982-05-07,,3133.92,667.00,18115.00
1982-05-08,,3133.89,665.00,18091.82
1982-05-09,,3133.88,655.00,18084.09
1982-05-10,,3133.89,653.00,18091.82
1982-05-11,,3133.90,649.00,18099.55
1982-05-12,,3133.87,616.00,18076.54
1982-05-13,,3133.87,590.00,18076.54
1982-05-14,,3133.81,545.00,18030.28
1982-05-15,,3133.81,524.00,18030.28
1982-05-16,,3133.84,533.00,18053.40
1982-05-17,,3133.84,572.00,18053.40
1982-05-18,,3133.88,627.00,18084.09
1982-05-19,,3133.92,647.00,18115.00
1982-05-20,,3133.97,676.00,18153.74
1982-05-21,,3134.03,729.00,18199.31
1982-05-22,,3134.02,792.00,18191.89
1982-05-23,,3134.04,810.00,18206.78
1982-05-24,,3134.10,852.00,18251.51
1982-05-25,,3134.12,928.00,18266.43
1982-05-26,,3134.17,1030.00,18303.65
1982-05-27,,3134.12,1010.00,18266.43
1982-05-28,,3134.06,939.00,18221.67
1982-05-29,,3134.00,823.00,18177.01
1982-05-30,,3133.98,722.00,18161.48
1982-05-31,,3133.94,680.00,18130.49
1982-06-01,,3133.88,632.00,18084.26
1982-06-02,,3133.87,597.00,18076.54
1982-06-03,,3133.86,589.99,18068.83
1982-06-04,,3133.99,686.00,18169.24
1982-06-05,,3134.09,900.00,18244.03
1982-06-06,,3134.11,932.00,18258.96
1982-06-07,,3134.07,906.00,18229.12
1982-06-08,,3134.06,849.00,18221.67
1982-06-09,,3134.04,788.00,18206.78
1982-06-10,,3133.98,707.00,18161.48
1982-06-11,,3133.99,689.00,18169.24
1982-06-12,,3134.10,762.00,18251.51
1982-06-13,,3134.36,1160.00,18446.43
1982-06-14,,3134.39,1330.00,18468.87
1982-06-15,,3134.43,1320.00,18499.12
1982-06-16,,3134.48,1410.00,18536.99
1982-06-17,,3134.47,1440.00,18529.40
1982-06-18,,3134.49,1430.00,18544.57
1982-06-19,,3134.49,1430.00,18544.57
1982-06-20,,3134.44,1380.00,18506.69
1982-06-21,,3134.40,1320.00,18476.45
1982-06-22,,3134.45,1340.00,18514.25
1982-06-23,,3134.47,1400.00,18529.40
1982-06-24,,3134.38,1320.00,18461.51
1982-06-25,,3134.41,1260.00,18483.99
1982-06-26,,3134.30,1220.00,18401.20
1982-06-27,,3134.30,1220.00,18401.20
1982-06-28,,3134.32,1200.00,18416.27
1982-06-29,,3134.41,1320.00,18483.99
1982-06-30,,3134.36,1330.00,18446.43
1982-07-01,,3134.74,1550.00,18734.95
1982-07-02,,3134.97,2370.00,18911.83
1982-07-03,,3134.79,2320.00,18773.30
1982-07-04,,3134.64,1920.00,18658.50
1982-07-05,,3134.51,1630.00,18559.73
1982-07-06,,3134.40,1380.00,18476.45
1982-07-07,,3134.33,1230.00,18423.82
1982-07-08,,3134.33,1200.00,18428.00
1982-07-09,,3134.34,1210.00,18431.34
1982-07-10,,3134.28,1140.00,18386.17
1982-07-11,,3134.26,1070.00,18371.13
1982-07-12,,3134.22,1040.00,18341.11
1982-07-13,,3134.14,973.00,18281.21
1982-07-14,,3134.07,901.00,18229.12
1982-07-15,,3133.94,780.00,18130.49
1982-07-16,,3133.86,636.00,18068.83
1982-07-17,,3133.79,522.00,18014.89
1982-07-18,,3133.73,437.00,17968.75
1982-07-19,,3133.72,396.00,17961.09
1982-07-20,,3133.60,340.00,17869.45
1982-07-21,,3133.48,268.00,17778.08
1982-07-22,,3133.39,205.00,17709.89
1982-07-23,,3133.34,150.00,17672.28
1982-07-24,,3133.35,133.00,17679.83
1982-07-25,,3133.33,121.00,17664.73
1982-07-26,,3133.30,105.00,17642.11
1982-07-27,,3133.23,125.00,17589.42
1982-07-28,,3133.16,109.00,17536.91
1982-07-29,,3133.11,112.00,17499.67
1982-07-30,,3132.99,126.00,17410.22
1982-07-31,,3132.83,124.00,17300.00
1982-08-01,,3132.62,122.00,17137.57
1982-08-02,,3132.44,121.00,17006.33
1982-08-03,,3132.27,127.00,16883.46
1982-08-04,,3132.07,135.00,16740.00
1982-08-05,,3131.88,135.00,16599.36
1982-08-06,,3131.66,133.00,16440.00
1982-08-07,,3131.45,133.00,16278.02
1982-08-08,,3131.18,133.00,16079.49
1982-08-09,,3131.07,133.00,15999.41
1982-08-10,,3130.94,133.00,15905.08
1982-08-11,,3130.89,132.00,15868.93
1982-08-12,,3130.90,131.00,15876.16
1982-08-13,,3130.91,131.00,15883.39
1982-08-14,,3130.84,131.00,15833.07
1982-08-15,,3131.00,83.00,15948.55
1982-08-16,,3131.17,59.00,16072.16
1982-08-17,,3131.36,59.00,16211.68
1982-08-18,,3131.56,59.00,16359.66
1982-08-19,,3131.62,98.00,16404.37
1982-08-20,,3131.60,118.00,16389.46
1982-08-21,,3131.48,118.00,16300.25
1982-08-22,,3131.34,118.00,16196.95
1982-08-23,,3131.16,118.00,16064.85
1982-08-24,,3130.99,118.00,15941.28
1982-08-25,,3130.78,118.00,15789.91
1982-08-26,,3130.62,118.00,15675.57
1982-08-27,,3130.45,118.00,15554.83
1982-08-28,,3130.27,125.00,15428.16
1982-08-29,,3130.02,135.00,15253.87
1982-08-30,,3129.74,135.00,15050.54
1982-08-31,,3129.63,135.00,14971.22
1982-09-01,,3129.53,135.00,14899.30
1982-09-02,,3129.46,137.00,14849.16
1982-09-03,,3129.37,137.00,14785.12
1982-09-04,,3129.18,137.00,14650.46
1982-09-05,,3129.08,137.00,14580.25
1982-09-06,,3129.00,137.00,14524.19
1982-09-07,,3128.99,137.00,14517.19
1982-09-08,,3128.95,137.00,14489.25
1982-09-09,,3128.77,135.00,14364.37
1982-09-10,,3128.53,135.00,14199.50
1982-09-11,,3128.38,135.00,14097.46
1982-09-12,,3128.21,135.00,13982.53
1982-09-13,,3128.13,133.00,13928.93
1982-09-14,,3128.06,133.00,13882.05
1982-09-15,,3128.15,106.00,13939.00
1982-09-16,,3128.23,89.00,13996.00
1982-09-17,,3128.41,89.00,14117.67
1982-09-18,,3128.55,90.00,14213.17
1982-09-19,,3128.65,91.00,14281.61
1982-09-20,,3128.88,91.00,14440.67
1982-09-21,,3129.11,91.00,14601.32
1982-09-22,,3129.27,88.00,14714.08
1982-09-23,,3129.46,85.00,14849.16
1982-09-24,,3129.68,85.00,15007.13
1982-09-25,,3129.96,85.00,15210.68
1982-09-26,,3130.06,87.00,15281.65
1982-09-27,,3130.29,87.00,15449.23
1982-09-28,,3130.48,87.00,15583.14
1982-09-29,,3130.71,87.00,15754.04
1982-09-30,,3130.97,87.00,15941.28
1982-10-01,,3131.22,86.00,16123.44
1982-10-02,,3131.45,86.00,16285.41
1982-10-03,,3131.69,88.00,16463.99
1982-10-04,,3131.95,88.00,16652.12
1982-10-05,,3132.21,88.00,16847.42
1982-10-06,,3132.47,89.00,17035.40
1982-10-07,,3132.65,90.00,17166.70
1982-10-08,,3132.86,91.00,17328.78
1982-10-09,,3133.09,97.00,17499.67
1982-10-10,,3133.21,131.00,17589.42
1982-10-11,,3133.26,160.00,17627.05
1982-10-12,,3133.24,163.00,17612.00
1982-10-13,,3133.22,156.00,17596.94
1982-10-14,,3133.22,148.00,17596.94
1982-10-15,,3133.24,150.00,17612.00
1982-10-16,,3133.27,163.00,17634.59
1982-10-17,,3133.25,171.00,17619.53
1982-10-18,,3133.22,167.00,17596.94
1982-10-19,,3133.21,167.00,17589.42
1982-10-20,,3133.23,170.00,17604.48
1982-10-21,,3133.25,167.00,17619.53
1982-10-22,,3133.26,164.00,17627.05
1982-10-23,,3133.28,172.00,17642.11
1982-10-24,,3133.28,180.00,17642.11
1982-10-25,,3133.26,178.00,17627.05
1982-10-26,,3133.27,187.00,17634.59
1982-10-27,,3133.26,193.00,17627.05
1982-10-28,,3133.24,189.00,17612.00
1982-10-29,,3133.31,211.00,17657.19
1982-10-30,,3133.37,248.00,17702.49
1982-10-31,,3133.37,250.00,17702.49
1982-11-01,,3133.33,235.00,17672.28
1982-11-02,,3133.29,216.00,17649.65
1982-11-03,,3133.26,202.00,17627.05
1982-11-04,,3133.28,197.00,17642.11
1982-11-05,,3133.28,200.00,17642.11
1982-11-06,,3133.29,205.00,17649.65
1982-11-07,,3133.27,200.00,17634.59
1982-11-08,,3133.25,194.00,17619.53
1982-11-09,,3133.26,197.00,17627.05
1982-11-10,,3133.25,206.00,17619.53
1982-11-11,,3133.25,200.00,17619.53
1982-11-12,,3133.22,183.00,17596.94
1982-11-13,,3133.20,182.00,17581.91
1982-11-14,,3133.18,167.00,17566.91
1982-11-15,,3133.18,150.00,17566.91
1982-11-16,,3133.22,171.00,17596.94
1982-11-17,,3133.26,191.00,17627.05
1982-11-18,,3133.32,209.00,17664.73
1982-11-19,,3133.33,230.00,17672.28
1982-11-20,,3133.29,218.00,17649.65
1982-11-21,,3133.25,205.00,17619.53
1982-11-22,,3133.18,186.00,17566.91
1982-11-23,,3133.11,147.00,17514.65
1982-11-24,,3133.12,131.00,17521.95
1982-11-25,,3133.12,136.00,17521.95
1982-11-26,,3133.18,139.00,17566.91
1982-11-27,,3133.20,152.00,17581.91
1982-11-28,,3133.22,163.00,17596.94
1982-11-29,,3133.25,182.00,17619.53
1982-11-30,,3133.24,187.00,17612.00
1982-12-01,,3133.24,188.00,17612.00
1982-12-02,,3133.27,180.00,17634.59
1982-12-03,,3133.23,190.00,17604.48
1982-12-04,,3133.34,206.00,17679.83
1982-12-05,,3133.36,249.00,17694.93
1982-12-06,,3133.41,269.00,17732.59
1982-12-07,,3133.34,279.00,17679.83
1982-12-08,,3133.25,211.00,17619.53
1982-12-09,,3133.20,172.00,17581.91
1982-12-10,,3133.20,172.00,17581.91
1982-12-11,,3133.19,166.00,17574.42
1982-12-12,,3133.19,162.00,17574.42
1982-12-13,,3133.23,170.00,17604.48
1982-12-14,,3133.23,182.00,17604.48
1982-12-15,,3133.24,188.00,17612.00
1982-12-16,,3133.37,197.00,17702.49
1982-12-17,,3133.47,264.00,17778.08
1982-12-18,,3133.48,328.00,17785.68
1982-12-19,,3133.41,288.00,17732.59
1982-12-20,,3133.40,254.00,17725.01
1982-12-21,,3133.47,240.00,17778.08
1982-12-22,,3133.49,318.00,17793.28
1982-12-23,,3133.43,360.00,17747.74
1982-12-24,,3133.33,294.00,17672.28
1982-12-25,,3133.21,207.00,17589.42
1982-12-26,,3133.23,177.00,17604.48
1982-12-27,,3133.15,160.00,17544.41
1982-12-28,,3133.08,150.00,17492.21
1982-12-29,,3133.07,134.00,17484.74
1982-12-30,,3133.05,129.00,17469.81
1982-12-31,,3133.05,127.00,17469.81
1983-01-01,,3133.04,119.00,17462.35
1983-01-02,,3133.05,116.00,17469.81
1983-01-03,,3133.11,130.00,17514.65
1983-01-04,,3133.15,146.00,17544.41
1983-01-05,,3133.20,151.00,17581.91
1983-01-06,,3133.28,205.00,17642.11
1983-01-07,,3133.46,314.00,17770.51
1983-01-08,,3133.63,447.00,17899.83
1983-01-09,,3133.68,469.00,17938.09
1983-01-10,,3133.55,379.00,17838.94
1983-01-11,,3133.45,297.00,17762.92
1983-01-12,,3133.37,251.00,17702.49
1983-01-13,,3133.36,224.00,17694.93
1983-01-14,,3133.28,210.00,17642.11
1983-01-15,,3133.26,194.00,17627.05
1983-01-16,,3133.28,198.00,17642.11
1983-01-17,,3133.27,199.00,17634.59
1983-01-18,,3133.28,198.00,17642.11
1983-01-19,,3133.36,237.00,17694.93
1983-01-20,,3133.42,297.00,17740.16
1983-01-21,,3133.41,289.00,17732.59
1983-01-22,,3133.38,278.00,17709.89
1983-01-23,,3133.36,247.00,17694.93
1983-01-24,,3133.38,250.00,17709.89
1983-01-25,,3133.44,303.00,17755.33
1983-01-26,,3133.43,354.00,17747.78
1983-01-27,,3133.42,473.00,17740.23
1983-01-28,,3133.41,491.00,17732.68
1983-01-29,,3133.40,417.00,17725.13
1983-01-30,,3133.39,348.00,17717.59
1983-01-31,,3133.38,312.00,17710.04
1983-02-01,,3133.37,297.00,17702.49
1983-02-02,,3133.36,283.00,17694.94
1983-02-03,,3133.35,258.00,17687.39
1983-02-04,,3133.31,219.00,17663.00
1983-02-05,,3133.35,196.00,17691.84
1983-02-06,,3133.39,196.00,17720.69
1983-02-07,,3133.43,200.00,17749.53
1983-02-08,,3133.46,217.00,17778.37
1983-02-09,,3133.50,212.00,17807.22
1983-02-10,,3133.54,224.00,17836.06
1983-02-11,,3133.58,250.00,17864.90
1983-02-12,,3133.62,346.00,17893.74
1983-02-13,,3133.66,505.00,17922.59
1983-02-14,,3133.69,571.00,17951.43
1983-02-15,,3133.73,511.00,17980.27
1983-02-16,,3133.77,498.00,18009.12
1983-02-17,,3133.81,552.00,18037.96
1983-02-18,,3133.99,719.00,18169.23
1983-02-19,,3134.05,871.00,18214.20
1983-02-20,,3133.93,830.00,18122.73
1983-02-21,,3133.88,693.00,18084.24
1983-02-22,,3133.87,671.00,18076.52
1983-02-23,,3133.86,658.00,18068.80
1983-02-24,,3133.86,643.00,18068.80
1983-02-25,,3133.83,628.00,18053.38
1983-02-26,,3133.80,619.00,18030.26
1983-02-27,,3133.77,586.00,18007.18
1983-02-28,,3133.74,553.00,17984.11
1983-03-01,,3133.77,543.00,18007.18
1983-03-02,,3133.85,601.00,18061.10
1983-03-03,,3133.93,702.00,18122.73
1983-03-04,,3134.16,892.00,18296.13
1983-03-05,,3134.20,1070.00,18326.09
1983-03-06,,3134.09,1030.00,18244.01
1983-03-07,,3134.01,875.00,18184.41
1983-03-08,,3134.00,813.00,18176.99
1983-03-09,,3134.01,812.00,18184.41
1983-03-10,,3134.00,792.00,18176.99
1983-03-11,,3134.01,826.00,18184.41
1983-03-12,,3134.08,894.00,18236.56
1983-03-13,,3134.14,1080.00,18281.20
1983-03-14,,3134.14,1210.00,18281.20
1983-03-15,,3134.14,1210.00,18281.20
1983-03-16,,3134.20,1150.00,18326.09
1983-03-17,,3134.16,1080.00,18296.13
1983-03-18,,3134.07,1000.00,18229.09
1983-03-19,,3134.04,930.00,18206.75
1983-03-20,,3134.02,879.00,18191.87
1983-03-21,,3134.03,849.00,18199.30
1983-03-22,,3133.99,831.00,18169.23
1983-03-23,,3133.97,814.00,18153.71
1983-03-24,,3133.95,786.00,18138.22
1983-03-25,,3133.91,772.00,18107.25
1983-03-26,,3133.92,737.00,18114.99
1983-03-27,,3133.92,748.00,18114.99
1983-03-28,,3133.93,755.00,18122.73
1983-03-29,,3133.92,744.00,18114.99
1983-03-30,,3133.91,741.00,18107.25
1983-03-31,,3133.89,729.00,18091.80
1983-04-01,,3133.89,701.00,18091.80
1983-04-02,,3133.88,714.00,18084.24
1983-04-03,,3133.87,708.00,18076.52
1983-04-04,,3133.88,708.00,18084.24
1983-04-05,,3133.90,697.00,18099.53
1983-04-06,,3133.87,674.00,18076.52
1983-04-07,,3133.86,668.00,18068.80
1983-04-08,,3133.82,645.00,18045.67
1983-04-09,,3133.85,640.00,18061.10
1983-04-10,,3133.82,644.00,18045.67
1983-04-11,,3133.79,640.00,18022.55
1983-04-12,,3133.80,621.00,18030.26
1983-04-13,,3133.77,599.00,18007.18
1983-04-14,,3133.79,585.00,18022.55
1983-04-15,,3133.78,570.00,18014.86
1983-04-16,,3133.77,555.00,18007.18
1983-04-17,,3133.78,554.00,18014.86
1983-04-18,,3133.80,563.00,18030.26
1983-04-19,,3133.81,577.00,18037.96
1983-04-20,,3133.85,603.00,18061.10
1983-04-21,,3133.82,617.00,18045.67
1983-04-22,,3133.88,644.00,18084.24
1983-04-23,,3133.96,702.00,18145.97
1983-04-24,,3134.06,877.00,18221.65
1983-04-25,,3134.05,926.00,18214.20
1983-04-26,,3134.07,930.00,18229.09
1983-04-27,,3134.05,899.00,18214.20
1983-04-28,,3134.09,915.00,18244.01
1983-04-29,,3134.06,937.00,18221.65
1983-04-30,,3134.04,918.00,18206.75
1983-05-01,,3134.02,903.00,18191.87
1983-05-02,,3134.03,895.00,18199.30
1983-05-03,,3133.93,809.00,18122.73
1983-05-04,,3133.95,774.00,18138.22
1983-05-05,,3133.97,800.00,18153.71
1983-05-06,,3134.05,878.00,18214.20
1983-05-07,,3134.07,925.00,18229.09
1983-05-08,,3134.02,938.00,18191.87
1983-05-09,,3134.01,917.00,18184.41
1983-05-10,,3133.97,894.00,18153.71
1983-05-11,,3133.86,779.00,18068.80
1983-05-12,,3133.75,646.00,17991.80
1983-05-13,,3133.70,535.00,17953.41
1983-05-14,,3133.66,485.00,17922.75
1983-05-15,,3133.59,467.00,17869.41
1983-05-16,,3133.61,444.00,17884.69
1983-05-17,,3133.55,419.00,17838.92
1983-05-18,,3133.52,381.00,17816.09
1983-05-19,,3133.53,378.00,17823.68
1983-05-20,,3133.62,413.00,17892.35
1983-05-21,,3133.63,443.00,17899.81
1983-05-22,,3133.64,446.00,17907.44
1983-05-23,,3133.69,481.00,17945.74
1983-05-24,,3133.83,585.00,18053.38
1983-05-25,,3133.98,760.00,18161.47
1983-05-26,,3134.18,1010.00,18311.10
1983-05-27,,3134.34,1230.00,18431.32
1983-05-28,,3134.45,1420.00,18521.82
1983-05-29,,3134.57,1610.00,18605.31
1983-05-30,,3134.58,1710.00,18612.93
1983-05-31,,3134.51,1690.00,18567.31
1983-06-01,,3134.45,1580.00,18521.82
1983-06-02,,3134.41,1500.00,18491.54
1983-06-03,,3134.32,1400.00,18416.25
1983-06-04,,3134.24,1250.00,18356.09
1983-06-05,,3134.17,1130.00,18303.63
1983-06-06,,3134.14,1010.00,18281.20
1983-06-07,,3134.08,916.00,18236.56
1983-06-08,,3134.04,847.00,18206.75
1983-06-09,,3134.12,902.00,18266.42
1983-06-10,,3134.10,957.00,18251.49
1983-06-11,,3134.12,1030.00,18266.42
1983-06-12,,3134.12,1010.00,18266.42
1983-06-13,,3134.10,944.00,18251.49
1983-06-14,,3134.05,857.00,18214.20
1983-06-15,,3134.05,845.00,18214.20
1983-06-16,,3134.02,798.00,18191.87
1983-06-17,,3133.95,751.00,18138.22
1983-06-18,,3134.00,765.00,18176.99
1983-06-19,,3133.99,768.00,18169.23
1983-06-20,,3133.95,747.00,18138.22
1983-06-21,,3133.90,676.00,18099.53
1983-06-22,,3133.90,628.00,18099.53
1983-06-23,,3133.85,587.00,18061.10
1983-06-24,,3133.76,523.00,17999.49
1983-06-25,,3133.80,528.00,18030.26
1983-06-26,,3133.80,558.00,18030.26
1983-06-27,,3133.85,594.00,18061.10
1983-06-28,,3133.91,619.00,18107.25
1983-06-29,,3133.89,642.00,18091.80
1983-06-30,,3133.90,652.00,18099.53
1983-07-01,,3133.95,675.00,18138.22
1983-07-02,,3134.01,763.00,18184.41
1983-07-03,,3134.10,859.00,18251.49
1983-07-04,,3134.09,878.00,18244.01
1983-07-05,,3134.05,796.00,18214.20
1983-07-06,,3134.00,720.00,18176.99
1983-07-07,,3133.90,670.00,18101.00
1983-07-08,,3133.80,620.00,18025.00
1983-07-09,,3133.69,560.00,17948.00
1983-07-10,,3133.59,500.00,17872.00
1983-07-11,,3133.49,430.00,17796.00
1983-07-12,,3133.39,330.00,17720.00
1983-07-13,,3133.29,220.00,17643.00
1983-07-14,,3133.18,190.00,17566.89
1983-07-15,,3133.13,160.00,17529.40
1983-07-16,,3133.13,150.00,17529.40
1983-07-17,,3133.07,150.00,17484.73
1983-07-18,,3133.08,150.00,17492.18
1983-07-19,,3132.96,150.00,17402.76
1983-07-20,,3132.71,150.00,17218.08
1983-07-21,,3132.53,150.00,17079.09
1983-07-22,,3132.27,150.00,16890.64
1983-07-23,,3132.03,150.00,16711.40
1983-07-24,,3131.80,145.00,16546.57
1983-07-25,,3131.59,145.00,16389.44
1983-07-26,,3131.40,145.00,16248.41
1983-07-27,,3131.23,145.00,16130.74
1983-07-28,,3131.06,145.00,16006.66
1983-07-29,,3130.95,145.00,15926.78
1983-07-30,,3130.79,145.00,15811.48
1983-07-31,,3130.60,145.00,15675.57
1983-08-01,,3130.44,145.00,15554.83
1983-08-02,,3130.21,145.00,15393.09
1983-08-03,,3130.00,145.00,15240.00
1983-08-04,,3129.77,147.00,15079.58
1983-08-05,,3129.48,146.00,14870.62
1983-08-06,,3129.21,146.00,14678.70
1983-08-07,,3128.93,145.00,14482.28
1983-08-08,,3128.65,145.00,14288.50
1983-08-09,,3128.38,145.00,14104.09
1983-08-10,,3128.30,107.00,14050.02
1983-08-11,,3128.26,89.00,14022.98
1983-08-12,,3128.26,89.00,14022.98
1983-08-13,,3128.29,89.00,14043.25
1983-08-14,,3128.34,105.00,14077.11
1983-08-15,,3128.42,113.00,14131.27
