date,qu,mm,mx,mn,qd
1982-01-01,58.81,,25.20,-2.71,21.00
1982-01-02,58.81,,23.08,-4.52,21.00
1982-01-03,58.81,,17.81,-7.66,21.00
1982-01-04,58.81,,32.20,17.97,21.00
1982-01-05,58.81,,25.04,-4.05,21.00
1982-01-06,58.81,,2.79,-16.94,21.00
1982-01-07,58.81,,5.39,-18.91,21.00
1982-01-08,59.89,,14.11,-4.60,21.00
1982-01-09,59.88,,23.94,-1.14,21.00
1982-01-10,59.89,,19.85,2.09,21.00
1982-01-11,59.88,,16.24,-5.46,21.00
1982-01-12,59.89,,22.13,0.98,21.00
1982-01-13,59.88,,22.53,-4.44,21.00
1982-01-14,59.89,,34.79,3.81,21.00
1982-01-15,59.88,,38.09,11.28,21.00
1982-01-16,51.97,,39.74,8.93,22.00
1982-01-17,51.97,,41.08,16.71,22.00
1982-01-18,50.96,,32.90,7.35,21.00
1982-01-19,50.97,,26.22,10.10,21.00
1982-01-20,50.97,,21.11,-0.27,21.00
1982-01-21,50.97,,25.91,12.23,21.00
1982-01-22,50.96,,20.25,-4.68,21.00
1982-01-23,51.97,,39.35,8.61,22.00
1982-01-24,50.97,,38.17,16.94,21.00
1982-01-25,35.86,,31.10,15.14,21.00
1982-01-26,57.37,,38.88,20.09,21.00
1982-01-27,59.66,,30.31,12.54,21.00
1982-01-28,50.97,,30.70,10.97,21.00
1982-01-29,51.97,,22.92,-0.74,22.00
1982-01-30,51.96,,18.67,4.52,22.00
1982-01-31,50.97,,35.42,9.71,21.00
1982-02-01,21.00,,26.54,5.70,21.00
1982-02-02,86.54,,23.71,3.03,21.00
1982-02-03,86.54,,16.87,-0.51,21.00
1982-02-04,86.54,,7.75,-16.23,21.00
1982-02-05,86.54,,7.20,-20.64,21.00
1982-02-06,86.54,,9.08,-17.49,21.00
1982-02-07,87.54,,17.18,-5.78,22.00
1982-02-08,87.54,,11.83,-12.70,22.00
1982-02-09,88.05,,17.10,-8.29,22.00
1982-02-10,87.54,,12.62,-15.45,22.00
1982-02-11,218.63,,21.50,-9.71,22.00
1982-02-12,-43.54,,26.93,-0.12,22.00
1982-02-13,88.54,,33.14,5.78,23.00
1982-02-14,88.54,,42.02,30.15,23.00
1982-02-15,88.54,,42.34,33.45,23.00
1982-02-16,123.54,,44.46,30.31,58.00
1982-02-17,163.97,,39.98,24.49,47.00
1982-02-18,153.46,,36.36,16.71,37.00
1982-02-19,153.97,,40.53,28.19,37.00
1982-02-20,158.46,,47.29,28.03,42.00
1982-02-21,151.58,,41.95,36.05,82.00
1982-02-22,173.58,,45.96,21.98,104.00
1982-02-23,132.58,,27.95,12.86,63.00
1982-02-24,116.58,,31.73,5.62,47.00
1982-02-25,111.07,,38.17,9.08,42.00
1982-02-26,109.58,,40.85,17.34,40.00
1982-02-27,110.58,,42.26,21.74,41.00
1982-02-28,110.58,,42.97,17.26,41.00
1982-03-01,89.38,,39.59,31.41,43.00
1982-03-02,148.80,,40.29,24.73,52.00
1982-03-03,143.81,,37.54,18.05,46.00
1982-03-04,138.79,,39.90,20.64,43.00
1982-03-05,139.32,,37.78,16.47,40.00
1982-03-06,137.82,,38.64,12.15,39.00
1982-03-07,140.33,,47.21,21.74,40.00
1982-03-08,157.33,,44.62,23.23,57.00
1982-03-09,115.18,,46.90,24.41,93.00
1982-03-10,125.20,,49.02,28.50,101.00
1982-03-11,218.37,,46.58,22.92,125.00
1982-03-12,194.37,,33.45,16.08,101.00
1982-03-13,184.37,,44.78,17.97,91.00
1982-03-14,187.37,,37.39,29.60,94.00
1982-03-15,210.37,,42.18,22.61,117.00
1982-03-16,143.75,,32.43,20.80,133.00
1982-03-17,140.76,,37.31,17.89,130.00
1982-03-18,157.75,,36.52,28.11,147.00
1982-03-19,102.94,,38.17,21.19,158.00
1982-03-20,102.94,,35.89,19.30,158.00
1982-03-21,100.94,,39.19,13.96,156.00
1982-03-22,100.94,,39.67,14.74,156.00
1982-03-23,100.94,,44.78,17.02,156.00
1982-03-24,142.96,,52.56,22.29,158.00
1982-03-25,144.96,,51.93,23.00,160.00
1982-03-26,167.96,,50.91,31.10,183.00
1982-03-27,163.96,,50.83,29.37,179.00
1982-03-28,173.96,,41.87,31.33,189.00
1982-03-29,173.96,,32.67,20.80,189.00
1982-03-30,200.08,,35.26,20.17,191.00
1982-03-31,200.08,,39.90,26.85,191.00
1982-04-01,216.08,,35.11,26.14,207.00
1982-04-02,220.19,,35.03,16.08,227.00
1982-04-03,260.19,,38.80,29.52,267.00
1982-04-04,396.60,,33.45,16.55,324.00
1982-04-05,502.60,,35.03,9.40,430.00
1982-04-06,235.81,,34.40,18.91,501.00
1982-04-07,229.81,,35.66,7.98,495.00
1982-04-08,31.87,,36.52,18.28,491.00
1982-04-09,38.88,,44.38,21.74,498.00
1982-04-10,145.87,,48.00,19.22,605.00
1982-04-11,265.27,,51.07,34.48,777.00
1982-04-12,336.27,,48.79,36.84,848.00
1982-04-13,1035.37,,52.87,34.71,930.00
1982-04-14,766.26,,44.15,31.73,735.00
1982-04-15,1226.43,,38.17,21.98,448.00
1982-04-16,527.67,,42.57,17.97,930.00
1982-04-17,504.16,,51.46,21.43,908.00
1982-04-18,502.75,,41.08,22.45,896.00
