date,bull_trout,lamprey,chinook,avg_temp(C),steelhead,coho,sockeye,shad
1999-01-01,,,,5.2,,,,
1999-01-02,,,,,,,,
1999-03-01,,,,,,,,
1999-03-02,,,,,,,,
1999-03-03,,,,,,,,
1999-03-04,,,,,,,,
1999-03-05,,,,,,,,
1999-03-06,,,,,,,,
1999-03-07,,,,,,,,
1999-03-08,,,,,,,,
1999-03-09,,,,,,,,
1999-03-10,,,,,,,,
1999-03-11,,,,,,,,
1999-03-12,,,,,,,,
1999-03-13,,,,,,,,
1999-03-14,,,,,,,,
1999-03-15,,,,,,,,
1999-03-16,,,,,,,,
1999-03-17,,,,,,,,
1999-03-18,,,,,,,,
1999-03-19,,,,,,,,
1999-03-20,,,,,,,,
1999-03-21,,,,,,,,
1999-03-22,,,,,,,,
1999-03-23,,,,,,,,
1999-03-24,,,,,,,,
1999-03-25,,,,,,,,
1999-03-26,,,,,,,,
1999-03-27,,,,,,,,
1999-03-28,,,,,,,,
1999-03-29,,,,,,,,
1999-03-30,,,,,,,,
1999-03-31,,,,4.4,,,,
1999-04-01,,,,4.3,,,,
1999-04-02,,,,4.4,,,,
1999-04-03,,,,4.5,,,,
1999-04-04,,,,4.5,,,,
1999-04-05,,,,4.6,,,,
1999-04-06,,,,4.7,,,,
1999-04-07,,,,4.8,,,,
1999-04-08,,,,4.9,,,,
1999-04-09,,,,4.9,,,,
1999-04-10,,,,5.0,,,,
1999-04-11,,,,5.2,,,,
1999-04-12,,,,5.5,,,,
1999-04-13,,,,5.5,,,,
1999-04-14,,,1.0,5.7,1.0,,,
1999-04-15,,,,6.0,4.0,,,
1999-04-16,,,,6.3,,,,
1999-04-17,,,2.0,6.5,2.0,,,
1999-04-18,,,1.0,6.7,1.0,,,
1999-04-19,,,,6.5,3.0,,,
1999-04-20,,,,6.6,,,,
1999-04-21,,,,6.7,2.0,,,
1999-04-22,,,,6.7,2.0,,,
1999-04-23,,,,6.9,4.0,,,
1999-04-24,,,,7.1,2.0,,,
1999-04-25,,,1.0,7.2,,,,
1999-04-26,,,1.0,7.2,,,,
1999-04-27,,,,7.2,4.0,,,
1999-04-28,,,3.0,7.2,2.0,,,
1999-04-29,1.0,,1.0,7.4,2.0,,,
1999-04-30,,,3.0,7.5,2.0,,,
1999-05-01,,,2.0,7.7,,,,
1999-05-02,1.0,,2.0,7.7,2.0,,,
1999-05-03,,,7.0,7.7,,,,
1999-05-04,,,12.0,7.8,2.0,,,
1999-05-05,,,25.0,7.9,2.0,,,
1999-05-06,,,7.0,8.0,2.0,,,
1999-05-07,,,18.0,8.0,1.0,,,
1999-05-08,,,32.0,8.2,,,,
1999-05-09,,,34.0,8.2,4.0,,,
1999-05-10,1.0,,37.0,8.5,1.0,,,
1999-05-11,1.0,,38.0,8.7,,,,
1999-05-12,,,102.0,8.8,2.0,,,
1999-05-13,,,121.0,8.9,,,,
1999-05-14,,,175.0,9.0,2.0,,,
1999-05-15,1.0,,176.0,9.2,,,,
1999-05-16,,,148.0,9.4,2.0,,,
1999-05-17,,,111.0,9.3,,,,
1999-05-18,,,149.0,9.4,2.0,,,
1999-05-19,,,141.0,9.5,1.0,,,
1999-05-20,,,210.0,9.7,,,,
1999-05-21,,,205.0,9.9,3.0,,,
1999-05-22,,,165.0,10.1,,,,
1999-05-23,1.0,,140.0,10.3,,,,
1999-05-24,1.0,,184.0,10.5,2.0,,,
1999-05-25,,,121.0,10.6,2.0,,,
1999-05-26,3.0,,91.0,10.5,2.0,,1.0,
1999-05-27,1.0,,87.0,10.5,,,,
1999-05-28,1.0,,178.0,10.5,,,1.0,
1999-05-29,,,131.0,10.3,6.0,,,
1999-05-30,2.0,,119.0,10.2,1.0,,,
1999-05-31,1.0,,143.0,10.0,,,,
1999-06-01,2.0,,99.0,10.1,,,,
1999-06-02,3.0,,94.0,10.1,,,,
1999-06-03,1.0,,50.0,10.1,,,,
1999-06-04,1.0,,86.0,10.4,2.0,,1.0,
1999-06-05,,,73.0,10.7,,,1.0,
