Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Ice Harbor,1999-04-01,Sp,,,67,23,,,,,,,,,7.7
Ice Harbor,1999-04-02,Sp,,,47,19,,,,,,,,,7.7
Ice Harbor,1999-04-03,Sp,,,26,6,,,,,,,,,7.6
Ice Harbor,1999-04-04,Sp,,,29,9,,,,,,,,,7.5
Ice Harbor,1999-04-05,Sp,,,35,8,,,,,,,,,7.5
Ice Harbor,1999-04-06,Sp,1,,16,2,,,,,,,,,7.4
Ice Harbor,1999-04-07,Sp,1,,36,14,,,,,,,,,7.5
Ice Harbor,1999-04-08,Sp,1,,24,8,,,,,,,,,7.6
Ice Harbor,1999-04-09,Sp,1,,26,18,,,,,,,,,7.6
Ice Harbor,1999-04-10,Sp,1,,33,11,,,,,,,,,7.8
Ice Harbor,1999-04-11,Sp,1,,34,14,,,,,,,,,8
Ice Harbor,1999-04-12,Sp,1,,27,10,,,,,,,,,8.1
Ice Harbor,1999-04-13,Sp,,,19,7,,,,,,,,,8.3
Ice Harbor,1999-04-14,Sp,,,16,3,,,,,,,,,8.6
Ice Harbor,1999-04-15,Sp,1,,15,2,,,,,,,,,8.9
Ice Harbor,1999-04-16,Sp,,,17,12,,,,,,,,,9
Ice Harbor,1999-04-17,Sp,,,11,7,,,,,,,,,9.4
Ice Harbor,1999-04-18,Sp,2,,18,12,,,,,,,,,9.6
Ice Harbor,1999-04-19,Sp,5,,9,2,,,,,,,,,9.5
Ice Harbor,1999-04-20,Sp,4,,22,5,,,,,,,,,9.6
Ice Harbor,1999-04-21,Sp,7,,23,9,,,,,,,,,9.8
Ice Harbor,1999-04-22,Sp,2,,17,7,,,,,,,,,10.2
Ice Harbor,1999-04-23,Sp,8,,30,8,,,,,,,,,10.5
Ice Harbor,1999-04-24,Sp,16,,17,3,,,,,,,,,10.8
Ice Harbor,1999-04-25,Sp,28,,24,8,,,,,,,,,10.8
Ice Harbor,1999-04-26,Sp,20,,21,6,,,,,,,,,10.8
Ice Harbor,1999-04-27,Sp,22,,22,15,,,,,,,,,10.6
Ice Harbor,1999-04-28,Sp,26,5,8,2,,,,,,,,,10.4
Ice Harbor,1999-04-29,Sp,33,,16,9,,,,,,,,,10.4
Ice Harbor,1999-04-30,Sp,73,1,8,1,,,,,,,,,10.7
Ice Harbor,1999-05-01,Sp,99,6,8,4,,,,,,,,,10.9
Ice Harbor,1999-05-02,Sp,92,12,16,7,,,,,,,,,11
Ice Harbor,1999-05-03,Sp,65,5,7,4,,,,,,,,,10.8
Ice Harbor,1999-05-04,Sp,80,15,1,1,,,,,,,,,10.6
Ice Harbor,1999-05-05,Sp,43,6,3,2,,,,,,,,,10.4
Ice Harbor,1999-05-06,Sp,43,11,4,,,,,,,,,,10.2
Ice Harbor,1999-05-07,Sp,149,15,8,6,,,,,,,,,10.1
Ice Harbor,1999-05-08,Sp,128,18,5,2,,,,,,,,,10.3
Ice Harbor,1999-05-09,Sp,130,22,5,1,,,,,,,,,10.4
Ice Harbor,1999-05-10,Sp,110,31,4,2,,,,,,,,,10.7
Ice Harbor,1999-05-11,Sp,74,41,2,1,,,,,,,,,10.7
Ice Harbor,1999-05-12,Sp,199,72,1,,,,,,,,,,10.7
Ice Harbor,1999-05-13,Sp,148,70,2,,,,,,,,,,10.9
Ice Harbor,1999-05-14,Sp,168,80,2,1,,,,,,,,,11.2
Ice Harbor,1999-05-15,Sp,226,123,2,,,,,,,,,,11.4
Ice Harbor,1999-05-16,Sp,201,132,3,,,,,,,,,,11.5
Ice Harbor,1999-05-17,Sp,162,121,5,5,,,,,,,,,11.4
Ice Harbor,1999-05-18,Sp,112,96,,,,,,,,,,,11.2
Ice Harbor,1999-05-19,Sp,163,117,,,,,,,,,,,11.4
Ice Harbor,1999-05-20,Sp,175,139,2,1,,,,,,,,,11.6
Ice Harbor,1999-05-21,Sp,232,202,6,6,,,,,,,,,12
Ice Harbor,1999-05-22,Sp,131,139,1,1,,,,,,,,,12.1
Ice Harbor,1999-05-23,Sp,97,99,1,,,,,,,,,,12.3
Ice Harbor,1999-05-24,Sp,123,113,3,,,,,,,,,,12.8
Ice Harbor,1999-05-25,Sp,92,99,,,,,,,,,,,13
Ice Harbor,1999-05-26,Sp,112,118,,,,,,,,,,,13.4
Ice Harbor,1999-05-27,Sp,60,37,,,,,,,,,,,13.7
Ice Harbor,1999-05-28,Sp,62,56,1,1,,,,,,,,,13.6
Ice Harbor,1999-05-29,Sp,67,62,1,,,,,,,,,,13.4
Ice Harbor,1999-05-30,Sp,46,34,,,,,,,,,,,13.1
Ice Harbor,1999-05-31,Sp,19,18,,,,,,,,,,,12.6
Ice Harbor,1999-06-01,Sp,15,23,1,,,,,,,,,,12.3
Ice Harbor,1999-06-02,Sp,67,58,,,,,,,,,,,12.1
Ice Harbor,1999-06-03,Sp,140,78,1,,,,,1,,,,,12.1
Ice Harbor,1999-06-04,Sp,118,63,,,,,,,,,,,12.3
Ice Harbor,1999-06-05,Sp,105,56,1,,,,,,,,,,12.3
Ice Harbor,1999-06-06,Sp,142,48,1,,,,,,,,,,12.4
Ice Harbor,1999-06-07,Sp,299,62,1,,,,,,,,,,12.4
Ice Harbor,1999-06-08,Sp,184,43,1,,,,,1,,,,,12.1
Ice Harbor,1999-06-09,Sp,133,43,,,,,,,,,,,11.9
Ice Harbor,1999-06-10,Sp,118,34,1,,,,,,,,,,11.9
Ice Harbor,1999-06-11,Sp,168,34,7,,,,,,,,,,12.6
Ice Harbor,1999-06-12,Su,228,41,3,,,,,,,,,,12.9
Ice Harbor,1999-06-13,Su,171,55,8,,,,,,,,,,12.9
