Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Lower Monumental,1999-04-01,Sp,,,69,9,,,,,,,,,7.3
Lower Monumental,1999-04-02,Sp,,,61,6,,,,,,,,,7.3
Lower Monumental,1999-04-03,Sp,,,50,9,,,,,,,,,7.3
Lower Monumental,1999-04-04,Sp,,,35,6,,,,,,,,,7.2
Lower Monumental,1999-04-05,Sp,,,32,5,,,,,,,,,7.2
Lower Monumental,1999-04-06,Sp,,,28,3,,,,,,,,,7.2
Lower Monumental,1999-04-07,Sp,,,15,2,,,,,,,,,7.3
Lower Monumental,1999-04-08,Sp,2,,19,4,,,,,,,,,7.5
Lower Monumental,1999-04-09,Sp,,,20,4,,,,,,,,,7.6
Lower Monumental,1999-04-10,Sp,,,19,2,,,,,,,,,7.8
Lower Monumental,1999-04-11,Sp,,,20,4,,,,,,,,,8.1
Lower Monumental,1999-04-12,Sp,,,9,1,,,,,,,,,8.2
Lower Monumental,1999-04-13,Sp,1,,18,1,,,,,,,,,8.3
Lower Monumental,1999-04-14,Sp,,,23,3,,,,,,,,,8.7
Lower Monumental,1999-04-15,Sp,1,,13,3,,,,,,,,,8.8
Lower Monumental,1999-04-16,Sp,,,12,2,,,,,,,,,9.1
Lower Monumental,1999-04-17,Sp,,,18,6,,,,,,,,,9.2
Lower Monumental,1999-04-18,Sp,2,,8,1,,,,,,,,,9.3
Lower Monumental,1999-04-19,Sp,,,12,4,,,,,,,,,9.4
Lower Monumental,1999-04-20,Sp,2,,10,4,,,,,,,,,9.7
Lower Monumental,1999-04-21,Sp,5,,10,5,,,,,,,,,9.8
Lower Monumental,1999-04-22,Sp,1,1,13,8,,,,,,,,,10.1
Lower Monumental,1999-04-23,Sp,5,,5,5,,,,,,,,,10.3
Lower Monumental,1999-04-24,Sp,5,1,-1,1,,,,,,,,,10.6
Lower Monumental,1999-04-25,Sp,8,,7,2,,,,,,,,,10.5
Lower Monumental,1999-04-26,Sp,13,1,6,1,,,,,,,,,10.2
Lower Monumental,1999-04-27,Sp,8,,7,2,,,,,,,,,10.1
Lower Monumental,1999-04-28,Sp,30,1,7,5,,,,,,,,,10.2
Lower Monumental,1999-04-29,Sp,12,,9,4,,,,,,,,,10.4
Lower Monumental,1999-04-30,Sp,23,2,5,2,,,,,,,,,10.7
Lower Monumental,1999-05-01,Sp,23,2,2,2,,,,,,,,,10.8
Lower Monumental,1999-05-02,Sp,18,5,5,2,,,,,,,,,10.6
Lower Monumental,1999-05-03,Sp,37,2,5,2,,,,,,,,,10.3
Lower Monumental,1999-05-04,Sp,42,7,1,,,,,,,,,,9.8
Lower Monumental,1999-05-05,Sp,39,9,,,,,,,,,,,9.5
Lower Monumental,1999-05-06,Sp,44,10,,,,,,,,,,,9.9
Lower Monumental,1999-05-07,Sp,55,17,4,1,,,,,,,,,10
Lower Monumental,1999-05-08,Sp,60,16,4,,,,,,,,,,10.2
Lower Monumental,1999-05-09,Sp,102,21,8,,,,,,,,,,10.2
Lower Monumental,1999-05-10,Sp,54,14,2,1,,,,,,,,,10.4
Lower Monumental,1999-05-11,Sp,36,17,3,-1,,,,,,,,,10.4
Lower Monumental,1999-05-12,Sp,93,43,2,,,,,,,,,,10.8
Lower Monumental,1999-05-13,Sp,139,65,,,,,,,,,,,11
Lower Monumental,1999-05-14,Sp,161,71,,,,,,,,,,,11
Lower Monumental,1999-05-15,Sp,68,55,10,,,,,,,,,,10.7
Lower Monumental,1999-05-16,Sp,144,104,3,1,,,,,,,,,10.6
Lower Monumental,1999-05-17,Sp,119,93,1,1,,,,,,,,,10.7
Lower Monumental,1999-05-18,Sp,139,112,1,,,,,,,,,,10.9
Lower Monumental,1999-05-19,Sp,140,150,,,,,,,,,,,11.4
Lower Monumental,1999-05-20,Sp,70,101,,,,,,,,,,,11.6
Lower Monumental,1999-05-21,Sp,135,161,2,1,,,,,,,,,11.5
Lower Monumental,1999-05-22,Sp,81,153,-3,-1,,,,,,,,,11.7
Lower Monumental,1999-05-23,Sp,209,201,1,1,,,,,,,,,12.2
Lower Monumental,1999-05-24,Sp,52,94,,,,,,,,,,,12.5
Lower Monumental,1999-05-25,Sp,88,113,5,2,,,,,,,,,13
Lower Monumental,1999-05-26,Sp,93,107,2,1,,,,,,,,,13.4
Lower Monumental,1999-05-27,Sp,91,96,,,,,,,,,,,13.2
Lower Monumental,1999-05-28,Sp,76,73,,,,,,,,,,,13
Lower Monumental,1999-05-29,Sp,37,62,,,,,,,,,,,12.7
Lower Monumental,1999-05-30,Sp,40,35,1,,,,,,,,,,12.4
Lower Monumental,1999-05-31,Sp,25,32,,,,,,,,,,,12.1
Lower Monumental,1999-06-01,Sp,26,25,,,,,,,,,,,12
Lower Monumental,1999-06-02,Sp,33,35,,,,,,,,,,,11.9
Lower Monumental,1999-06-03,Sp,32,23,,,,,,,,,,,11.8
Lower Monumental,1999-06-04,Sp,63,58,,,,,,,,,,,11.9
Lower Monumental,1999-06-05,Sp,108,85,1,,,,,,,,,,12.3
Lower Monumental,1999-06-06,Sp,144,88,,,,,,,,,,,12.2
Lower Monumental,1999-06-07,Sp,91,61,1,1,,,,,,,,,11.8
