Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
John Day,1969-04-01,Sp,34.0,,141.0,,,,,,,,,,
John Day,1969-04-02,Sp,26.0,,195.0,,,,,,3.0,,,,
John Day,1969-04-03,Sp,26.0,,181.0,,,,,,1.0,,,,
John Day,1969-04-04,Sp,16.0,,176.0,,,,,,,,,,
John Day,1969-04-05,Sp,8.0,,172.0,,,,,,1.0,,,,
John Day,1969-04-06,Sp,20.0,,151.0,,,,,,3.0,,,,
John Day,1969-04-07,Sp,24.0,,124.0,,,,,,9.0,,,,
John Day,1969-04-08,Sp,7.0,,73.0,,,,,,1.0,,,,
John Day,1969-04-09,Sp,4.0,,74.0,,,,,,3.0,,,,
John Day,1969-04-10,Sp,3.0,,76.0,,,,,,19.0,,,,
John Day,1969-04-11,Sp,12.0,,129.0,,,,,,7.0,,,,
John Day,1969-04-12,Sp,15.0,,158.0,,,,,,20.0,,,,
John Day,1969-04-13,Sp,11.0,,114.0,,,,,,11.0,,,,
John Day,1969-04-14,Sp,6.0,,56.0,,,,,,,,,,
John Day,1969-04-15,Sp,19.0,,85.0,,,,,,23.0,,,,
John Day,1969-04-16,Sp,17.0,,87.0,,,,,,10.0,,,,
John Day,1969-04-17,Sp,20.0,,76.0,,,,,,22.0,,,,
John Day,1969-04-18,Sp,27.0,,70.0,,,,,,16.0,,,,
John Day,1969-04-19,Sp,36.0,,101.0,,,,,,51.0,,,,
John Day,1969-04-20,Sp,80.0,,127.0,,,,,,77.0,,,,
John Day,1969-04-21,Sp,78.0,,138.0,,,,,,79.0,,,,
John Day,1969-04-22,Sp,99.0,,138.0,,,,,,33.0,,,,
John Day,1969-04-23,Sp,147.0,,171.0,,,,,,30.0,,,,
John Day,1969-04-24,Sp,164.0,,144.0,,,,,,30.0,,,,
John Day,1969-04-25,Sp,273.0,,155.0,,,,,,25.0,,,,
John Day,1969-04-26,Sp,262.0,,184.0,,,,,,41.0,,,,
John Day,1969-04-27,Sp,207.0,,171.0,,,,,,12.0,,,,
John Day,1969-04-28,Sp,137.0,,110.0,,,,,,42.0,,,,
John Day,1969-04-29,Sp,732.0,,160.0,,,,,,17.0,,,,
John Day,1969-04-30,Sp,1756.0,,249.0,,,,,,90.0,,,,
John Day,1969-05-01,Sp,1043.0,,130.0,,,,,,12.0,,,,
John Day,1969-05-02,Sp,322.0,,67.0,,,,,,7.0,,,,
John Day,1969-05-03,Sp,780.0,,64.0,,,,,,,,,,
John Day,1969-05-04,Sp,1653.0,,112.0,,,,,,8.0,,,,
John Day,1969-05-05,Sp,2203.0,,121.0,,,,,,15.0,,,,
John Day,1969-05-06,Sp,2995.0,,195.0,,,,,,73.0,,,,
John Day,1969-05-07,Sp,5207.0,,255.0,,,,,,134.0,,,,
John Day,1969-05-08,Sp,3839.0,,223.0,,,,,,367.0,,,,
John Day,1969-05-09,Sp,4160.0,,258.0,,,,,,457.0,,,,
John Day,1969-05-10,Sp,5679.0,,254.0,,,,,,830.0,,,,
John Day,1969-05-11,Sp,6096.0,,253.0,,,,,,1040.0,,,,
John Day,1969-05-12,Sp,4574.0,,189.0,,,,,,1141.0,,,,
John Day,1969-05-13,Sp,4435.0,,174.0,,,,,1.0,952.0,,,,
John Day,1969-05-14,Sp,3968.0,,171.0,,,,,,308.0,,,,
John Day,1969-05-15,Sp,2660.0,,208.0,,,,,,367.0,,,,
