Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Priest Rapids,1962-04-16,Sp,,,1.0,,,,,,,,,,
Priest Rapids,1962-04-17,Sp,,,1.0,,,,,,,,,,
Priest Rapids,1962-04-18,Sp,1.0,,1.0,,,,,,,,,,
Priest Rapids,1962-04-19,Sp,,,5.0,,,,,,,,,,
Priest Rapids,1962-04-20,Sp,2.0,1.0,10.0,,,,,,,,,,
Priest Rapids,1962-04-21,Sp,1.0,,10.0,,,,,,,,,,
Priest Rapids,1962-04-22,Sp,,,2.0,,,,,,,,,,
Priest Rapids,1962-04-23,Sp,1.0,1.0,4.0,,,,,,,,,,
Priest Rapids,1962-04-24,Sp,5.0,1.0,35.0,,,,,,,,,,
Priest Rapids,1962-04-25,Sp,9.0,1.0,7.0,,,,,,,,,,
Priest Rapids,1962-04-26,Sp,1.0,,11.0,,,,,,,,,,
Priest Rapids,1962-04-27,Sp,7.0,3.0,10.0,,,,,,,,,,
Priest Rapids,1962-04-28,Sp,9.0,1.0,25.0,,,,,,,,,,
Priest Rapids,1962-04-29,Sp,17.0,,8.0,,,,,,,,,,
Priest Rapids,1962-04-30,Sp,4.0,1.0,3.0,,,,,,,,,,
Priest Rapids,1962-05-01,Sp,16.0,2.0,11.0,,,,,,,,,,
Priest Rapids,1962-05-02,Sp,73.0,4.0,23.0,,,,,,,,,,
Priest Rapids,1962-05-03,Sp,279.0,2.0,22.0,,,,,,,,,,
Priest Rapids,1962-05-04,Sp,283.0,4.0,34.0,,,,,,,,,,
Priest Rapids,1962-05-05,Sp,317.0,4.0,14.0,,,,,,,,,,
Priest Rapids,1962-05-06,Sp,389.0,5.0,24.0,,,,,,,,,,
Priest Rapids,1962-05-07,Sp,520.0,11.0,18.0,,,,,,,,,,
Priest Rapids,1962-05-08,Sp,231.0,7.0,25.0,,,,,,,,,,
Priest Rapids,1962-05-09,Sp,139.0,12.0,8.0,,,,,,,,,,
Priest Rapids,1962-05-10,Sp,366.0,10.0,14.0,,,,,,,,,,
Priest Rapids,1962-05-11,Sp,461.0,20.0,27.0,,,,,,,,,,
Priest Rapids,1962-05-12,Sp,614.0,19.0,21.0,,,,,,,,,,
Priest Rapids,1962-05-13,Sp,213.0,15.0,11.0,,,,,,,,,,
Priest Rapids,1962-05-14,Sp,142.0,7.0,24.0,,,,,,,,,,
Priest Rapids,1962-05-15,Sp,344.0,29.0,18.0,,,,,,,,,,
Priest Rapids,1962-05-16,Sp,181.0,27.0,21.0,,,,,,,,,,
Priest Rapids,1962-05-17,Sp,316.0,29.0,24.0,,,,,,,,,,
Priest Rapids,1962-05-18,Sp,133.0,17.0,21.0,,,,,,,,,,
Priest Rapids,1962-05-19,Sp,220.0,39.0,24.0,,,,,,,,,,
Priest Rapids,1962-05-20,Sp,181.0,31.0,16.0,,,,,,,,,,
Priest Rapids,1962-05-21,Sp,30.0,25.0,12.0,,,,,,,,,,
Priest Rapids,1962-05-22,Sp,58.0,36.0,13.0,,,,,,,,,,
Priest Rapids,1962-05-23,Sp,41.0,25.0,14.0,,,,,,,,,,
Priest Rapids,1962-05-24,Sp,17.0,17.0,4.0,,,,,,,,,,
Priest Rapids,1962-05-25,Sp,40.0,37.0,5.0,,,,,,,,,,
Priest Rapids,1962-05-26,Sp,28.0,22.0,9.0,,,,,,,,,,
Priest Rapids,1962-05-27,Sp,62.0,40.0,27.0,,,,,,,,,,
Priest Rapids,1962-05-28,Sp,82.0,20.0,12.0,,,,,,,,,,
Priest Rapids,1962-05-29,Sp,27.0,27.0,16.0,,,,,,,,,,
Priest Rapids,1962-05-30,Sp,21.0,20.0,8.0,,,,,,,,,,
Priest Rapids,1962-05-31,Sp,24.0,23.0,10.0,,,,,,,,,,
Priest Rapids,1962-06-01,Sp,17.0,21.0,9.0,,1.0,,,,,,,,
Priest Rapids,1962-06-02,Sp,56.0,30.0,13.0,,,,,,,,,,
Priest Rapids,1962-06-03,Sp,30.0,14.0,14.0,,,,,,,,,,
Priest Rapids,1962-06-04,Sp,21.0,29.0,4.0,,2.0,,,,,,,,
Priest Rapids,1962-06-05,Sp,65.0,32.0,2.0,,,,,,,,,,
Priest Rapids,1962-06-06,Sp,19.0,17.0,,,,,,,,,,,
Priest Rapids,1962-06-07,Sp,20.0,23.0,2.0,,,,,,,,,,
Priest Rapids,1962-06-08,Sp,21.0,24.0,2.0,,,,,,,,,,
Priest Rapids,1962-06-09,Sp,49.0,34.0,5.0,,,,,,,,,,
Priest Rapids,1962-06-10,Sp,31.0,18.0,1.0,,,,,,,,,,
Priest Rapids,1962-06-11,Sp,18.0,12.0,2.0,,,,,,,,,,
Priest Rapids,1962-06-12,Sp,11.0,6.0,,,,,,,,,,,
Priest Rapids,1962-06-13,Sp,12.0,10.0,1.0,,,,,,,,,,
Priest Rapids,1962-06-14,Su,22.0,12.0,2.0,,,,,,,,,,
Priest Rapids,1962-06-15,Su,30.0,8.0,,,,,,,,,,,
Priest Rapids,1962-06-16,Su,70.0,28.0,,,,,,,,,,,
Priest Rapids,1962-06-17,Su,59.0,10.0,,,,,,,,,,,
Priest Rapids,1962-06-18,Su,35.0,11.0,1.0,,,,,,,,,,
