Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Wells,1977-05-01,Sp,149.0,3.0,8.0,,,,,,,,,,
Wells,1977-05-02,Sp,62.0,2.0,1.0,,,,,,,,,,
Wells,1977-05-03,Sp,129.0,,,,,,,,,,,,
Wells,1977-05-04,Sp,139.0,2.0,5.0,,,,,,,,,,
Wells,1977-05-05,Sp,107.0,2.0,2.0,,,,,,,,,,
Wells,1977-05-06,Sp,116.0,2.0,,,,,,,,,,,
Wells,1977-05-07,Sp,228.0,10.0,,,,,,,,,,,
Wells,1977-05-08,Sp,239.0,12.0,6.0,,,,,,,,,,
Wells,1977-05-09,Sp,59.0,5.0,,,,,,,,,,,
Wells,1977-05-10,Sp,32.0,,1.0,,,,,,,,,,
Wells,1977-05-11,Sp,45.0,1.0,1.0,,,,,,,,,,
Wells,1977-05-12,Sp,275.0,4.0,1.0,,,,,,,,,,
Wells,1977-05-13,Sp,297.0,4.0,,,,,,,,,,,
Wells,1977-05-14,Sp,289.0,7.0,3.0,,,,,,,,,,
Wells,1977-05-15,Sp,348.0,10.0,1.0,,,,,,,,,,
Wells,1977-05-16,Sp,122.0,7.0,1.0,,,,,,,,,,
Wells,1977-05-17,Sp,27.0,,,,,,,,,,,,
Wells,1977-05-18,Sp,39.0,1.0,,,,,,,,,,,
Wells,1977-05-19,Sp,71.0,1.0,,,,,,,,,,,
Wells,1977-05-20,Sp,53.0,2.0,1.0,,,,,,,,,,
Wells,1977-05-21,Sp,309.0,6.0,1.0,,,,,,,,,,
Wells,1977-05-22,Sp,51.0,1.0,1.0,,,,,,,,,,
Wells,1977-05-23,Sp,36.0,4.0,2.0,,,,,,,,,,
Wells,1977-05-24,Sp,11.0,,,,,,,,,,,,
Wells,1977-05-25,Sp,21.0,2.0,,,1.0,,,,,,,,
Wells,1977-05-26,Sp,38.0,2.0,1.0,,,,,,,,,,
Wells,1977-05-27,Sp,25.0,4.0,1.0,,,,,,,,,,
Wells,1977-05-28,Sp,28.0,3.0,1.0,,,,,,,,,,
Wells,1977-05-29,Sp,74.0,6.0,,,,,,,,,,,
Wells,1977-05-30,Sp,29.0,7.0,,,,,,,,,,,
Wells,1977-05-31,Sp,26.0,,,,,,,,,,,,
Wells,1977-06-01,Sp,13.0,,,,,,,,,,,,
Wells,1977-06-02,Sp,23.0,3.0,,,,,,,,,,,
Wells,1977-06-03,Sp,4.0,2.0,,,,,,,,,,,
Wells,1977-06-04,Sp,18.0,3.0,,,,,,,,,,,
Wells,1977-06-05,Sp,18.0,5.0,,,,,,,,,,,
Wells,1977-06-06,Sp,21.0,11.0,,,,,,,,,,,
Wells,1977-06-07,Sp,15.0,5.0,2.0,,,,,,,,,,
Wells,1977-06-08,Sp,19.0,6.0,2.0,,,,,,,,,,
Wells,1977-06-09,Sp,22.0,7.0,,,,,,,,,,,
Wells,1977-06-10,Sp,13.0,5.0,,,,,,,,,,,
Wells,1977-06-11,Sp,9.0,3.0,,,,,,,,,,,
Wells,1977-06-12,Sp,149.0,9.0,1.0,,,,,,,,,,
Wells,1977-06-13,Sp,4.0,1.0,1.0,,,,,,,,,,
Wells,1977-06-14,Sp,9.0,3.0,1.0,,,,,,,,,,
Wells,1977-06-15,Sp,3.0,2.0,,,,,,,,,,,
Wells,1977-06-16,Sp,4.0,3.0,,,,,,,,,,,
Wells,1977-06-17,Sp,2.0,,,,,,,,,,,,
Wells,1977-06-18,Sp,3.0,1.0,,,,,,,,,,,
Wells,1977-06-19,Sp,15.0,7.0,,,,,,,,,,,
Wells,1977-06-20,Sp,23.0,8.0,,,2.0,,,,,,,,
Wells,1977-06-21,Sp,8.0,2.0,,,5.0,,,,,,,,
Wells,1977-06-22,Sp,10.0,2.0,1.0,,1.0,,,,,,,,
Wells,1977-06-23,Sp,6.0,3.0,2.0,,9.0,,,,,,,,
Wells,1977-06-24,Sp,6.0,3.0,1.0,,13.0,,,,,,,,
Wells,1977-06-25,Sp,16.0,7.0,2.0,,21.0,,,,,,,,
Wells,1977-06-26,Sp,33.0,14.0,,,23.0,,,,,,,,
Wells,1977-06-27,Sp,12.0,6.0,4.0,,38.0,,,,,,,,
Wells,1977-06-28,Sp,24.0,4.0,2.0,,52.0,,,,,,,,
