ReachID,Name,RiverID,ClimateClass,RKm,WidthMean
2,Akolkolex_River_2,1,27,10,850
3,Akolkolex_River_3,1,27,20,
4,Akolkolex_River_4,1,27,30,
5,Beaver_River_1,2,27,0,965
6,Beaver_River_2,2,27,10,965
7,Beaver_River_3,2,27,20,
8,Beaver_River_4,2,27,30,
9,Beaver_River_5,2,27,40,
10,Beaver_River_6,2,27,50,
11,Beaver_River_7,2,27,60,
12,Blaeberry_River_1,3,27,0,965
13,Blaeberry_River_2,3,27,10,965
14,Blaeberry_River_3,3,27,20,
15,Blaeberry_River_4,3,27,30,
16,Blaeberry_River_5,3,27,40,
17,Blaeberry_River_6,3,27,50,
18,Blaeberry_River_7,3,29,60,
19,Bluewater_Creek_1,4,27,0,965
20,Bluewater_Creek_2,4,27,10,965
21,Bluewater_Creek_3,4,27,20,
22,Bluewater_Creek_4,4,29,30,
23,Bluewater_Creek_5,4,29,40,
24,Bush_River_1,5,27,0,1575
25,Bush_River_2,5,27,10,1575
26,Bush_River_3,5,27,20,
27,Bush_River_4,5,27,30,
28,Bush_River_5,5,27,40,
29,Canoe_River_1,6,26,0,1397
30,Canoe_River_2,6,27,10,1397
31,Canoe_River_3,6,27,20,1397
32,Canoe_River_4,6,27,30,
33,Canoe_River_5,6,27,40,
34,Canoe_River_6,6,29,50,
35,Chelan_River_1,7,7,0,655
36,Clatskanie_River_1,8,9,0,3558
37,Clatskanie_River_2,8,9,10,3558
38,Clatskanie_River_3,8,9,20,
39,Clatskanie_River_4,8,9,30,
40,Clatskanie_River_5,8,9,40,
41,Clatskanie_River_6,8,9,50,
42,Columbia_River_1,9,9,0,3558
43,Columbia_River_10,9,9,90,3558
44,Columbia_River_100,9,7,990,1237
45,Columbia_River_101,9,7,1000,1237
46,Columbia_River_102,9,7,1010,1237
47,Columbia_River_103,9,7,1020,1237
48,Columbia_River_104,9,7,1030,1094
49,Columbia_River_105,9,7,1040,1575
50,Columbia_River_106,9,7,1050,1575
51,Columbia_River_107,9,7,1060,1575
52,Columbia_River_108,9,7,1070,1575
53,Columbia_River_109,9,26,1080,1575
