date,mcnary,priest_rapids,prosser,ice_harbor,year,delta,460.0,470.0,480.0,490.0,500.0,510.0,520.0,530.0,540.0,550.0,560.0,570.0,580.0,590.0,600.0,610.0,620.0,mean_temp,run,delta_ratio,group_5_year,month,day,doy,outflow(m3/d),days_from_fall
1982-11-21,0.0,49.0,0.0,0.0,1982,-49.0,,,,,,,,,,,,11.34,11.35,11.24,,11.33,11.28,11.308000000000002,,-inf,,11,21,325,217916125.28640002,105
1982-11-28,0.0,0.0,0.0,0.0,1982,0.0,,,,9.67,9.67,9.67,,,,,,,,,,,,9.67,,,,11,28,332,249179814.2098286,112
1982-12-26,0.0,0.0,0.0,0.0,1982,0.0,,,,,,,,,,,6.17,,,6.35,,,,6.26,,,,12,26,360,201779238.56091428,140
1983-02-06,0.0,0.0,0.0,0.0,1983,0.0,3.26,3.22,3.34,3.36,3.48,3.72,3.46,3.13,3.37,3.37,3.34,,3.07,3.53,3.24,3.43,3.2,3.345,,,,2,6,37,341254785.81394285,-183
1983-08-14,722.0,616.0,0.0,40.0,1983,66.0,20.99,20.97,21.01,21.77,21.49,21.14,20.69,20.34,21.4,21.25,20.86,20.43,20.53,20.5,19.82,20.25,19.77,20.777058823529412,fall,0.09141274238227147,,8,14,226,343921548.77074283,6
1983-11-20,0.0,111.0,0.0,0.0,1983,-111.0,11.13,,10.45,10.41,,,,,,,,,,,,,,10.663333333333334,,-inf,,11,20,324,213096379.392,104
1984-04-22,0.0,0.0,0.0,0.0,1984,0.0,,9.0,9.0,,,,,,8.26,,,,,,,,,8.753333333333332,spring,,,4,22,113,358143119.5062857,-108
1984-04-29,0.0,0.0,0.0,0.0,1984,0.0,,,,,,,,,,,,9.06,8.15,8.93,8.25,8.88,8.18,8.575000000000001,spring,,,4,29,120,393597435.9332571,-101
1984-05-06,0.0,0.0,0.0,0.0,1984,0.0,10.96,11.15,11.21,10.72,10.32,10.46,10.29,10.33,11.1,11.07,11.15,9.55,,10.48,8.77,8.56,9.2,10.3325,spring,,,5,6,127,388134591.23931426,-94
1984-05-20,0.0,0.0,0.0,0.0,1984,0.0,,12.23,12.0,12.28,12.21,12.39,,,,,,,,,,,,12.222000000000001,spring,,,5,20,141,354403360.1828571,-80
1984-05-27,0.0,0.0,0.0,0.0,1984,0.0,,,,13.86,13.35,,,,,,,,12.31,12.31,12.31,,,12.828,spring,,,5,27,148,320951737.3001143,-73
1984-06-03,0.0,0.0,0.0,0.0,1984,0.0,14.89,14.94,15.99,14.42,14.75,14.75,14.22,14.02,13.72,13.57,13.14,13.66,13.71,13.83,12.84,13.35,12.93,14.04294117647059,spring,,,6,3,155,315191808.9216,-66
1984-06-10,0.0,0.0,0.0,0.0,1984,0.0,,,,,,,,,,,,,,14.05,13.73,,13.84,13.873333333333335,summer,,,6,10,162,313140183.9469714,-59
1984-06-24,0.0,0.0,0.0,0.0,1984,0.0,15.99,15.58,17.21,16.07,15.76,16.59,17.42,14.82,16.37,16.21,15.02,14.14,,,,,,15.931666666666667,summer,,,6,24,176,390972614.2025143,-45
1984-07-01,0.0,0.0,0.0,0.0,1984,0.0,,,,16.35,16.99,,,,,,,,15.73,15.73,15.73,15.73,15.73,15.998571428571427,summer,,,7,1,183,441032962.6038857,-38
1984-07-08,0.0,0.0,0.0,0.0,1984,0.0,18.66,19.89,19.0,17.7,17.6,19.25,18.1,18.25,18.44,18.31,17.03,17.96,17.25,16.63,16.8,17.86,16.53,17.956470588235295,summer,,,7,8,190,399752310.85714287,-31
1984-07-15,0.0,0.0,0.0,0.0,1984,0.0,,,,18.26,18.3,,,,,,,,,,,,,18.28,summer,,,7,15,197,303556613.7929143,-24
1984-07-29,0.0,0.0,0.0,0.0,1984,0.0,,,,,,,,,,,,,18.7,18.57,,18.57,19.05,18.7225,summer,,,7,29,211,258759889.26171428,-10
1984-09-02,5050.0,1721.0,0.0,225.0,1984,3104.0,,,,,,,,,,,,,,19.03,19.45,20.73,19.77,19.745,fall,0.6146534653465346,,9,2,246,222634513.21782857,25
1984-09-16,19240.0,1735.0,0.0,473.0,1984,17032.0,,,,,,,,,,,,,,19.25,19.15,18.93,18.67,19.0,fall,0.8852390852390852,,9,16,260,187197672.30171427,39
1984-09-23,23560.0,758.0,0.0,431.0,1984,22371.0,17.98,18.01,16.88,,,18.01,17.27,,17.57,17.57,17.57,17.78,17.76,17.76,,,18.15,17.6925,fall,0.9495331069609507,,9,23,267,170005264.72045714,46
1984-09-30,18361.0,964.0,0.0,476.0,1984,16921.0,,,,,,,,,,,,,,18.06,18.07,17.95,,18.026666666666667,fall,0.9215728990795709,,9,30,274,157768912.01828572,53
1984-10-07,11156.0,1026.0,0.0,133.0,1984,9997.0,,,18.32,17.96,17.98,18.02,,,,,,,,,,,,18.07,fall,0.8961097167443528,,10,7,281,201660405.08708572,60
1984-10-21,2038.0,555.0,0.0,46.0,1984,1437.0,,,15.14,15.2,14.97,14.93,,,,,,,,,,,,15.059999999999999,fall,0.7051030421982336,,10,21,295,203477858.21622857,74
1984-12-09,0.0,0.0,0.0,0.0,1984,0.0,,,,,,,,,,,,8.56,8.38,8.59,8.33,8.52,8.61,8.498333333333333,,,,12,9,344,265854946.6697143,123
1985-02-03,0.0,0.0,0.0,0.0,1985,0.0,,,,,,,,,,,,,,,2.64,,,2.64,,,,2,3,34,376621724.68662864,-186
1985-02-17,0.0,0.0,0.0,0.0,1985,0.0,,,,,,,,,,,,,1.71,3.07,2.53,2.36,,2.4174999999999995,,,,2,17,48,343502136.5101715,-172
1985-02-24,0.0,0.0,0.0,0.0,1985,0.0,,,,3.21,3.41,,,,,,,,,,,,,3.31,,,,2,24,55,345455898.624,-165
1985-03-10,0.0,0.0,0.0,0.0,1985,0.0,,,,,,,,,,,,3.72,3.73,3.83,3.7,3.89,3.79,3.776666666666667,,,,3,10,69,304315050.9641143,-151
1985-03-24,0.0,0.0,0.0,0.0,1985,0.0,,,,,,,,,,,,,,4.56,4.56,,,4.56,,,,3,24,83,261321799.15337142,-137
1985-03-31,0.0,0.0,0.0,0.0,1985,0.0,,,,,,,,,,,,4.48,4.63,4.62,4.92,4.7,4.43,4.63,,,,3,31,90,267179590.3926857,-130
1985-04-14,0.0,0.0,0.0,0.0,1985,0.0,,,,,,,,,,,,6.77,6.21,6.18,6.02,6.01,6.03,6.203333333333333,spring,,,4,14,104,149555421.91542858,-116
1985-04-21,0.0,0.0,0.0,0.0,1985,0.0,8.65,8.45,8.74,,8.71,8.36,8.01,8.34,8.18,,7.44,7.17,6.99,7.09,7.13,7.29,7.06,7.8406666666666665,spring,,,4,21,111,275525894.3780571,-109
1985-05-05,0.0,0.0,0.0,0.0,1985,0.0,10.6,10.2,11.32,11.71,10.31,10.78,9.96,10.21,10.04,9.03,9.17,8.98,9.21,9.32,9.79,8.91,9.4,9.937647058823531,spring,,,5,5,125,321940851.2146286,-95
1985-05-12,0.0,0.0,0.0,0.0,1985,0.0,,,,,,,,,,,,11.39,10.79,10.3,10.14,9.94,9.66,10.37,spring,,,5,12,132,390088353.35314286,-88
1985-05-26,0.0,0.0,0.0,0.0,1985,0.0,12.95,13.12,12.53,12.68,13.11,12.8,12.24,11.74,12.05,11.4,10.92,12.19,11.76,11.53,11.15,11.4,11.74,12.077058823529413,spring,,,5,26,146,304629610.15954286,-74
1985-06-16,0.0,0.0,0.0,0.0,1985,0.0,,,17.48,15.04,15.35,14.82,,,,,,,,,,,,15.6725,summer,,,6,16,167,250340188.13074285,-53
1985-06-23,0.0,0.0,0.0,0.0,1985,0.0,15.55,17.0,17.93,16.29,16.96,16.28,14.45,13.76,17.14,15.32,15.8,15.49,14.56,14.7,14.59,14.9,14.93,15.626470588235293,summer,,,6,23,174,293015385.64388573,-46
1985-06-30,0.0,0.0,0.0,0.0,1985,0.0,,,,,,,,,,,,,15.82,16.02,15.99,15.48,16.78,16.018,summer,,,6,30,181,266155525.45645714,-39
1985-07-07,0.0,0.0,0.0,0.0,1985,0.0,,,18.99,17.2,17.55,17.39,,,,,,,,,,,,17.7825,summer,,,7,7,188,232623515.22377142,-32
1985-07-14,0.0,0.0,0.0,0.0,1985,0.0,17.9,20.98,20.93,17.98,19.47,19.29,17.94,18.5,17.81,17.17,16.49,17.61,17.43,16.94,16.83,16.99,17.09,18.07941176470588,summer,,,7,14,195,176534115.5766857,-25
1985-07-21,0.0,0.0,0.0,0.0,1985,0.0,,,21.38,19.84,20.25,20.19,,,,,,,16.26,17.26,17.32,17.54,17.02,18.562222222222225,summer,,,7,21,202,198609180.89142856,-18
1985-07-28,0.0,0.0,0.0,0.0,1985,0.0,19.77,20.27,22.25,20.3,20.49,19.81,19.86,19.78,20.27,17.96,16.82,17.87,17.06,16.88,16.95,17.83,17.44,18.918235294117647,summer,,,7,28,209,185977881.6438857,-11
1985-08-18,2949.0,2000.0,0.0,123.0,1985,826.0,,,22.1,21.64,21.84,21.25,,,,,,,19.41,19.55,19.54,19.64,19.49,20.495555555555555,fall,0.2800949474398101,,8,18,230,181588033.31657144,10
1985-09-15,37263.0,2080.0,0.0,1308.0,1985,33875.0,19.91,20.23,18.52,20.37,20.43,20.32,20.11,20.18,20.61,19.62,20.06,19.67,19.42,19.34,19.41,19.66,19.59,19.849999999999998,fall,0.9090787107854976,,9,15,258,129210432.17554286,38
1985-09-29,25847.0,1170.0,0.0,1741.0,1985,22936.0,18.79,18.8,17.63,18.73,18.79,18.51,18.66,18.54,18.4,18.23,18.4,18.33,18.16,18.28,18.27,18.38,18.33,18.425294117647056,fall,0.8873757109142261,,9,29,272,209108467.8144,52
1985-10-06,26011.0,1272.0,0.0,1472.0,1985,23267.0,,,18.18,18.07,18.29,18.21,,,,,,,17.67,17.68,17.8,17.37,17.51,17.86444444444444,fall,0.8945061704663412,,10,6,279,221414722.56,59
1985-10-13,11731.0,1068.0,0.0,736.0,1985,9927.0,16.08,16.61,16.4,17.11,16.53,17.93,16.59,16.37,16.61,16.47,16.94,16.78,16.5,16.18,16.25,16.08,16.0,16.55470588235294,fall,0.8462194186343875,,10,13,286,235370665.53051427,66
1985-11-03,1477.0,126.0,0.0,12.0,1985,1339.0,13.07,13.09,13.73,13.51,13.49,13.21,14.43,13.89,13.3,14.21,14.39,14.1,14.24,14.23,13.92,13.86,13.8,13.792352941176473,,0.906567366283006,,11,3,307,215287808.4534857,87
1985-11-17,0.0,243.0,0.0,0.0,1985,-243.0,,,,,,,,,,,,,,,12.22,,,12.22,,-inf,,11,17,321,263209154.32594284,101
1985-11-24,0.0,0.0,0.0,0.0,1985,0.0,,,9.48,9.67,9.67,10.05,,,,,,,10.22,,,10.15,,9.873333333333333,,,,11,24,328,316163447.3252572,108
1986-01-12,0.0,0.0,0.0,0.0,1986,0.0,,,,,,,,,,,,,,,2.7,2.79,2.81,2.766666666666667,,,1985,1,12,12,211027278.90651426,-208
1986-01-26,0.0,0.0,0.0,0.0,1986,0.0,,,3.86,3.53,3.29,3.15,,,,,,,,,3.14,4.26,3.76,3.5700000000000003,,,1985,1,26,26,187977080.08594283,-194
1986-02-09,0.0,0.0,0.0,0.0,1986,0.0,,,,,,,,,,,,,3.37,3.46,3.27,3.34,3.36,3.3600000000000003,,,1985,2,9,40,242070776.39314288,-180
1986-02-16,0.0,0.0,0.0,0.0,1986,0.0,,,,,3.07,2.86,,,,,,,,,,,,2.965,,,1985,2,16,47,311672241.0349714,-173
1986-03-02,0.0,0.0,0.0,0.0,1986,0.0,,,,3.35,3.19,3.26,,,,,,,,,,,,3.266666666666666,,,1985,3,2,61,208570222.07999998,-159
1986-03-16,0.0,0.0,0.0,0.0,1986,0.0,,,4.86,4.97,4.98,5.0,,,,,,,4.03,3.76,3.64,4.12,4.24,4.4,,,1985,3,16,75,293127228.91337144,-145
