year,mm-dd,location,parameter,unit,datatype,value,date
2023,1-1,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-01
2023,1-2,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-02
2023,1-3,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-03
2023,1-4,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-04
2023,1-5,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-05
2023,1-6,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-06
2023,1-7,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-07
2023,1-8,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-08
2023,1-9,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-09
2023,1-10,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-10
2023,1-11,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-11
2023,1-12,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-12
2023,1-13,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-13
2023,1-14,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-14
2023,1-15,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-15
2023,1-16,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-16
2023,1-17,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-17
2023,1-18,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-18
2023,1-19,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-19
2023,1-20,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-20
2023,1-21,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-21
2023,1-22,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-22
2023,1-23,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-23
2023,1-24,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-24
2023,1-25,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-25
2023,1-26,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-26
2023,1-27,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-27
2023,1-28,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-28
2023,1-29,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-29
2023,1-30,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-30
2023,1-31,MCA,ChinFa:A,fish/day,PIT Tags,,2023-01-31
2023,2-1,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-01
2023,2-2,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-02
2023,2-3,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-03
2023,2-4,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-04
2023,2-5,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-05
2023,2-6,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-06
2023,2-7,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-07
2023,2-8,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-08
2023,2-9,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-09
2023,2-10,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-10
2023,2-11,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-11
2023,2-12,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-12
2023,2-13,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-13
2023,2-14,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-14
2023,2-15,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-15
2023,2-16,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-16
2023,2-17,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-17
2023,2-18,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-18
2023,2-19,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-19
2023,2-20,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-20
2023,2-21,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-21
2023,2-22,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-22
2023,2-23,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-23
2023,2-24,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-24
2023,2-25,MCA,ChinFa:A,fish/day,PIT Tags,,2023-02-25
